Date	ActualValue	ForecastValue	PreviousValue
2022.08.02	45.3		46.2
2022.07.04	46.2		50.4
2022.06.02	50.4		55.9
2022.05.03	55.9		56.5
2022.04.04	56.5		53.4
2022.03.02	53.4		45.9
2022.02.02	45.9		57.0
2021.12.02	57.0		57.6
2021.11.02	57.6		53.3
2021.10.04	53.3		38.4
2021.09.02	38.4		48.7
2021.08.03	48.7		55.5
2021.07.04	55.5		58.3
2021.06.02	58.3		59.1
2021.05.04	59.1		61.8
2021.04.06	61.8		57.4
2021.03.02	57.4		57.6
2021.02.02	57.6		55.3
2020.12.02	55.3		52.7
2020.11.03	52.7		45.2
2020.10.04	45.2		37.9
2020.09.02	37.9		42.7
2020.08.04	42.7		35.5
2020.07.02	35.5		24.9
2020.06.02	24.9		21.6
2020.05.04	21.6		37.9
2020.04.02	37.9		42.7
2020.03.03	42.7		41.3
2020.02.04	41.3		38.9
2020.01.07	38.9		40.0
2019.12.05	40.0		43.9
2019.11.06	43.9		42.6
2019.10.06	42.6		44.6
2019.09.05	44.6		39.1
2019.08.06	39.1		43.0
2019.07.04	43.0		40.4
2019.06.06	40.4		42.6
2019.05.06	42.6		45.6
2019.04.04	45.6		43.8
2019.03.06	43.8		43.1
2019.02.06	43.1		42.6
2019.01.10	42.6		44.5
2018.12.06	44.5		46.4
2018.11.06	46.4		49.3
2018.10.04	49.3		51.8
2018.09.06	51.8		52.0
2018.08.06	52.0		50.6
2018.07.05	50.6		54.0
2018.06.06	54.0		55.4
2018.05.06	55.4		57.2
2018.04.08	57.2		56.0
2018.03.06	56.0		54.3
2018.02.06	54.3		52.8
2018.01.07	52.8		57.5
2017.12.06	57.5		53.2
2017.11.06	53.2		54.7
2017.10.05	54.7		55.3
2017.09.06	55.3		60.5
2017.08.06	60.5		56.0
2017.07.06	56.0		56.7
2017.06.06	56.7		51.9
2017.05.04	51.9		51.2
2017.04.06	51.2		53.1
2017.03.06	53.1		47.7
2017.02.06	47.7		47.0
2017.01.08	47.0		46.6
2016.12.06	46.6		45.9
2016.11.06	45.9		51.4
2016.10.06	51.4		46.6
2016.09.06	46.6		51.6
2016.08.04	51.6		53.2
2016.07.06	53.2		46.7
2016.06.06	46.7		50.8
2016.05.05	50.8		45.2
2016.04.06	45.2		46.1
2016.03.06	46.1		46.3
2016.02.04	46.3		46.8
2016.01.07	46.8		50.7
2015.12.06	50.7		52.1
2015.11.05	52.1		51.9
2015.10.06	51.9		53.8
2015.09.06	53.8		47.0
2015.08.06	47.1		46.0
2015.07.06	46.4		48.0
2015.06.04	47.8		47.0
2015.05.06	47.0		50.0
2015.04.08	50.1		44.0
2015.03.05	43.9		45.9
2015.02.05	45.9		44.4
2015.01.08	44.4		45.0
2014.12.04	45.4		53.0
2014.11.06	53.4		59.1
2014.10.06	59.1		55.0
2014.08.06	52.6		52.0
2014.07.06	51.8		46.7
2014.06.05	46.7		45.9
2014.05.06	45.9		46.2
2014.04.06	46.2		44.2
2014.03.06	44.2		48.2
2014.02.06	48.2		50.8
2014.01.07	50.8		55.2
2013.12.05	55.2		54.4
2013.11.06	54.4		47.6
2013.10.06	47.6		43.7
2013.09.05	43.7		44.1
2013.08.06	44.1		39.5
2013.07.04	39.5		35.3
2013.06.06	35.3		35.2
2013.05.06	35.2		39.0
2013.04.07	39.0		45.6
2013.03.06	45.6		36.2
2013.02.06	36.2		38.8
2013.01.07	38.8		37.0
2012.12.06	37.0		35.8
2012.11.06	35.8		30.9
2012.10.04	30.9		32.2
2012.09.06	32.2		32.6
2012.08.06	32.6		34.8
2012.07.05	34.8		34.7
2012.06.06	34.7		34.9
2012.05.06	34.9		36.2
2012.04.09	36.2		35.6
2012.03.06	35.6		39.8
2012.02.06	39.8		41.0
2012.01.08	41.0		39.6
2011.12.06	39.6		34.7
2011.11.06	34.7		30.0
2011.10.06	30.0		32.1
2011.09.06	32.1		36.1
2011.08.04	36.1		35.8
2011.07.06	35.8		39.6
2011.06.06	39.6		37.9
2011.05.05	37.9		39.4
2011.04.06	39.4		44.6
2011.03.06	44.6		40.2
2011.02.06	40.2		43.8
2011.01.09	43.8		42.2
2010.12.06	42.2		44.0
2010.11.04	44.0		40.8
2010.10.06	40.8		43.2
2010.09.06	43.2		43.3
2010.08.05	43.3		46.4
2010.07.06	46.4		53.2
2010.06.06	53.2		55.8
2010.05.06	55.8		51.0
2010.04.08	48.7		52.8
2010.03.04	52.8		57.7
2010.02.04	57.7		49.3
2010.01.07	49.3		47.6
2009.12.06	47.6		50.9
2009.11.05	50.9		50.8
2009.10.06	50.8		42.4
2009.09.06	42.4		39.5
2009.08.06	39.5		42.6
2009.07.06	42.6		46.9
2009.06.04	46.9		36.5
2009.05.06	36.5		30.4
2009.04.06	30.4		29.5
2009.03.05	29.5		34.1
2009.02.05	34.1		30.9
2009.01.07	30.9		32.0
2008.12.04	32.0		36.4
2008.11.06	36.4		31.8
2008.10.06	31.8		43.1
2008.09.04	43.1		41.6
2008.07.06	40.3		36.9
2008.06.06	36.9		42.6
2008.05.06	42.6		48.4
2008.04.06	48.4		53.9
2008.03.06	53.9		
