Date	ActualValue	ForecastValue	PreviousValue
2022.08.04	51.7		48.8
2022.07.06	48.8		49.2
2022.06.06	49.2		57.8
2022.05.05	57.8		56.2
2022.04.06	56.2		60.0
2022.03.06	60.0		56.2
2022.02.06	56.2		49.6
2021.12.06	49.6		47.6
2021.11.04	47.6		45.7
2021.10.06	45.7		45.6
2021.09.06	45.6		51.7
2021.08.05	51.7		57.8
2021.07.06	57.8		61.2
2021.06.06	61.2		61.0
2021.05.06	61.0		58.7
2021.04.08	58.7		55.8
2021.03.04	55.8		54.3
2021.02.04	54.3		52.9
2020.12.06	52.9		51.4
2020.11.05	51.4		36.2
2020.10.06	36.2		42.5
2020.09.06	42.5		44.0
2020.08.06	44.0		31.5
2020.07.06	31.5		31.6
2020.06.04	31.6		27.1
2020.05.06	27.1		38.7
2020.04.06	38.7		47.0
2020.03.05	47.0		47.4
2020.02.06	47.4		48.7
2020.01.09	48.7		53.7
2019.12.03	53.7		54.2
2019.11.04	54.2		51.5
2019.10.02	51.5		51.4
2019.09.03	51.4		43.9
2019.08.04	43.9		52.2
2019.07.02	52.2		52.5
2019.06.04	52.5		46.5
2019.05.02	46.5		44.8
2019.04.02	44.8		44.5
2019.03.04	44.5		44.3
2019.02.04	44.3		52.1
2019.01.08	52.1		55.1
2018.12.04	55.1		51.1
2018.11.04	51.1		52.5
2018.10.02	52.5		52.2
2018.09.04	52.2		53.6
2018.08.02	53.6		63.0
2018.07.03	63.0		59.0
2018.06.04	59.0		55.2
2018.05.02	55.2		56.9
2018.04.04	56.9		54.0
2018.03.04	54.0		54.9
2018.02.04	54.9		52.0
2018.01.03	52.0		51.7
2017.12.04	51.7		51.4
2017.11.02	51.4		52.1
2017.10.03	52.1		53.0
2017.09.04	53.0		56.4
2017.08.02	56.4		54.8
2017.07.04	54.8		51.5
2017.06.04	51.5		53.0
2017.05.02	53.0		51.7
2017.04.04	51.7		49.0
2017.03.02	49.0		54.5
2017.02.02	54.5		57.7
2017.01.04	57.7		51.1
2016.12.04	51.1		50.5
2016.11.02	50.5		48.9
2016.10.04	48.9		45.0
2016.09.04	45.0		53.9
2016.08.02	53.9		51.3
2016.07.04	51.3		51.5
2016.06.02	51.5		49.7
2016.05.03	49.7		49.5
2016.04.04	49.5		51.8
2016.03.02	51.8		48.4
2016.02.02	48.4		46.3
2016.01.05	46.3		48.2
2015.12.02	48.2		48.9
2015.11.03	48.9		52.3
2015.10.04	52.3		55.6
2015.09.02	55.6		54.1
2015.08.04	54.1		51.2
2015.07.02	51.2		49.6
2015.06.02	49.6		49.7
2015.05.04	49.7		50.2
2015.04.06	50.2		51.7
2015.03.03	51.7		49.9
2015.02.03	49.9		47.5
2015.01.06	47.5		43.8
2014.12.02	43.8		43.6
2014.11.04	43.6		45.4
2014.10.02	45.4		49.4
2014.09.02	49.4		49.3
2014.08.04	49.3		47.6
2014.07.02	47.6		49.9
2014.06.03	49.9		48.6
2014.05.04	48.6		48.9
2014.04.02	48.9		55.2
2014.03.04	55.2		49.3
2014.02.04	49.3		46.1
2014.01.05	46.1		48.9
2013.12.03	48.9		47.9
2013.11.04	47.9		47.1
2013.10.02	47.1		39.0
2013.09.03	39.0		39.4
2013.08.04	39.4		41.5
2013.07.02	41.5		40.6
2013.06.04	40.6		44.1
2013.05.02	44.1		49.6
2013.04.03	49.6		48.5
2013.03.04	48.5		45.4
2013.02.04	45.3		43.2
2013.01.03	43.2		47.1
2012.12.04	47.1		42.8
2012.11.04	42.8		41.9
2012.10.02	41.9		42.4
2012.09.04	42.4		46.5
2012.08.02	46.5		48.8
2012.07.03	48.8		43.5
2012.06.04	43.5		39.6
2012.05.02	39.6		47.0
2012.04.03	47.0		46.7
2012.03.04	46.7		51.9
2012.02.02	51.9		49.0
2012.01.04	49.0		47.7
2011.12.04	47.7		48.8
2011.11.02	48.8		50.3
2011.10.04	50.3		52.1
2011.09.04	52.1		48.8
2011.08.02	48.8		48.5
2011.07.04	48.5		49.9
2011.06.02	49.9		51.5
2011.05.03	51.5		46.5
2011.04.04	46.5		48.7
2011.03.02	48.7		45.5
2011.02.02	45.5		46.4
2011.01.05	46.4		46.2
2010.12.02	46.2		50.7
2010.11.02	50.7		45.6
2010.10.04	45.6		47.5
2010.09.02	47.5		46.6
2010.08.03	46.6		48.8
2010.07.04	48.8		47.5
2010.06.02	47.5		52.3
2010.05.04	52.3		48.9
2010.04.06	48.4		48.3
2010.03.02	48.3		47.4
2010.02.02	47.4		50.0
2010.01.05	50.0		52.5
2009.12.02	52.5		54.8
2009.11.03	54.8		49.3
2009.10.04	49.3		48.0
2009.09.02	48.0		44.1
2009.08.04	44.1		50.2
2009.07.02	50.2		39.9
2009.06.02	39.9		39.8
2009.05.04	39.8		35.6
2009.04.02	35.6		32.2
2009.03.03	32.2		41.0
2009.02.03	41.0		39.3
2009.01.05	39.3		37.8
2008.12.02	37.8		42.1
2008.11.04	42.1		44.9
2008.10.02	44.9		39.3
2008.09.02	39.3		42.8
2008.08.04	42.8		45.4
2008.07.02	45.4		49.7
2008.06.04	49.7		47.3
2008.05.04	47.3		53.8
2008.04.02	53.8		53.2
2008.03.04	53.2		
