Date	ActualValue	ForecastValue	PreviousValue
2022.08.01	-1.1	0.8	1.4
2022.07.04	1.4	-0.6	0.4
2022.06.06	0.4	-1.4	-2.0
2022.05.02	-0.5	-0.3	0.4
2022.04.04	0.4	1.6	8.4
2022.03.07	8.4	1.6	-0.3
2022.02.07	-0.3	-0.4	-5.5
2022.01.05	-5.5	-1.4	7.4
2021.12.06	7.4	-0.9	6.2
2021.11.01	6.2	-0.2	-2.8
2021.10.05	-2.8	0.7	-2.5
2021.09.06	-2.5	0.8	-1.3
2021.08.02	-0.5	-0.3	1.5
2021.07.05	3.0	-1.6	7.9
2021.06.07	7.9	-0.4	4.7
2021.05.03	4.7	1.8	7.8
2021.04.06	7.4	0.5	8.8
2021.03.01	7.2	-1.9	2.6
2021.02.01	2.3	-0.9	8.6
2021.01.05	9.2	1.3	13.5
2020.12.07	13.9	0.8	9.4
2020.11.02	9.4	-3.3	8.3
2020.10.06	7.8	-20.2	2.6
2020.09.07	1.6	-4.8	19.1
2020.08.03	16.7	37.0	41.4
2020.07.06	42.0	-0.1	-0.3
2020.06.09	0.5	325.6	-53.4
2020.05.04	-53.1	10.1	-10.0
2020.04.07	-10.3	-2.9	1.2
2020.03.02	0.7	-6.6	4.0
2020.02.03	3.8	3.7	-5.7
2020.01.07	-6.7	0.7	-1.8
2019.12.02	-1.7	-2.2	-1.0
2019.11.04	-1.0	-2.9	0.3
2019.10.08	0.3	2.8	-2.6
2019.09.02	-2.8	-1.8	0.8
2019.08.06	0.8		4.9
2019.07.08	4.6		-8.2
2019.06.03	-8.4		0.2
2019.05.06	-0.1		-1.7
2019.04.08	-1.7		-0.8
2019.03.04	-0.9		-1.8
2019.02.04	-1.7		-0.7
2019.01.08	0.0		-0.4
2018.12.03	-0.3		0.3
2018.11.05	0.2		-0.7
2018.10.08	-0.8		-0.7
2018.09.03	-0.6		1.4
2018.08.06	1.5		-1.7
2018.07.02	-1.7		1.4
2018.06.04	1.5		-0.3
2018.05.07	-0.2		-0.1
2018.04.03	0.0		-0.4
2018.03.05	-0.3		6.2
2018.02.05	6.2		-2.7
2018.01.09	-2.3		1.1
2017.12.04	1.5		1.5
2017.11.06	1.4		-0.7
2017.10.03	0.0		1.7
2017.09.04	2.0		1.6
2017.08.07	1.5		2.7
2017.07.03	2.7		0.4
2017.06.05	0.4		1.5
2017.05.08	1.4		0.8
2017.04.03	0.3		-0.8
2017.03.06	-0.7		3.9
2017.02.06	4.0		-2.2
2017.01.09	-1.9		1.6
2016.12.05	1.7		1.0
2016.11.07	1.0		-0.3
2016.10.04	-0.3		1.7
2016.09.05	1.8		-0.8
2016.08.08	-0.8		0.4
2016.07.04	0.5		2.2
2016.06.06	2.4		-0.6
2016.05.09	-0.8		0.1
2016.04.04	0.2		-1.2
2016.03.07	-1.2		0.9
2016.02.08	1.0		-0.1
2016.01.11	-0.1		1.1
2015.12.07	1.3		0.3
2015.11.09	0.4		3.8
2015.10.05	3.9		1.3
2015.09.07	1.0		-0.5
2015.08.03	-0.4		1.2
2015.07.06	1.3		0.1
2015.06.09	0.0		2.5
2015.05.04	2.3		-1.3
2015.04.07	-1.4		0.7
2015.03.09	0.9		1.2
2015.02.09	1.3		1.8
2015.01.12	1.8		0.7
2014.12.08	0.7		0.2
2014.11.03	0.2		0.8
2014.10.06	0.9		1.6
2014.09.08	1.5		0.5
2014.08.04	0.3		4.4
2014.07.07	4.3		-5.7
2014.06.10	-5.6		1.9
2014.05.05	2.2		1.4
2014.04.07	1.4		4.7
2014.03.03	5.1		0.0
2014.02.03	-0.3		-0.8
2014.01.13	-0.7		-0.9
2013.12.09	-0.8		-0.1
2013.11.04	-0.1		0.2
2013.10.08	0.2		-2.0
2013.09.09	-2.0		-1.1
2013.08.06	-1.1		-1.6
2013.07.08	-1.8		-2.5
2013.06.03	-2.4		-1.7
2013.05.06	-1.3		-0.5
2013.04.08	-1.5		3.0
2013.03.04	3.0		0.6
2013.02.04	-0.9		-2.8
2013.01.14	-3.8		-2.8
2012.12.03	-2.9		-4.6
2012.11.05	-4.6		-3.9
2012.10.08	-2.8		-2.4
2012.09.03	-2.3		-0.8
2012.08.06	-0.8		-1.1
2012.07.09	-1.2		-2.6
2012.06.04	-2.4		-0.8
2012.05.07	-3.1		0.7
2012.04.10	1.0		3.3
2012.03.05	3.3		7.5
2012.02.06	6.0		-0.6
2012.01.16	-0.9		0.1
2011.12.05	0.0		-0.6
2011.11.07	-0.7		-2.2
2011.10.10	-2.1		-0.7
2011.09.05	-0.6		-0.6
2011.08.08	-0.7		3.8
2011.07.04	3.7		-6.5
2011.06.06	-6.5		-0.4
2011.05.09	1.0		1.3
2011.04.04	1.3		1.1
2011.03.07	1.2		3.0
2011.02.07	2.4		1.2
2011.01.11	2.0		3.0
2010.12.06	2.9		0.7
2010.11.08	0.6		1.1
2010.10.05	0.7		2.4
2010.09.06	2.6		1.4
2010.08.09	1.3		2.8
2010.07.05	2.7		2.7
2010.06.07	4.3		-1.2
2010.05.10	-1.2		1.8
2010.04.06	1.8		19.1
2010.03.09	19.1		-8.1
2010.02.01	-8.1		4.6
2010.01.11	6.0		5.2
2009.12.07	5.2		-1.7
2009.11.09	-1.7		4.4
2009.10.05	4.4		4.1
2009.09.07	4.1		-1.7
2009.08.03	-1.7		-6.7
2009.07.06	-6.7		-0.2
2009.06.09	-0.2		-7.5
2009.05.04	-7.5		-8.5
2009.04.06	-8.5		-10.4
2009.03.10	-10.4		-6.3
2009.02.09	-6.3		
