Date	ActualValue	ForecastValue	PreviousValue
2022.08.02	-0.7	-13.1	11.2
2022.07.04	9.9	20.4	-3.9
2022.05.31	-2.4	4.3	-19.2
2022.05.05	-18.5	23.1	42.0
2022.03.31	43.5	-7.6	-27.1
2022.03.03	-27.9	0.7	9.8
2022.02.03	8.2	-1.8	2.6
2022.01.10	3.6	-2.0	-13.6
2021.11.30	-12.9	5.6	-3.9
2021.11.03	-4.3	-12.7	7.6
2021.09.30	6.8	-6.4	-8.6
2021.08.31	-8.6	6.0	-5.5
2021.08.03	-6.7	-7.4	-7.6
2021.07.05	-7.1	6.6	-5.7
2021.06.01	-8.6	3.7	18.9
2021.05.05	17.4	4.5	20.1
2021.03.31	21.6	-2.3	-19.4
2021.03.02	-19.4	-2.7	12.0
2021.02.03	10.9	-0.3	3.4
2021.01.07	2.6	2.5	3.3
2020.12.01	3.8	-2.0	16.2
2020.11.02	15.4	6.6	-2.3
2020.09.30	-1.6	-5.1	12.2
2020.09.01	12.0	-0.5	-4.2
2020.07.30	-4.9	0.6	-15.8
2020.07.01	-16.4	-4.5	-2.1
2020.06.03	-1.8	2.2	-2.6
2020.05.04	-4.0	-3.4	19.4
2020.04.01	19.9	0.3	-15.1
2020.03.03	-15.3	3.7	3.9
2020.02.03	-0.2	-4.9	10.9
2020.01.08	11.8	4.7	-7.9
2019.12.02	-8.1	-4.0	7.2
2019.10.31	7.6	1.2	-0.6
2019.10.01	-1.1	-1.7	-9.7
2019.08.30	-9.7	2.8	-0.8
2019.07.30	-1.2	-3.7	0.3
2019.07.03	0.7	4.0	-3.4
2019.05.30	-4.7	-3.6	-13.4
2019.05.03	-15.5	2.8	19.1
2019.04.02	19.1	-3.3	2.3
2019.03.04	2.5	1.8	-8.1
2019.02.04	-8.4	2.7	-9.8
2019.01.09	-9.1	-4.4	-1.4
2018.12.03	-1.5	3.0	5.5
2018.10.30	3.3	-3.9	-8.1
2018.10.03	-9.4	8.6	-4.6
2018.08.30	-5.2	-5.8	6.8
2018.07.31	6.4	0.6	-2.5
2018.07.03	-3.2	2.0	-5.6
2018.05.30	-5.0	-3.5	3.5
2018.05.03	2.6	6.8	-4.2
2018.04.04	-6.2	-7.3	17.2
2018.03.05	17.1	4.0	-20.6
2018.02.01	-20.0	-1.7	12.6
2018.01.09	11.7	2.2	-0.1
2017.11.30	0.9	-3.1	0.6
2017.11.02	1.5	3.8	0.1
2017.10.03	0.4		-1.2
2017.08.30	-1.7		11.7
2017.08.02	10.9		-5.4
2017.07.03	-5.6		4.8
2017.05.30	4.4		-10.3
2017.05.08	-13.4		8.9
2017.04.03	8.3		2.2
2017.03.02	1.8		-2.5
2017.02.02	-1.2		7.0
2017.01.09	7.0		-11.8
2016.11.30	-12.6		-9.3
2016.11.02	-8.7		-1.8
2016.10.04	-1.8		12.0
2016.08.30	11.3		-4.7
2016.08.02	-2.9		-5.4
2016.07.04	-5.2		3.3
2016.05.31	3.0		2.9
2016.05.03	3.7		2.9
2016.04.04	3.1		-6.6
2016.03.01	-7.5		8.6
2016.02.03	9.2		-12.4
2016.01.07	-12.7		3.9
2015.12.01	3.9		2.3
2015.11.02	2.2		-9.5
2015.09.30	-6.9		7.9
2015.09.01	4.2		-5.2
2015.07.30	-8.2		2.3
2015.07.01	2.4		-5.2
2015.06.01	-4.4		2.9
2015.05.04	2.8		-1.6
2015.04.01	-3.2		7.9
2015.03.03	5.9		-3.3
2015.02.03	-2.8		7.5
2015.01.08	7.7		11.4
2014.12.02	11.5		-11.0
2014.11.03	-11.2		3.0
2014.10.02	3.4		2.5
