Date	ActualValue	ForecastValue	PreviousValue
2022.08.18	-40.9	38.4	88.4
2022.07.14	88.4	-28.5	60.6
2022.06.16	60.6	-13.4	4.4
2022.05.19	4.0	40.5	20.3
2022.04.14	17.9	-22.4	77.4
2022.03.17	77.4	-76.7	28.3
2022.02.17	12.9	28.3	64.8
2022.01.20	64.8	139.3	366.1
2021.12.16	366.1	-89.1	-56.0
2021.11.11	-46.3	-104.4	-141.1
2021.10.14	-138.0	-19.6	-146.3
2021.09.16	-146.3	66.8	3.1
2021.08.19	2.2	68.2	29.1
2021.07.15	29.1	51.6	115.2
2021.06.17	115.2	56.6	-30.7
2021.05.20	-30.6	84.8	77.0
2021.04.15	70.7	41.5	88.7
2021.03.18	88.7	44.6	29.5
2021.02.18	29.1	65.2	50.0
2021.01.21	50.0	52.6	90.0
2020.12.17	90.0	13.2	180.4
2020.11.19	178.8	17.9	-42.5
2020.10.15	-29.5	24.1	129.1
2020.09.17	111.0	-70.7	119.2
2020.08.13	114.7	394.2	228.4
2020.07.16	210.8	-266.1	-264.1
2020.06.18	-227.7	297.1	-607.4
2020.05.14	-594.3	25.1	0.7
2020.04.16	5.9	25.7	25.6
2020.03.19	26.7	11.6	12.9
2020.02.20	13.5	31.0	28.7
2020.01.23	28.9	13.7	38.5
2019.12.19	39.9	31.2	-24.8
2019.11.14	-19.0	21.5	12.5
2019.10.17	14.7	31.5	37.9
2019.09.19	34.7	21.3	36.4
2019.08.15	41.1	26.8	-2.3
2019.07.18	0.5	27.8	45.3
2019.06.13	42.3	23.0	43.1
2019.05.16	28.4	30.0	27.7
2019.04.18	25.7	20.6	10.7
2019.03.21	4.6	32.9	38.3
2019.02.21	39.1	27.8	16.9
2019.01.24	21.6	27.9	39.0
2018.12.20	37.0	27.6	28.7
2018.11.15	32.8	28.9	7.8
2018.10.18	5.6	27.6	44.6
2018.09.13	44.0	26.7	-4.3
2018.08.16	-3.9	27.3	58.2
2018.07.19	50.9	27.2	13.4
2018.06.14	12.0	27.4	18.3
2018.05.17	22.6	30.3	-0.7
2018.04.19	4.9	31.5	-6.3
2018.03.22	17.5	31.0	12.5
2018.02.15	16.0	25.5	33.5
2018.01.18	34.7	24.9	63.6
2017.12.14	61.6	26.4	7.8
2017.11.16	3.7	26.4	26.6
2017.10.19	19.8		53.0
2017.09.14	54.2		29.2
2017.08.17	27.9		20.0
2017.07.20	14.0		38.0
2017.06.15	42.0		46.2
2017.05.18	37.4		60.0
2017.04.13	60.9		2.8
2017.03.16	-6.4		13.5
2017.02.16	13.5		16.3
2017.01.19	13.5		37.1
2016.12.15	39.1		15.2
2016.11.17	9.8		-29.0
2016.10.20	-9.8		-8.6
2016.09.15	-3.9		26.2
2016.08.18	26.2		10.8
2016.07.14	7.9		19.2
2016.06.16	17.9		0.9
2016.05.19	10.8		25.7
2016.04.14	26.1		-0.7
2016.03.17	0.3		-7.4
2016.02.18	-7.9		-0.8
2016.01.14	-1.0		75.0
2015.12.10	71.4		56.1
2015.11.12	58.6		-0.8
2015.10.15	-5.1		18.0
2015.09.10	17.4		39.2
2015.08.06	38.5		7.0
2015.07.09	7.3		39.9
2015.06.11	42.0		-13.7
2015.05.07	-2.9		48.2
2015.04.16	37.7		41.9
2015.03.12	15.6		-14.6
2015.02.12	-12.2		42.4
2015.01.15	37.4		44.9
2014.12.11	42.7		13.7
2014.11.06	24.1		-23.7
2014.10.09	-29.7		32.1
2014.09.11	121.0		-4.1
2014.08.07	-0.3		14.9
2014.07.10	15.9		-5.1
2014.06.12	-4.8		10.3
2014.05.08	14.2		22.0
2014.04.10	18.1		48.2
2014.03.13	47.3		18.0
2014.02.13	-3.7		-23.0
2014.01.16	-22.6		15.4
2013.12.12	21.0		-0.7
2013.11.07	1.1		3.3
2013.10.10	9.1		-10.2
2013.09.12	-10.8		-11.4
2013.08.08	-10.2		9.3
2013.07.11	10.3		-0.7
2013.06.13	1.1		45.0
2013.05.09	50.1		-31.2
2013.04.11	-36.1		74.0
2013.03.14	71.5		13.0
2013.02.07	10.4		-3.8
2013.01.17	-5.5		17.1
2012.12.06	13.9		10.1
2012.11.08	10.7		15.6
2012.10.11	14.5		-9.1
2012.09.06	-8.8		11.7
2012.08.09	14.0		-28.3
2012.07.12	-27.0		27.9
2012.06.07	38.9		15.5
2012.05.10	15.5		44.0
2012.04.12	44.0		-15.4
2012.03.08	-15.4		46.2
2012.02.16	46.3		-35.6
2012.01.19	-29.3		-7.5
2011.12.08	-6.3		16.8
2011.11.10	10.1		22.5
2011.10.13	20.4		-10.5
2011.09.08	-9.7		-4.1
2011.08.11	-0.1		18.2
2011.07.07	23.4		-0.5
2011.06.09	7.8		-29.4
2011.05.12	-22.1		43.3
2011.04.07	37.8		-8.6
2011.03.10	-10.1		7.7
2011.02.10	24.0		1.8
2011.01.13	2.3		54.6
2010.12.09	54.6		36.9
2010.11.11	29.7		49.6
2010.10.07	49.5		31.6
2010.09.09	30.9		25.0
2010.08.12	23.5		37.4
2010.07.08	45.9		22.8
2010.06.10	26.9		35.3
2010.05.13	33.7		19.6
2010.04.08	19.6		-4.7
2010.03.11	0.4		56.5
2010.02.11	52.7		37.5
2010.01.14	35.2		31.4
2009.12.10	31.2		27.2
2009.11.12	24.5		39.8
2009.10.08	40.6		-26.1
2009.09.10	-27.1		33.6
2009.08.06	32.2		-23.1
2009.07.09	-21.4		-8.5
2009.06.11	-1.7		25.4
2009.05.07	27.3		-37.2
2009.04.09	-34.7		1.8
2009.03.12	1.8		0.3
2009.02.12	1.2		-1.2
2009.01.15	-1.2		-15.6
2008.12.11	0.0		34.3
2008.11.06	34.3		2.2
2008.10.09	2.2		14.6
2008.09.11	14.6		10.9
2008.08.07	10.9		29.8
2008.07.10	29.8		-19.7
2008.06.12	-19.7		25.4
2008.05.08	25.4		14.8
2008.04.10	14.8		36.7
2008.03.13	36.7		
