Date	ActualValue	ForecastValue	PreviousValue
2022.08.18	-86.9		52.9
2022.07.14	52.9		69.4
2022.06.16	69.4		93.4
2022.05.19	92.4		19.9
2022.04.14	20.5		121.9
2022.03.17	121.9		-6.1
2022.02.17	-17.0		41.5
2022.01.20	41.5		128.3
2021.12.16	128.3		-47.2
2021.11.11	-40.4		25.1
2021.10.14	26.7		-68.0
2021.09.16	-68.0		-5.0
2021.08.19	-4.2		51.6
2021.07.15	51.6		97.5
2021.06.17	97.5		33.5
2021.05.20	33.8		-21.1
2021.04.15	-20.8		89.1
2021.03.18	89.1		58.7
2021.02.18	59.0		35.7
2021.01.21	35.7		84.2
2020.12.17	84.2		98.7
2020.11.19	97.0		-40.3
2020.10.15	-20.1		12.1
2020.09.17	36.2		38.9
2020.08.13	43.5		-23.6
2020.07.16	-38.1		-101.9
2020.06.18	-89.1		-235.9
2020.05.14	-220.5		-9.5
2020.04.16	-0.4		5.5
2020.03.19	6.7		45.2
2020.02.20	46.2		-1.8
2020.01.23	-0.3		3.3
2019.12.19	4.2		-10.5
2019.11.14	-10.3		24.9
2019.10.17	26.2		-13.2
2019.09.19	-15.5		32.0
2019.08.15	34.5		21.0
2019.07.18	21.1		3.1
2019.06.13	2.4		-0.3
2019.05.16	-6.3		49.2
2019.04.18	48.3		-1.7
2019.03.21	-7.3		65.6
2019.02.21	65.4		-9.5
2019.01.24	-3.0		-7.3
2018.12.20	-6.4		39.5
2018.11.15	42.3		24.6
2018.10.18	20.3		35.2
2018.09.13	33.7		20.1
2018.08.16	19.3		43.2
2018.07.19	41.2		-19.9
2018.06.14	-20.6		28.0
2018.05.17	32.7		-25.1
2018.04.19	-19.9		20.1
2018.03.22	64.9		-53.2
2018.02.15	-49.8		12.7
2018.01.18	15.1		43.6
2017.12.14	41.9		31.0
2017.11.16	24.3		9.3
2017.10.19	6.1		39.5
2017.09.14	40.1		-19.8
2017.08.17	-20.3		69.3
2017.07.20	62.0		53.4
2017.06.15	52.1		-5.7
2017.05.18	-11.6		73.9
2017.04.13	74.5		38.7
2017.03.16	27.1		-44.1
2017.02.16	-44.8		11.3
2017.01.19	9.3		38.4
2016.12.15	39.3		45.7
2016.11.17	41.5		-74.3
2016.10.20	-53.0		10.1
2016.09.15	11.5		-43.4
2016.08.18	-45.4		44.0
2016.07.14	38.4		2.5
2016.06.16	0.0		-18.2
2016.05.19	-9.3		-10.1
2016.04.14	-8.8		14.0
2016.03.17	15.9		-40.3
2016.02.18	-40.6		17.0
2016.01.14	17.6		47.3
2015.12.10	41.6		38.5
2015.11.12	40.0		-10.4
2015.10.15	-13.9		11.0
2015.09.10	11.5		13.1
2015.08.06	12.4		24.9
2015.07.09	24.5		15.1
2015.06.11	14.7		-24.0
2015.05.07	-21.9		41.3
2015.04.16	31.5		41.9
2015.03.12	10.3		-30.9
2015.02.12	-28.1		46.4
2015.01.15	41.6		2.6
2014.12.11	1.8		27.0
2014.11.06	33.4		21.6
2014.10.09	21.6		-79.7
2014.09.11	14.3		15.4
2014.08.07	14.5		-3.8
2014.07.10	-3.8		22.2
2014.06.12	22.2		14.2
2014.05.08	14.2		-22.8
2014.04.10	-22.1		80.0
2014.03.13	80.5		2.7
2014.02.13	-7.1		-32.1
2014.01.16	-31.6		10.5
2013.12.12	15.5		-31.1
2013.11.07	-27.9		-1.8
2013.10.10	6.6		5.4
2013.09.12	5.4		-7.9
2013.08.08	-7.9		3.7
2013.07.11	3.7		-16.6
2013.06.13	-16.6		25.7
2013.05.09	25.7		-20.3
2013.04.11	-20.3		-35.0
2013.03.14	-35.0		24.9
2013.02.07	24.9		-5.3
2013.01.17	-5.3		-9.4
2012.12.06	-9.4		17.0
2012.11.08	17.0		42.4
2012.10.11	42.4		7.6
2012.09.06	7.6		6.7
2012.08.09	6.7		-22.9
2012.07.12	-22.9		46.4
2012.06.07	46.4		-32.0
2012.05.10	-32.0		18.3
2012.04.12	18.3		5.5
2012.03.08	5.5		18.1
2012.02.16	18.1		38.1
2012.01.19	38.1		-31.2
2011.12.08	-31.2		23.3
2011.11.10	23.3		11.9
2011.10.13	11.9		-3.3
2011.09.08	-3.3		-21.3
2011.08.11	-21.3		73.2
2011.07.07	73.2		-42.1
2011.06.09	-42.1		-59.2
2011.05.12	-59.2		38.8
2011.04.07	38.8		49.0
2011.03.10	49.0		-10.9
2011.02.10	-10.9		0.8
2011.01.13	0.8		63.2
2010.12.09	63.2		-17.0
2010.11.11	-17.0		42.5
2010.10.07	42.5		57.3
2010.09.09	57.3		-1.3
2010.08.12	-1.3		17.0
2010.07.08	17.0		22.5
2010.06.10	22.5		32.8
2010.05.13	32.8		19.2
2010.04.08	19.2		-8.5
2010.03.11	-8.5		15.4
2010.02.11	15.4		8.9
2010.01.14	8.9		18.8
2009.12.10	18.8		10.7
2009.11.12	10.7		16.0
2009.10.08	16.0		-32.6
2009.09.10	-32.6		-6.9
2009.08.06	-6.9		-19.5
2009.07.09	-19.5		-45.6
2009.06.11	-45.6		39.9
2009.05.07	39.9		-36.3
2009.04.09	-36.3		-59.0
2009.03.12	-59.0		58.4
2009.02.12	58.4		-38.4
2009.01.15	-38.4		-10.2
2008.12.11	-10.2		-8.2
2008.11.06	-8.2		-31.2
2008.10.09	-31.2		8.1
2008.09.11	8.1		66.4
2008.08.07	66.4		37.8
2008.07.10	37.8		1.4
2008.06.12	1.4		6.6
2008.05.08	6.6		-1.6
2008.04.10	-1.6		47.6
2008.03.13	47.6		
