Date	ActualValue	ForecastValue	PreviousValue
2022.08.02	-2.6	0.7	3.0
2022.07.04	2.9	0.4	-2.5
2022.06.03	-5.8	0.0	-0.2
2022.05.04	-0.2	-0.4	-5.4
2022.04.01	-5.4	-0.6	0.2
2022.03.01	0.2	-0.8	1.5
2022.02.01	1.5	-2.4	4.0
2022.01.14	4.0	-3.9	-4.0
2021.12.02	-4.0	-3.9	-4.0
2021.11.01	-4.0	-0.9	-4.2
2021.10.01	-4.2	1.0	-3.0
2021.09.02	-3.0	1.5	-2.1
2021.08.03	-2.1	2.1	0.8
2021.07.02	0.8	2.8	-0.6
2021.06.04	-0.6	3.7	-0.6
2021.05.04	1.1	-8.6	-1.7
2021.04.01	-1.7	12.6	12.3
2021.03.01	12.3	0.4	7.1
2021.02.01	7.1	9.2	3.3
2021.01.15	3.3	-5.6	0.2
2020.12.03	0.2	1.8	7.8
2020.11.02	7.8	6.6	10.8
2020.10.09	10.8	5.7	9.7
2020.09.09	9.7	3.1	7.7
2020.08.05	7.1	-3.6	-7.6
2020.07.09	-7.6	-0.5	-4.4
2020.06.10	-4.4	0.0	-1.0
2020.05.06	-0.9	0.2	-2.1
2020.04.08	-2.0	0.5	1.5
2020.03.11	3.1	0.5	3.6
2020.02.11	3.5	0.7	-0.8
2020.01.16	1.8	0.4	2.0
2019.12.17	0.6	1.0	1.4
2019.11.08	1.4	1.3	2.7
2019.10.10	1.8	0.2	5.5
2019.09.09	5.0	0.0	-0.8
2019.08.07	-0.9	0.3	-0.3
2019.07.11	0.0	-0.3	-0.9
2019.06.07	-1.2	0.5	-2.3
2019.05.13	-2.5	0.4	1.4
2019.04.09	2.0	-0.4	-2.5
2019.03.12	-2.6	1.0	-6.0
2019.02.12	-6.1	0.7	-0.9
2019.01.17	-0.9	0.8	2.1
2018.12.10	2.2	0.2	-1.0
2018.11.09	-1.0	1.0	-2.2
2018.10.12	-2.1	0.1	0.0
2018.09.07	0.4	0.1	-0.8
2018.08.08	-1.1	-0.2	1.0
2018.07.11	1.1	-0.2	-0.9
2018.06.12	-1.4	-0.6	-2.3
2018.05.11	-2.2	0.1	-0.2
2018.04.12	-0.2	-0.6	-1.0
2018.03.13	-1.1	0.0	-2.3
2018.02.09	-2.3	-0.2	1.6
2018.01.17	2.1	-0.1	-0.6
2017.12.08	-0.6	-0.2	-2.5
2017.11.09	-2.3	0.1	1.5
2017.10.12	1.0		2.8
2017.09.08	2.9		1.2
2017.08.09	0.5		1.1
2017.07.11	1.0		-1.9
