Date	ActualValue	ForecastValue	PreviousValue
2022.08.09	20	15	13
2022.07.12	13	9	15
2022.06.14	16	14	20
2022.05.10	20	23	18
2022.04.12	18	16	9
2022.03.08	9	-4	3
2022.02.08	3	4	8
2022.01.25	8	12	12
2021.12.14	12	2	11
2021.11.09	11	-1	5
2021.10.12	5	23	14
2021.09.14	14	6	10
2021.08.10	11	10	25
2021.07.13	24	33	36
2021.06.08	37	27	32
2021.05.10	32	35	24
2021.04.13	25	27	17
2021.03.09	15	-5	9
2021.02.09	7	11	16
2021.01.27	14	13	7
2020.12.08	9	-2	2
2020.11.10	1	-11	0
2020.10.05	0	-17	-6
2020.09.08	-6	2	0
2020.08.11	0	4	-8
2020.07.14	-7	-23	-24
2020.06.09	-24	-16	-34
2020.05.12	-34	-4	-22
2020.04.14	-21	1	0
2020.03.10	0	3	2
2020.02.11	3	4	3
2020.01.28	3	3	4
2019.12.10	4	2	4
2019.11.12	3	2	2
2019.10.08	2	0	1
2019.09.10	1	1	3
2019.08.13	2	1	4
2019.07.09	3	3	1
2019.06.11	1	6	3
2019.05.14	3	4	7
2019.04.01	7	2	4
2019.03.12	4	5	7
2019.02.12	7	4	3
2019.01.29	2	11	11
2018.12.11	11	17	13
2018.11.13	12	13	14
2018.10.09	15	9	14
2018.09.11	15	15	13
2018.08.14	12	15	14
2018.07.10	15	18	14
2018.06.12	15	18	21
2018.05.07	21	20	15
2018.04.10	14	17	20
2018.03.13	21	16	18
2018.02.13	19	12	13
2018.01.30	13	15	13
2017.12.12	12	16	21
2017.11.14	21	14	14
2017.10.10	14		14
2017.09.12	15		15
2017.08.08	15		14
2017.07.11	15		12
2017.06.13	12		14
2017.05.08	14		12
2017.04.11	14		9
2017.03.14	9		16
2017.02.14	16		11
2017.01.31	11		5
2016.12.13	5		7
2016.11.08	6		8
2016.10.11	8		7
2016.09.13	7		8
2016.08.09	8		11
2016.07.12	12		10
2016.06.14	10		9
2016.05.02	9		12
2016.04.12	12		8
2016.03.08	8		5
2016.02.09	5		6
2016.01.25	7		10
2015.12.08	10		9
2015.11.10	9		9
2015.10.13	9		11
2015.09.08	11		6
2015.08.11	6		10
2015.07.14	11		6
2015.06.09	7		4
2015.05.11	4		6
2015.04.14	6		2
2015.03.10	2		2
2015.02.10	2		4
2015.01.27	4		5
2014.12.09	5		13
2014.11.11	13		1
2014.10.14	1		4
2014.09.09	3		8
2014.08.12	8		2
2014.07.08	2		-1
2014.06.10	-1		0
2014.05.12	0		1
2014.04.08	1		0
2014.03.11	0		4
2014.02.11	4		4
2014.01.28	3		-3
2013.12.10	-3		-4
2013.11.12	-4		-4
2013.10.08	-4		-6
2013.09.10	-7		-7
2013.08.13	-7		-8
2013.07.09	-7		-4
2013.06.11	-4		-6
2013.05.13	-6		-7
2013.04.09	-7		-3
2013.03.12	-3		-2
2013.02.12	-2		-4
2013.01.29	-5		-5
2012.12.11	-5		-5
2012.11.13	-5		-3
2012.10.09	-3		1
2012.09.11	0		-3
2012.08.14	-3		-1
2012.07.10	-1		-4
2012.06.12	-4		0
2012.05.07	0		4
2012.04.10	4		3
2012.03.13	3		2
2012.02.14	2		1
2012.01.31	1		1
2011.12.13	1		-1
2011.11.08	-1		2
2011.10.11	2		-3
2011.09.13	-3		-1
2011.08.09	-1		2
2011.07.12	2		1
2011.06.14	1		5
2011.05.09	5		9
2011.04.12	9		-6
2011.03.08	-2		-6
2011.02.08	-6		6
2011.02.01	6		2
2010.12.14	4		2
2010.11.09	2		7
2010.10.12	7		5
2010.09.14	5		5
2010.08.10	5		8
2010.07.13	8		6
2010.06.10	6		8
2010.05.10	8		13
2010.04.13	13		8
2010.03.09	8		3
2010.02.16	3		10
2010.01.13	10		10
2009.12.08	10		12
2009.11.10	12		3
2009.10.13	3		4
2009.09.08	4		1
2009.08.11	1		-2
2009.07.14	-2		-14
2009.06.09	-14		-10
2009.05.11	-10		-17
2009.04.14	-17		-20
2009.03.10	-20		-11
2009.02.10	-11		-6
2009.01.27	-6		-17
2008.12.09	-17		-11
2008.11.11	-11		-8
2008.10.14	-8		-7
2008.09.09	-7		-5
2008.08.12	-5		0
2008.07.08	0		-4
2008.06.10	-4		7
2008.05.05	7		-4
2008.04.08	-4		-2
2008.03.04	-2		-4
2008.02.12	-4		5
2008.01.29	5		15
2007.12.11	15		20
2007.11.13	20		16
2007.10.09	16		19
2007.09.11	19		20
2007.08.10	20		
