Date	ActualValue	ForecastValue	PreviousValue
2022.08.02	1.85		1.35
2022.07.05	1.35		0.85
2022.06.07	0.85		0.35
2022.05.03	0.35		0.10
2022.04.05	0.10		0.10
2022.03.01	0.10		0.10
2022.02.01	0.10		0.10
2021.12.07	0.10		0.10
2021.11.02	0.10		0.10
2021.10.05	0.10		0.10
2021.09.07	0.10		0.10
2021.08.03	0.10		0.10
2021.07.06	0.10		0.10
2021.06.01	0.10		0.10
2021.05.04	0.10		0.10
2021.04.06	0.10		0.10
2021.03.02	0.10		0.10
2021.02.02	0.10		0.10
2020.12.01	0.10		0.10
2020.11.03	0.10		0.25
2020.10.06	0.25		0.25
2020.09.01	0.25		0.25
2020.08.04	0.25		0.25
2020.07.07	0.25		0.25
2020.06.02	0.25		0.25
2020.05.05	0.25		0.25
2020.04.07	0.25		0.25
2020.03.19	0.25		0.50
2020.03.03	0.50		0.75
2020.02.04	0.75		0.75
2019.12.03	0.75		0.75
2019.11.05	0.75		0.75
2019.10.01	0.75		1.00
2019.09.03	1.00		1.00
2019.08.06	1.00		1.00
2019.07.02	1.00		1.25
2019.06.04	1.25		1.50
2019.05.07	1.50		1.50
2019.04.02	1.50		1.50
2019.03.05	1.50		1.50
2019.02.05	1.50		1.50
2018.12.04	1.50		1.50
2018.11.06	1.50		1.50
2018.10.02	1.50		1.50
2018.09.04	1.50		1.50
2018.08.07	1.50		1.50
2018.07.03	1.50		1.50
2018.06.05	1.50		1.50
2018.05.01	1.50		1.50
2018.04.03	1.50		1.50
2018.03.06	1.50		1.50
2018.02.06	1.50	1.48	1.50
2017.12.05	1.50	1.48	1.50
2017.11.07	1.50	1.48	1.50
2017.10.03	1.50		1.50
2017.09.05	1.50		1.50
2017.08.01	1.50		1.50
2017.07.04	1.50		1.50
2017.06.06	1.50		1.50
2017.05.02	1.50		1.50
2017.04.04	1.50		1.50
2017.03.07	1.50		1.50
2017.02.07	1.50		1.50
2016.12.06	1.50		1.50
2016.11.01	1.50		1.50
2016.10.04	1.50		1.50
2016.09.06	1.50		1.50
2016.08.02	1.50		1.75
2016.07.05	1.75		1.75
2016.06.07	1.75		1.75
2016.05.03	1.75		2.00
2016.04.05	2.00		2.00
2016.03.01	2.00		2.00
2016.02.02	2.00		2.00
2015.12.01	2.00		2.00
2015.11.03	2.00		2.00
2015.10.06	2.00		2.00
2015.09.01	2.00		2.00
2015.08.04	2.00		2.00
2015.07.07	2.00		2.00
2015.06.02	2.00		2.00
2015.05.05	2.00		2.25
2015.04.07	2.25		2.25
2015.03.03	2.25		2.25
2015.02.03	2.25		2.50
2014.12.02	2.50		2.50
2014.11.04	2.50		2.50
2014.10.07	2.50		2.50
2014.09.02	2.50		2.50
2014.08.05	2.50		2.50
2014.07.01	2.50		2.50
2014.06.03	2.50		2.50
2014.05.06	2.50		2.50
2014.04.01	2.50		2.50
2014.03.04	2.50		2.50
2014.02.04	2.50		2.50
2013.12.03	2.50		2.50
2013.11.05	2.50		2.50
2013.10.01	2.50		2.50
2013.09.03	2.50		2.50
2013.08.06	2.50		2.75
2013.07.02	2.75		2.75
2013.06.04	2.75		2.75
2013.05.07	2.75		3.00
2013.04.02	3.00		3.00
2013.03.05	3.00		3.00
2013.02.05	3.00		3.00
2012.12.04	3.00		3.25
2012.11.06	3.25		3.25
2012.10.02	3.25		3.50
2012.09.04	3.50		3.50
2012.08.07	3.50		3.50
2012.07.03	3.50		3.50
2012.06.05	3.50		3.75
2012.05.01	3.75		4.25
2012.04.03	4.25		4.25
2012.03.06	4.25		4.25
2012.02.07	4.25		4.25
2011.12.06	4.25		4.50
2011.11.01	4.50		4.75
2011.10.04	4.75		4.75
2011.09.06	4.75		4.75
2011.08.02	4.75		4.75
2011.07.05	4.75		4.75
2011.06.07	4.75		4.75
2011.05.03	4.75		4.75
2011.04.05	4.75		4.75
2011.03.01	4.75		4.75
2011.02.01	4.75		4.75
2010.12.07	4.75		4.75
2010.11.02	4.75		4.50
2010.10.05	4.50		4.50
2010.09.07	4.50		4.50
2010.08.03	4.50		4.50
2010.07.06	4.50		4.50
2010.06.01	4.50		4.50
2010.05.04	4.50		4.25
2010.04.06	4.25		4.00
2010.03.02	4.00		3.75
2010.02.02	3.75		3.75
2009.12.01	3.75		3.50
2009.11.03	3.50		3.25
2009.10.06	3.25		3.00
2009.09.01	3.00		3.00
2009.08.04	3.00		3.00
2009.07.07	3.00		3.00
2009.06.02	3.00		3.00
2009.05.05	3.00		3.00
2009.04.07	3.00		3.25
2009.03.03	3.25		3.25
2009.02.03	3.25		4.25
2008.12.02	4.25		5.25
2008.11.04	5.25		6.00
2008.10.07	6.00		7.00
2008.09.02	7.00		7.25
2008.08.05	7.25		7.25
2008.07.01	7.25		7.25
2008.06.03	7.25		7.25
2008.05.06	7.25		7.25
2008.04.01	7.25		7.25
2008.03.04	7.25		7.00
2008.02.05	7.00		6.75
2007.12.04	6.75		6.75
2007.11.06	6.75		6.50
2007.10.02	6.50		6.50
2007.09.04	6.50		6.50
2007.08.07	6.50		6.25
2007.07.03	6.25		6.25
2007.06.05	6.25		6.25
