Date	ActualValue	ForecastValue	PreviousValue
2022.08.29	1.3	0.2	0.2
2022.07.28	0.2	0.0	0.7
2022.06.29	0.9	-0.2	0.9
2022.05.27	0.9	0.1	1.6
2022.05.04	1.6	0.3	1.8
2022.03.29	1.8	-0.3	1.8
2022.02.28	1.8	-0.3	-4.4
2022.02.01	-4.4	0.6	7.3
2022.01.11	7.3	0.4	4.9
2021.11.26	4.9	-0.7	1.3
2021.10.29	1.3	-0.4	-1.7
2021.09.28	-1.7	0.8	-2.7
2021.08.27	-2.7	0.5	-1.8
2021.08.04	-1.8	-1.8	-1.8
2021.07.21	-1.8	-0.6	0.4
2021.07.05	0.4	0.1	0.1
2021.06.21	0.1	0.7	1.1
2021.06.03	1.1	1.1	1.1
2021.05.21	1.1	-0.8	1.3
2021.05.10	1.3	1.4	1.4
2021.04.21	1.4	1.1	-0.8
2021.04.01	-0.8	-1.1	-1.1
2021.03.19	-1.1	-0.7	0.5
2021.03.04	0.5	0.6	0.6
2021.02.19	0.6	0.1	-4.1
2021.02.05	-4.1	-4.2	-4.2
2021.01.22	-4.2	0.4	7.1
2021.01.11	7.1	7.0	7.0
2020.12.22	7.0	-0.6	1.4
2020.12.04	1.4	1.6	1.6
2020.11.20	1.6	0.5	-1.1
2020.11.04	-1.1	-1.5	-1.5
2020.10.21	-1.5	-0.7	-4.0
2020.10.02	-4.0	-4.2	-4.2
2020.09.23	-4.2	-9.3	3.2
2020.09.04	3.2	3.3	3.3
2020.08.21	3.3	-2.7	2.7
2020.08.04	2.7	2.4	2.4
2020.07.22	2.4	7.1	16.9
2020.07.03	16.9	16.3	16.3
2020.06.19	16.3	33.6	-17.7
2020.06.04	-17.7	-17.9	-17.9
2020.05.20	-17.9	8.7	8.5
2020.05.06	8.5	8.2	8.2
2020.04.22	8.2	0.2	0.5
2020.04.03	0.5	0.2	-0.3
2020.03.06	-0.3	0.2	-0.7
2020.02.06	-0.5	0.2	1.0
