Date	ActualValue	ForecastValue	PreviousValue
2022.08.04	17.670	14.114	15.016
2022.07.07	15.965	10.179	13.248
2022.06.02	10.495	8.574	9.738
2022.05.05	9.314	10.299	7.437
2022.04.07	7.457	11.153	11.786
2022.03.03	12.891	9.054	8.824
2022.02.03	8.356	10.577	9.756
2022.01.11	9.423	12.181	10.781
2021.12.02	11.220	14.318	11.824
2021.11.04	12.243	13.466	14.739
2021.10.05	15.077	11.214	12.650
2021.09.02	12.117	9.542	11.114
2021.08.05	10.496	7.944	9.269
2021.07.01	9.681	7.368	8.157
2021.06.03	8.028	6.628	5.794
2021.05.04	5.574	9.057	7.595
2021.04.01	7.529	8.956	9.616
2021.03.04	10.142	6.046	7.133
2021.02.04	6.785	6.303	5.014
2021.01.07	5.022	6.752	6.583
2020.12.03	7.456	4.210	5.815
2020.11.05	5.630	3.624	2.618
2020.10.06	2.643	6.458	4.652
2020.09.03	4.607	8.453	8.149
2020.08.04	8.202	8.763	7.341
2020.07.02	8.025	10.227	7.830
2020.06.04	8.800	8.289	10.446
2020.05.07	10.602	4.836	3.865
2020.04.07	4.361	5.315	4.745
2020.03.05	5.210	5.618	5.376
2020.02.06	5.223	5.296	5.518
2020.01.09	5.800	5.915	4.075
2019.12.05	4.502	6.890	6.847
2019.11.07	7.180	6.808	6.617
2019.10.03	5.926	8.093	7.253
2019.09.05	7.268	7.492	7.977
2019.08.06	8.036	5.526	6.173
2019.07.03	5.745	5.042	4.820
2019.06.06	4.871	5.326	4.887
2019.05.07	4.949	5.393	5.140
2019.04.03	4.801	4.378	4.351
2019.03.07	4.549	2.597	3.769
2019.02.05	3.681	2.184	2.256
2019.01.08	1.925	2.968	2.013
2018.12.06	2.316	2.389	2.940
2018.11.01	3.017	1.979	2.342
2018.10.04	1.604	1.695	1.548
2018.09.06	1.551	1.338	1.937
2018.08.02	1.873	-0.009	0.725
2018.07.04	0.827	1.644	0.472
2018.06.07	0.977	2.683	1.731
2018.05.03	1.527	0.927	1.349
2018.04.05	0.825	-0.247	0.952
2018.03.08	1.055	-2.372	-1.146
2018.02.06	-1.358	-0.256	0.036
2018.01.05	-0.628	0.915	-0.302
2017.12.07	0.105	1.353	1.604
2017.11.02	1.745	0.713	0.873
2017.10.05	0.989		0.808
2017.09.07	0.460		0.888
2017.08.03	0.856		2.024
2017.07.06	2.471		0.090
2017.06.08	0.555		3.169
2017.05.04	3.107		3.657
2017.04.04	3.574		1.503
2017.03.02	1.302		3.334
2017.02.02	3.511		2.040
2017.01.06	1.243		-1.119
2016.12.08	-1.541		-1.272
2016.11.03	-1.227		-1.894
2016.10.06	-2.010		-2.121
2016.09.08	-2.410		-3.250
2016.08.02	-3.195		-2.418
2016.07.05	-2.218		-1.785
2016.06.02	-1.579		-1.971
2016.05.05	-2.163		-3.044
2016.04.05	-3.410		-3.156
2016.03.03	-2.937		-3.524
2016.02.03	-3.535		-2.727
2016.01.07	-2.906		-3.247
2015.12.03	-3.305		-2.403
2015.11.04	-2.317		-2.711
2015.10.06	-3.095		-2.792
2015.09.03	-2.460		-3.050
2015.08.04	-2.933		-2.677
2015.07.02	-2.751		-4.136
2015.06.04	-3.888		-1.231
2015.05.05	-1.322		-1.609
2015.04.02	-1.256		-1.003
2015.03.05	-0.980		-0.503
2015.02.03	-0.436		-1.016
2015.01.06	-0.925		-0.877
2014.12.04	-1.323		-2.235
2014.11.04	-2.261		-1.013
2014.10.02	-0.787		-1.075
2014.09.04	-1.359		-1.564
2014.08.05	-1.683		-2.043
2014.07.02	-1.911		-0.780
2014.06.05	-0.122		0.902
2014.05.06	0.731		1.257
2014.04.03	1.200		1.392
2014.03.06	1.433		0.591
2014.02.06	0.468		0.083
2014.01.07	-0.118		-0.358
2013.12.05	-0.529		-0.271
2013.11.06	-0.284		-0.693
2013.10.02	-0.815		-1.375
2013.09.05	-0.765		0.243
2013.08.06	0.602		0.507
2013.07.03	0.670		0.171
2013.06.06	0.028		0.555
2013.05.07	0.310		-0.110
2013.04.03	-0.180		-1.220
2013.03.07	-1.060		-0.690
2013.02.05	-0.430		-2.790
2013.01.08	-2.640		-2.440
2012.12.07	-2.090		-1.420
2012.11.05	-1.460		-1.880
2012.10.03	-2.030		-1.530
2012.09.07	-0.560		-0.230
2012.08.02	0.010		-0.310
2012.07.05	-0.290		-0.030
2012.06.08	-0.200		-1.280
2012.05.08	-1.590		-0.750
2012.04.04	-0.480		-0.970
2012.03.09	-0.670		1.330
2012.02.02	1.710		1.340
2012.01.05	1.380		1.420
2011.12.12	1.600		2.250
2011.11.08	2.560		2.950
2011.10.04	3.100		1.820
2011.09.12	1.830		1.820
2011.08.03	2.050		2.700
2011.07.05	2.330		1.620
2011.06.02	1.600		1.690
2011.05.10	1.740		-0.090
2011.04.05	-0.210		1.430
2011.03.03	1.880		2.020
2011.02.03	1.980		2.080
2011.01.11	1.930		2.560
2010.12.02	2.630		1.810
2010.11.04	1.760		2.450
2010.10.05	2.350		1.740
2010.09.02	1.890		3.440
2010.08.04	3.540		1.830
2010.07.06	1.650		1.120
2010.06.03	0.130		-2.040
2010.05.06	-2.080		-1.700
2010.04.01	-1.920		-1.120
2010.03.04	-1.180		-2.170
2010.02.03	-2.250		-1.730
2010.01.07	-1.700		-2.080
2009.12.09	-2.380		-1.850
2009.11.05	-1.850		-1.650
2009.10.06	-1.520		-1.780
2009.09.03	-1.560		-0.540
2009.08.05	-0.440		-0.740
2009.07.02	-0.560		-0.280
2009.06.04	-0.090		2.300
2009.05.06	2.500		1.750
2009.04.02	2.110		0.970
2009.03.05	0.970		0.590
2009.02.03	0.590		0.980
2009.01.08	1.450		2.950
2008.12.04	2.950		1.250
2008.11.05	1.460		1.360
2008.10.02	1.360		-0.720
2008.09.04	-0.700		0.400
2008.07.31	0.400		-1.000
2008.07.03	-1.000		-1.000
2008.06.05	-1.000		-2.700
2008.05.06	-2.740		-3.290
2008.04.07	-3.300		-2.700
2008.03.06	-2.700		
