Date	ActualValue	ForecastValue	PreviousValue
2022.08.18	3.4	3.4	3.5
2022.07.14	3.5	3.8	3.9
2022.06.16	3.9	3.6	3.9
2022.05.19	3.9	4.1	3.9
2022.04.14	4.0	4.4	4.0
2022.03.17	4.0	4.1	4.2
2022.02.17	4.2	3.6	4.2
2022.01.20	4.2	4.3	4.6
2021.12.16	4.6	5.5	5.2
2021.11.11	5.2	4.7	4.6
2021.10.14	4.6	4.4	4.5
2021.09.16	4.5	4.3	4.6
2021.08.19	4.6	4.5	4.9
2021.07.15	4.9	4.9	5.1
2021.06.17	5.1	5.5	5.5
2021.05.20	5.5	5.4	5.7
2021.04.15	5.6	5.6	5.8
2021.03.18	5.8	6.3	6.3
2021.02.18	6.4	6.1	6.6
2021.01.21	6.6	7.0	6.8
2020.12.17	6.8	6.6	7.0
2020.11.19	7.0	7.3	6.9
2020.10.15	6.9	6.4	6.8
2020.09.17	6.8	7.5	7.5
2020.08.13	7.5	7.8	7.4
2020.07.16	7.4	6.9	7.1
2020.06.18	7.1	5.7	6.4
2020.05.14	6.2	5.2	5.2
2020.04.16	5.2	5.2	5.1
2020.03.19	5.1	5.2	5.3
2020.02.20	5.3	5.2	5.1
2020.01.23	5.1	5.3	5.2
2019.12.19	5.2	5.3	5.3
2019.11.14	5.3	5.3	5.2
2019.10.17	5.2	5.3	5.3
2019.09.19	5.3	5.2	5.2
2019.08.15	5.2	5.1	5.2
2019.07.18	5.2	5.2	5.2
2019.06.13	5.2	5.3	5.2
2019.05.16	5.2	5.0	5.1
2019.04.18	5.0	5.0	4.9
2019.03.21	4.9	5.0	5.0
2019.02.21	5.0	5.1	5.0
2019.01.24	5.0	5.1	5.1
2018.12.20	5.1	5.0	5.0
2018.11.15	5.0	5.2	5.0
2018.10.18	5.0	5.3	5.3
2018.09.13	5.3	5.4	5.3
2018.08.16	5.3	5.5	5.4
2018.07.19	5.4	5.6	5.4
2018.06.14	5.4	5.6	5.6
2018.05.17	5.6	5.5	5.5
2018.04.19	5.5	5.4	5.5
2018.03.22	5.6	5.4	5.5
