Date	ActualValue	ForecastValue	PreviousValue
2022.08.09	-3.0	0.6	-3.0
2022.07.12	-3.0		-4.5
2022.06.15	-4.5	-0.7	-5.6
2022.05.11	-5.6	0.7	-0.9
2022.04.13	-0.9	0.5	-4.2
2022.03.08	-4.2	-1.1	-1.3
2022.02.08	-1.3	0.4	-2.0
2022.01.18	-2.0	1.2	-1.0
2021.12.14	-1.0	-1.6	0.6
2021.11.09	0.6	-0.5	-1.5
2021.10.12	-1.5	2.4	2.0
2021.09.15	2.0	-0.6	-4.4
2021.08.11	-4.4	-2.4	1.5
2021.07.14	1.5	2.5	-5.2
2021.06.09	-5.2	2.1	-4.8
2021.05.19	-4.8	-2.7	6.2
2021.04.14	6.2	-0.6	2.6
2021.03.09	2.6	1.8	1.9
2021.02.09	1.9	-3.0	-4.5
2021.01.19	-4.5	-3.8	4.1
2020.12.08	4.1	-5.6	2.5
2020.11.10	2.5	3.8	11.9
2020.10.13	11.9	9.9	18.0
2020.09.09	18.0	-1.5	-9.5
2020.08.12	-9.5	1.2	-6.1
2020.07.15	-6.1	-0.9	6.3
2020.06.10	6.3	-9.2	16.4
2020.05.13	16.4	1.4	-17.7
2020.04.15	-17.7	-0.4	-3.8
2020.03.10	-3.8	-0.4	2.3
2020.02.11	2.3	1.4	-1.8
2020.01.21	-1.8	-0.8	-1.9
2019.12.10	-1.9	-0.7	4.5
2019.11.12	4.5	2.0	-5.5
2019.10.08	-5.5	-0.6	-1.7
2019.09.11	-1.7	-1.1	3.6
2019.08.14	3.6		-4.1
2019.07.10	-4.1		-0.6
2019.06.12	-0.6		0.6
2019.05.15	0.6		1.9
2019.04.10	1.9		-4.8
2019.03.12	-4.8		4.3
2019.02.12	4.3		-4.7
2019.01.15	-4.7		0.1
2018.12.11	0.1		2.8
2018.11.13	2.8		1.0
2018.10.09	1.0		-3.0
2018.09.12	-3.0		-2.3
2018.08.15	-2.3		3.9
2018.07.11	3.9		0.3
2018.06.13	0.3		-0.6
2018.05.16	-0.6		-0.6
2018.04.11	-0.6		0.2
2018.03.13	0.2		-2.3
2018.02.13	-2.3		1.8
2018.01.16	1.8		3.6
2017.12.12	3.6		-1.7
2017.11.14	-1.7		3.6
