Date	ActualValue	ForecastValue	PreviousValue
2022.07.13	2.50		1.50
2022.06.01	1.50		1.00
2022.04.13	1.00		0.50
2022.03.02	0.50		0.25
2022.01.26	0.25		0.25
2021.12.08	0.25		0.25
2021.10.27	0.25		0.25
2021.09.08	0.25		0.25
2021.07.14	0.25		0.25
2021.06.09	0.25		0.25
2021.04.21	0.25		0.25
2021.03.10	0.25		0.25
2021.01.20	0.25		0.25
2020.12.09	0.25		0.25
2020.10.28	0.25		0.25
2020.09.09	0.25		0.25
2020.07.15	0.25		0.25
2020.06.03	0.25		0.25
2020.04.15	0.25		0.25
2020.03.27	0.25		0.75
2020.03.13	0.75		1.25
2020.03.04	1.25		1.75
2020.01.22	1.75		1.75
2019.12.04	1.75		1.75
2019.10.30	1.75		1.75
2019.09.04	1.75		1.75
2019.07.10	1.75		1.75
2019.05.29	1.75		1.75
2019.04.24	1.75		1.75
2019.03.06	1.75		1.75
2019.01.09	1.75		1.75
2018.12.05	1.75		1.75
2018.10.24	1.75		1.50
2018.09.05	1.50		1.50
2018.07.11	1.50		1.25
2018.05.30	1.25		1.25
2018.04.18	1.25		1.25
2018.03.07	1.25		1.25
2018.01.17	1.25	1.12	1.00
2017.12.06	1.00	1.08	1.00
2017.10.25	1.00	0.87	1.00
2017.09.06	1.00		0.75
2017.07.12	0.75		0.50
2017.05.24	0.50		0.50
2017.04.12	0.50		0.50
2017.03.01	0.50		0.50
2017.01.18	0.50		0.50
2016.12.07	0.50		0.50
2016.10.19	0.50		0.50
2016.09.07	0.50		0.50
2016.07.13	0.50		0.50
2016.05.25	0.50		0.50
2016.04.13	0.50		0.50
2016.03.09	0.50		0.50
2016.01.20	0.50		0.50
2015.12.02	0.50		0.50
2015.10.21	0.50		0.50
2015.09.09	0.50		0.50
2015.07.15	0.50		0.75
2015.05.27	0.75		0.75
2015.04.15	0.75		0.75
2015.03.04	0.75		0.75
2015.01.21	0.75		1.00
2014.12.03	1.00		1.00
2014.10.22	1.00		1.00
2014.09.03	1.00		1.00
2014.07.16	1.00		1.00
2014.06.04	1.00		1.00
2014.04.16	1.00		1.00
2014.03.05	1.00		1.00
2014.01.22	1.00		1.00
2013.12.04	1.00		1.00
2013.10.23	1.00		1.00
2013.09.04	1.00		1.00
2013.07.17	1.00		1.00
2013.05.29	1.00		1.00
2013.04.17	1.00		1.00
2013.03.06	1.00		1.00
2013.01.23	1.00		1.00
2012.12.04	1.00		1.00
2012.10.23	1.00		1.00
2012.09.05	1.00		1.00
2012.07.17	1.00		1.00
2012.06.05	1.00		1.00
2012.04.17	1.00		1.00
2012.03.08	1.00		1.00
2012.01.17	1.00		1.00
2011.12.06	1.00		1.00
2011.10.25	1.00		1.00
2011.09.07	1.00		1.00
2011.07.19	1.00		1.00
2011.05.31	1.00		1.00
2011.04.12	1.00		1.00
2011.03.01	1.00		1.00
2011.01.18	1.00		1.00
2010.12.07	1.00		1.00
2010.10.19	1.00		1.00
2010.09.08	1.00		0.75
2010.07.20	0.75		0.50
2010.06.01	0.50		0.25
2010.04.20	0.25		0.25
2010.03.02	0.25		0.25
2010.01.19	0.25		0.25
2009.12.08	0.25		0.25
2009.10.20	0.25		0.25
2009.09.10	0.25		0.25
2009.07.21	0.25		0.25
2009.06.04	0.25		0.25
2009.04.21	0.25		0.50
2009.03.03	0.50		1.00
2009.01.20	1.00		1.50
2008.12.09	1.50		2.25
2008.10.21	2.25		2.50
2008.10.08	2.50		3.00
2008.09.03	3.00		3.00
2008.07.15	3.00		3.00
2008.06.10	3.00		3.00
2008.04.22	3.00		3.50
2008.03.04	3.50		4.00
2008.01.22	4.00		4.25
2007.12.04	4.25		4.50
2007.10.16	4.50		4.50
2007.09.05	4.50		4.50
2007.07.10	4.50		4.25
2007.05.29	4.25		4.25
