Date	ActualValue	ForecastValue	PreviousValue
2022.08.16	275.329	282.444	272.381
2022.07.18	273.841	261.333	282.188
2022.06.15	287.257	243.012	265.734
2022.05.16	267.330	229.960	248.389
2022.04.19	246.243	226.839	250.246
2022.03.15	247.256	226.837	229.185
2022.02.15	230.754	238.695	238.405
2022.01.18	236.106	253.687	303.813
2021.12.15	301.279	241.659	238.366
2021.11.16	236.554	256.864	249.922
2021.10.18	251.151	269.892	262.754
2021.09.16	260.239	279.266	270.744
2021.08.17	272.176	284.339	281.200
2021.07.16	282.070	284.433	286.296
2021.06.15	275.916	282.692	267.449
2021.05.17	268.631	290.707	335.200
2021.04.19	335.200	240.146	275.567
2021.03.15	245.922	239.918	284.372
2021.02.15	282.428	232.054	229.350
2021.01.18	228.279	224.085	259.949
2020.12.15	246.033	216.494	215.134
2020.11.17	214.875	210.324	208.715
2020.10.08	208.980	225.755	261.547
2020.09.09	262.396	207.514	245.425
2020.08.11	245.604	183.221	212.095
2020.07.09	211.681	193.408	195.453
2020.06.08	193.453	200.597	166.477
2020.05.08	166.415	206.819	195.420
2020.04.08	195.174	212.745	210.574
2020.03.09	210.069	215.709	214.031
2020.02.10	213.224	217.686	195.892
2020.01.09	197.329	220.543	204.320
2019.12.09	201.318	212.639	200.674
2019.11.08	201.973	210.580	221.135
2019.10.08	221.202	204.264	226.871
2019.09.10	226.639	201.809	222.467
2019.08.09	222.013	199.329	245.455
2019.07.09	245.657	200.118	196.809
2019.06.10	202.337	192.517	233.410
2019.05.08	235.460	201.294	191.981
2019.04.08	192.527	212.190	166.290
2019.03.08	173.153	209.699	206.809
2019.02.08	207.968	209.699	213.630
2019.01.09	213.419	212.721	224.349
2018.12.10	215.941	218.290	206.753
2018.11.08	205.925	218.290	189.730
2018.10.09	188.683	222.117	198.843
2018.09.11	200.986	217.529	205.751
2018.08.09	206.314	217.769	246.200
2018.07.10	248.138	214.349	193.902
2018.06.08	195.613	220.121	216.775
2018.05.08	214.379	219.130	225.459
2018.04.10	225.213	218.204	231.026
2018.03.08	229.737	217.412	215.260
2018.02.08	216.210	215.782	216.275
2018.01.09	216.980	223.022	251.675
2017.12.08	252.184	210.512	222.695
2017.11.08	222.771	217.059	219.293
2017.10.10	217.118	215.050	225.918
2017.09.11	223.232		221.974
2017.08.09	222.300		212.900
2017.07.11	212.700		195.000
2017.06.08	194.700		213.500
2017.05.08	214.100		252.300
2017.04.10	253.700		214.300
2017.03.08	210.200		208.900
2017.02.08	207.400		207.000
2017.01.10	207.000		187.300
2016.12.08	184.000		192.300
2016.11.08	192.900		219.400
2016.10.11	220.600		184.200
2016.09.08	182.700		194.700
2016.08.09	198.400		218.300
2016.07.11	218.300		186.700
2016.06.08	188.600		191.400
2016.05.09	191.500		202.400
2016.04.08	204.300		219.100
2016.03.08	212.600		165.100
2016.02.05	166.000		173.000
2016.01.11	173.000		212.000
2015.12.08	211.900		197.700
2015.11.09	198.100		231.300
2015.10.08	230.700		214.300
2015.09.09	216.900		193.300
2015.08.11	193.000		202.300
2015.07.09	202.810		196.980
2015.06.08	201.700		183.300
2015.05.08	181.800		189.500
2015.04.10	189.700		156.300
2015.03.09	151.200		187.300
2015.02.09	187.000		180.600
2015.01.09	179.600		195.600
2014.12.08	193.200		183.600
2014.11.10	183.700		197.300
2014.10.08	197.400		192.400
2014.09.09	196.300		200.100
2014.08.11	199.800		198.200
2014.07.09	198.700		198.300
2014.06.09	197.000		194.800
2014.05.08	196.700		156.800
2014.04.08	156.600		192.100
2014.03.10	190.600		180.200
2014.02.10	180.500		189.700
2014.01.09	187.100		192.200
2013.12.09	197.800		198.300
2013.11.08	198.200		193.600
2013.10.08	195.900		180.300
2013.09.10	184.000		192.900
2013.08.09	193.000		199.600
2013.07.09	193.800		200.200
2013.06.10	204.600		174.900
2013.05.08	175.900		184.000
2013.04.09	181.100		183.200
2013.03.08	183.200		160.600
2013.02.08	159.000		198.000
2013.01.09	197.100		196.125
2012.12.10	201.400		204.100
2012.11.08	203.487		220.215
2012.10.09	224.000		224.900
2012.09.11	225.328		208.500
2012.08.09	208.000		222.700
2012.07.10	222.100		211.400
2012.06.08	217.400		244.900
2012.05.08	243.800		215.600
2012.04.11	214.800		205.300
2012.03.08	205.300		197.900
2012.02.08	198.100		199.900
2012.01.10	199.900		181.100
2011.12.08	185.600		207.600
2011.11.08	208.800		205.900
2011.10.11	208.800		184.700
2011.09.09	191.900		205.000
2011.08.09	205.000		201.000
2011.07.11	196.600		183.600
2011.06.08	194.100		179.000
2011.05.09	178.700		188.800
2011.04.08	184.700		181.900
2011.03.08	183.700		170.690
2011.02.08	170.600		171.500
2011.01.11	169.000		187.200
2010.12.08	198.200		167.900
2010.11.08	167.900		186.400
2010.10.08	185.000		183.300
2010.09.09	189.300		189.200
2010.08.10	189.200		192.800
2010.07.09	192.800		189.100
2010.06.08	189.100		201.700
2010.05.10	201.800		197.300
2010.04.12	200.900		196.700
2010.03.08	200.400		186.300
2010.02.08	185.000		174.500
2010.01.11	176.100		158.500
2009.12.08	165.000		157.300
2009.11.09	157.400		150.100
2009.10.08	149.000		150.400
2009.09.09	150.400		132.100
2009.08.11	132.100		140.700
2009.07.09	138.000		128.400
2009.06.08	128.400		117.400
2009.05.08	118.000		154.700
2009.04.08	146.500		134.600
2009.03.09	134.600		153.500
2009.02.09	153.500		177.000
2009.01.09	172.000		172.000
2008.12.08	178.000		211.800
2008.11.10	211.800		217.600
2008.10.08	218.600		211.000
2008.09.09	211.000		186.500
2008.08.11	186.500		217.800
2008.07.09	217.800		221.300
2008.06.09	227.700		213.900
2008.05.08	213.900		254.700
2008.04.08	254.700		255.600
2008.03.10	243.000		222.700
2008.02.08	222.700		187.500
2008.01.09	184.700		227.900
2007.12.10	233.300		219.000
2007.11.08	227.600		278.200
2007.10.09	281.000		232.700
2007.09.11	232.700		216.000
2007.08.10	216.000		226.000
2007.07.10	226.000		229.700
2007.06.08	235.000		211.900
2007.05.08	211.900		210.900
2007.04.11	210.900		
