Date	ActualValue	ForecastValue	PreviousValue
2022.08.16	0.5	0.6	0.3
2022.07.20	0.3	0.5	0.8
2022.06.22	0.8	0.3	0.7
2022.05.18	0.7	0.5	1.0
2022.04.20	1.0	0.3	0.8
2022.03.16	0.8	0.6	0.8
2022.02.16	0.8	0.4	0.0
2022.01.19	0.0	-0.2	0.0
2021.12.15	0.0	0.1	0.6
2021.11.17	0.6	0.4	0.3
2021.10.20	0.3	0.3	0.2
2021.09.15	0.2	0.2	0.6
2021.08.18	0.6	0.1	0.3
2021.07.28	0.3	0.3	0.4
2021.06.16	0.4	0.1	0.5
2021.05.19	0.5	-0.1	0.3
2021.04.21	0.3	0.0	0.3
2021.03.17	0.3	0.8	0.5
2021.02.17	0.5	0.0	-0.4
2021.01.20	-0.4	-0.2	0.2
2020.12.16	0.2	0.0	0.4
2020.11.18	0.4	0.4	0.1
2020.10.21	0.1	0.1	0.0
2020.09.16	0.0	-0.2	-0.1
2020.08.19	-0.1	0.3	0.4
2020.07.22	0.4	0.3	-0.1
2020.06.17	-0.1	0.1	-0.4
2020.05.20	-0.4	0.0	0.1
2020.04.22	0.1	0.3	0.7
2020.03.18	0.7	0.7	0.4
2020.02.19	0.4	0.4	-0.4
2020.01.22	-0.4	-0.2	-0.2
2019.12.18	-0.2	-0.2	0.4
2019.11.20	0.4	0.3	0.0
2019.10.16	0.0	0.0	-0.1
2019.09.18	-0.1	0.1	0.3
2019.08.21	0.3	0.2	0.0
2019.07.17	0.0	0.1	0.4
2019.06.19	0.4	-0.1	0.0
2019.05.15	0.0	0.0	0.3
2019.04.17	0.3	0.2	0.7
2019.03.22	0.7	0.7	0.3
2019.02.27	0.3	0.5	-0.2
2019.01.18	-0.2	-0.5	-0.2
2018.12.19	-0.2	-0.2	0.4
2018.11.23	0.4	0.3	0.0
2018.10.19	0.0	0.2	0.1
2018.09.21	0.1	-0.1	0.2
2018.08.17	0.2	-0.1	0.1
2018.07.20	0.1	0.3	-0.1
2018.06.22	-0.1	0.2	0.1
2018.05.18	0.1	0.2	0.2
2018.04.20	0.2	0.2	0.7
2018.03.23	0.7	0.5	0.5
2018.02.23	0.5	0.7	-0.5
2018.01.26	-0.5	-0.6	-0.1
2017.12.21	-0.1	-0.7	0.3
2017.11.17	0.3	0.1	0.2
2017.10.20	0.2	0.3	0.0
2017.09.22	0.0	0.2	-0.1
2017.08.18	-0.1		0.1
2017.07.21	0.1		0.1
2017.06.23	0.1		0.0
2017.05.19	0.0		0.3
2017.04.21	0.3		0.4
2017.03.24	0.4		0.5
2017.02.24	0.5		-0.3
2017.01.20	-0.3		-0.5
2016.12.22	-0.5		0.2
2016.11.18	0.2		0.2
2016.10.21	0.2		0.0
2016.09.23	0.0		0.0
2016.08.19	0.0		0.0
2016.07.22	0.0		0.3
2016.06.17	0.3		0.2
2016.05.20	0.2		0.7
2016.04.22	0.7		0.5
2016.03.18	0.5		0.3
2016.02.19	0.3		-0.4
2016.01.22	-0.4		-0.3
2015.12.18	-0.3		0.3
2015.11.20	0.3		0.2
2015.10.23	0.2		0.2
2015.09.18	0.2		0.0
2015.08.21	0.0		0.0
2015.07.17	0.0		0.4
2015.06.19	0.4		0.1
2015.05.22	0.1		0.6
2015.04.17	0.6		0.6
2015.03.20	0.6		0.2
2015.02.26	0.2		-0.3
2015.01.23	-0.3		-0.2
2014.12.19	-0.2		0.3
2014.11.21	0.3		0.2
2014.10.17	0.2		0.5
2014.09.19	0.5		-0.1
2014.08.22	-0.1		-0.1
2014.07.18	-0.1		0.5
2014.06.20	0.5		0.2
2014.05.23	0.2		0.3
2014.04.17	0.3		0.7
2014.03.21	0.7		0.2
2014.02.21	0.2		-0.4
2014.01.24	-0.4		-0.1
2013.12.20	-0.1		0.2
2013.11.22	0.2		0.2
2013.10.18	0.2		0.2
2013.09.20	0.2		0.0
2013.08.23	0.0		-0.2
2013.07.19	-0.2		0.2
2013.06.21	0.2		0.1
2013.05.17	0.1		0.2
2013.04.19	0.2		0.8
2013.03.27	0.8		0.1
2013.02.22	0.1		-0.6
2013.01.25	-0.6		0.0
2012.12.21	0.0		0.3
2012.11.23	0.3		0.2
2012.10.19	0.2		0.3
2012.09.21	0.3		-0.1
2012.08.17	-0.1		-0.4
2012.07.20	-0.4		0.2
2012.06.22	0.2		0.4
2012.05.18	0.4		0.3
2012.04.20	0.3		0.4
2012.03.23	0.4		0.2
2012.02.17	0.2		-0.5
2012.01.20	-0.5		0.1
2011.12.20	0.1		0.3
2011.11.18	0.3		0.5
2011.10.21	0.5		0.4
2011.09.21	0.4		0.2
2011.08.19	0.2		-0.6
2011.07.22	-0.6		0.5
2011.06.29	0.5		0.2
2011.05.20	0.2		0.7
2011.04.19	0.7		0.2
2011.03.18	0.2		0.0
2011.02.18	0.0		-0.3
2011.01.25	-0.3		0.0
2010.12.21	0.0		0.4
2010.11.23	0.4		0.2
2010.10.22	0.2		0.1
2010.09.21	0.1		0.5
2010.08.20	-0.1		-0.1
2010.07.23	-0.1		0.3
2010.06.22	0.3		0.3
2010.05.21	0.3		-0.2
2010.04.23	-0.2		0.7
2010.03.19	0.7		0.1
2010.02.18	0.1		-0.3
2010.01.20	-0.3		0.4
2009.12.17	0.4		0.1
2009.11.18	0.1		0.3
2009.10.16	0.3		0.1
2009.09.17	0.1		0.0
2009.08.19	0.0		0.0
2009.07.17	0.0		0.4
2009.06.18	0.4		0.1
2009.05.20	0.1		0.3
2009.04.17	0.3		0.5
2009.03.19	0.5		-0.4
2009.02.20	-0.4		0.0
2009.01.23	-0.3		0.6
2008.12.19	0.7		-0.2
2008.11.21	0.0		0.4
2008.10.24	0.4		0.3
2008.09.23	0.3		0.1
2008.08.21	0.1		0.1
2008.07.23	0.1		0.3
2008.06.19	0.3		0.3
2008.05.21	0.3		0.2
2008.04.17	0.2		0.5
2008.03.18	0.5		0.1
2008.02.19	0.1		-0.3
2008.01.25	-0.3		0.0
2007.12.18	0.0		-0.2
2007.11.20	-0.2		0.4
2007.10.19	0.4		0.1
2007.09.19	0.1		0.1
2007.08.21	0.1		0.0
2007.07.18	0.0		0.3
2007.06.19	0.3		0.2
2007.05.17	0.2		0.3
2007.04.19	0.3		0.5
2007.03.20	0.5		0.1
2007.02.20	0.1		
