Date	ActualValue	ForecastValue	PreviousValue
2022.08.16	6.1	6.7	6.2
2022.07.20	6.2	6.7	6.1
2022.06.22	6.1	5.9	5.7
2022.05.18	5.7	5.5	5.5
2022.04.20	5.5	5.0	4.8
2022.03.16	4.8	4.8	4.3
2022.02.16	4.3	4.6	4.0
2022.01.19	4.0	3.7	3.6
2021.12.15	3.6	3.4	3.8
2021.11.17	3.8	3.5	3.7
2021.10.20	3.7	3.6	3.5
2021.09.15	3.5	3.7	3.3
2021.08.18	3.3	2.8	2.7
2021.07.28	2.7	2.6	2.8
2021.06.16	2.8	1.9	2.3
2021.05.19	2.3	1.3	1.4
2021.04.21	1.4	1.4	1.2
2021.03.17	1.2	1.5	1.6
2021.02.17	1.6	1.5	1.5
2021.01.20	1.5	1.2	1.5
2020.12.16	1.5	1.0	1.0
2020.11.18	1.0	0.9	1.0
2020.10.21	1.0	0.7	0.8
2020.09.16	0.8	0.9	0.7
2020.08.19	0.7	0.9	1.1
2020.07.22	1.1	0.9	0.7
2020.06.17	0.7	1.4	1.2
2020.05.20	1.2	1.7	1.6
2020.04.22	1.6	1.8	1.8
2020.03.18	1.8	1.7	1.8
2020.02.19	1.8	1.8	1.7
2020.01.22	1.7	1.9	1.9
2019.12.18	1.9	1.9	1.9
2019.11.20	1.9	1.9	1.9
2019.10.16	1.9	1.9	1.9
2019.09.18	1.9	2.2	2.0
2019.08.21	2.0	2.3	2.0
2019.07.17	2.0	2.6	2.1
2019.06.19	2.1	1.2	1.5
2019.05.15	1.5	1.8	1.6
2019.04.17	1.6	1.3	1.5
2019.03.22	1.5	1.2	1.5
2019.02.27	1.5	2.0	1.7
2019.01.18	1.7	1.2	1.5
2018.12.19	1.5	1.9	1.6
2018.11.23	1.6	1.7	1.5
2018.10.19	1.5	1.8	1.7
2018.09.21	1.7	1.4	1.6
2018.08.17	1.6	1.3	1.3
2018.07.20	1.3	1.4	1.3
2018.06.22	1.3	1.4	1.5
2018.05.18	1.5	1.4	1.4
2018.04.20	1.4	1.5	1.5
2018.03.23	1.5	1.4	1.2
2018.02.23	1.2	1.2	1.2
2018.01.26	1.2	1.1	1.3
2017.12.21	1.3	0.8	0.9
2017.11.17	0.9	0.8	0.8
2017.10.20	0.8	0.8	0.9
2017.09.22	0.9	0.6	0.9
2017.08.18	0.9		0.9
2017.07.21	0.9		0.9
2017.06.23	0.9		1.1
2017.05.19	1.1		1.3
2017.04.21	1.3		1.7
2017.03.24	1.7		1.7
2017.02.24	1.7		1.6
2017.01.20	1.6		1.5
2016.12.22	1.5		1.7
2016.11.18	1.7		1.8
2016.10.21	1.8		1.8
2016.09.23	1.8		2.1
2016.08.19	2.1		2.1
2016.07.22	2.1		2.1
2016.06.17	2.1		2.2
2016.05.20	2.2		2.1
2016.04.22	2.1		1.9
2016.03.18	1.9		2.0
2016.02.19	2.0		1.9
2016.01.22	1.9		2.0
2015.12.18	2.0		2.1
2015.11.20	2.1		2.1
2015.10.23	2.1		2.1
2015.09.18	2.1		2.4
2015.08.21	2.4		2.3
2015.07.17	2.3		2.2
2015.06.19	2.2		2.3
2015.05.22	2.3		2.4
2015.04.17	2.4		2.1
2015.03.20	2.1		2.2
2015.02.26	2.2		2.2
2015.01.23	2.2		2.1
2014.12.19	2.1		2.3
2014.11.21	2.3		2.1
2014.10.17	2.1		2.1
2014.09.19	2.1		1.7
2014.08.22	1.7		1.8
2014.07.18	1.8		1.7
2014.06.20	1.7		1.4
2014.05.23	1.4		1.3
2014.04.17	1.3		1.2
2014.03.21	1.2		1.4
2014.02.21	1.4		1.3
2014.01.24	1.3		1.1
2013.12.20	1.1		1.2
2013.11.22	1.2		1.3
2013.10.18	1.3		1.3
2013.09.20	1.3		1.4
2013.08.23	1.4		1.3
2013.07.19	1.3		1.1
2013.06.21	1.1		1.1
2013.05.17	1.1		1.4
2013.04.19	1.4		1.4
2013.03.27	1.4		1.0
2013.02.22	1.0		1.1
2013.01.25	1.1		1.2
2012.12.21	1.2		1.3
2012.11.23	1.3		1.3
2012.10.19	1.3		1.6
2012.09.21	1.6		1.7
2012.08.17	1.7		2.0
2012.07.20	2.0		1.8
2012.06.22	1.8		2.1
2012.05.18	2.1		1.9
2012.04.20	1.9		2.3
2012.03.23	2.3		2.1
2012.02.17	2.1		1.9
2012.01.20	1.9		2.1
2011.12.20	2.1		2.1
2011.11.18	2.1		2.2
2011.10.21	2.2		1.9
2011.09.21	1.9		1.6
2011.08.19	1.6		1.3
2011.07.22	1.3		1.8
2011.06.29	1.8		1.6
2011.05.20	1.6		1.7
2011.04.19	1.7		0.9
2011.03.18	0.9		1.4
2011.02.18	1.4		1.5
2011.01.25	1.5		1.4
2010.12.21	1.4		1.8
2010.11.23	1.8		1.5
2010.10.22	1.5		1.6
2010.09.21	1.6		1.6
2010.08.20	1.6		1.7
2010.07.23	1.7		1.8
2010.06.22	1.8		1.9
2010.05.21	1.9		1.7
2010.04.23	1.7		2.1
2010.03.19	2.1		2.0
2010.02.18	2.0		1.5
2010.01.20	1.5		1.5
2009.12.17	1.5		1.8
2009.11.18	1.8		1.5
2009.10.16	1.5		1.6
2009.09.17	1.6		1.8
2009.08.19	1.8		1.9
2009.07.17	1.9		2.0
2009.06.18	2.0		1.8
2009.05.20	1.8		2.0
2009.04.17	2.0		1.9
2009.03.19	2.5		1.9
2009.02.20	1.9		2.4
2009.01.23	2.4		2.4
2008.12.19	2.4		1.7
2008.11.21	1.7		1.7
2008.10.24	1.7		1.7
2008.09.23	1.7		1.5
