Date	ActualValue	ForecastValue	PreviousValue
2022.08.19	0.8	1.1	1.9
2022.07.22	1.9	-0.4	1.1
2022.06.21	1.3	-1.4	2.6
2022.05.26	2.4	0.4	1.8
2022.04.22	2.1	1.8	2.9
2022.03.18	2.5	-0.3	-2.7
2022.02.18	-2.5	-1.6	1.1
2022.01.21	1.1	0.4	1.3
2021.12.21	1.3	0.8	0.2
2021.11.19	-0.2	-0.3	2.6
2021.10.22	2.8	-0.9	-0.4
2021.09.23	-1.0	0.3	4.8
2021.08.20	4.7	0.7	-1.7
2021.07.23	-2.0	-0.2	-7.3
2021.06.23	-7.2	-0.6	5.4
2021.05.21	4.3	0.6	5.6
2021.04.28	4.8	0.6	-0.1
2021.03.19	-1.2	0.5	-3.9
2021.02.19	-4.1	0.1	2.9
2021.01.22	2.1	-0.7	-0.2
2020.12.18	0.0	-10.3	1.9
2020.11.20	1.0	6.9	0.5
2020.10.21	0.5	-6.8	-0.1
2020.09.18	-0.4	9.4	15.5
2020.08.21	15.7	12.1	11.8
2020.07.21	10.6	-23.5	-20.7
2020.06.19	-22.0	-0.2	-0.2
2020.05.22	-0.4	0.3	0.1
2020.04.21	0.0	-0.1	0.1
2020.03.20	-0.1	-0.1	0.7
2020.02.21	0.5	0.3	0.5
2020.01.24	0.2	-0.2	-0.4
2019.12.20	-0.5	0.2	-0.1
2019.11.22	0.2	0.7	-0.1
2019.10.22	-0.2	-0.3	0.0
2019.09.20	-0.1	0.0	0.9
2019.08.23	0.9	0.7	-0.4
2019.07.19	-0.3	0.0	0.0
2019.06.21	0.1	0.0	1.8
2019.05.22	1.7	-0.2	0.7
2019.04.18	0.6	-0.2	-0.6
2019.03.22	0.1	0.4	-0.8
2019.02.22	-0.5	0.0	-0.7
2019.01.23	-0.6	0.1	-0.2
2018.12.21	0.0	0.0	0.0
2018.11.23	0.1	-0.2	-0.4
2018.10.19	-0.4	-0.2	0.8
2018.09.21	0.9	0.0	0.1
2018.08.22	-0.1	-0.4	1.7
2018.07.20	1.4	0.0	0.2
2018.06.22	-0.1	0.2	0.0
2018.05.18	-0.2	0.0	0.0
2018.04.20	0.0	0.0	1.0
2018.03.23	0.9	0.0	-1.7
2018.02.22	-1.8	0.0	1.7
2018.01.25	1.6	0.0	0.8
2017.12.21	0.8	0.0	0.4
2017.11.23	0.3	0.0	-0.4
2017.10.20	-0.7	0.0	0.2
2017.09.22	0.2	0.0	0.4
2017.08.22	0.7		-0.1
2017.07.21	-0.1		1.3
2017.06.22	1.5		-0.1
2017.05.19	-0.2		-0.1
2017.04.26	-0.1		2.3
2017.03.21	1.7		-0.5
2017.02.22	-0.3		-0.1
2017.01.20	0.1		1.4
2016.12.22	1.4		0.3
2016.11.22	0.0		0.2
2016.10.21	0.0		-0.2
