Date	ActualValue	ForecastValue	PreviousValue
2022.08.16	-12.301		0.832
2022.07.15	0.573		29.204
2022.06.17	29.204		-25.184
2022.05.17	-23.983		-9.914
2022.04.19	-9.681		-11.441
2022.03.18	-14.417		21.285
2022.02.17	21.285		17.614
2022.01.17	17.518		5.408
2021.12.17	5.410		17.160
2021.11.18	17.185		15.164
2021.10.18	15.173		-4.689
2021.09.16	-4.689		27.998
2021.08.17	28.104		10.530
2021.07.16	10.651		18.627
2021.06.17	18.627		20.764
2021.05.17	21.223		13.116
2021.04.16	10.543		3.351
2021.03.16	3.538		26.915
2021.02.16	26.941		7.562
2021.01.18	7.576		7.975
2020.12.16	7.958		11.341
2020.11.17	11.170		5.865
2020.10.16	5.736		1.310
2020.09.16	1.293		10.616
2020.08.17	10.598		13.521
2020.07.16	13.371		-0.134
2020.06.16	-0.134		-42.030
2020.05.15	-42.242		6.133
2020.04.29	6.137		-9.096
2020.03.17	-9.096		13.802
2020.02.17	13.802		5.741
2020.01.17	5.548		2.028
2019.12.16	2.028		-2.578
2019.11.15	-2.392		-4.448
2019.10.16	-4.708		12.451
2019.09.16	12.451		6.605
2019.08.16	6.607		4.122
2019.07.16	4.112		-0.189
2019.06.17	-0.194		1.311
2019.05.16	1.540		5.974
2019.04.16	5.302		-8.780
2019.03.18	-8.799		-0.425
2019.02.15	-0.425		-4.982
2019.01.18	-4.091		14.921
2018.12.17	14.930		10.562
2018.11.16	10.586		-0.288
2018.10.16	-0.194		13.062
2018.09.17	13.127		11.245
2018.08.17	11.289		5.396
2018.07.16	5.688		-0.709
2018.06.15	-0.652		-2.135
2018.05.17	-1.896		5.591
2018.04.17	6.347		13.175
2018.03.16	13.252		21.991
2018.02.16	21.991		-4.615
2018.01.19	-4.586		16.559
2017.12.18	16.485		1.749
2017.11.16	2.412		12.066
2017.10.16	12.041		-1.781
2017.09.18	-1.828		13.318
2017.08.16	13.220		4.300
2017.07.17	4.370		-9.870
2017.06.16	-9.870		15.420
2017.05.18	15.410		7.110
2017.04.18	6.330		8.630
2017.03.16	8.630		6.660
2017.02.17	6.660		-7.870
2017.01.19	-7.870		2.070
2016.12.16	2.140		1.820
2016.11.17	1.810		1.600
2016.10.17	1.600		4.590
2016.09.16	4.630		4.260
2016.08.18	4.150		4.900
2016.07.18	5.050		4.700
2016.06.16	4.700		2.270
2016.05.18	2.270		4.370
2016.04.18	4.370		-14.680
2016.03.16	-13.820		17.380
2016.02.17	17.450		16.450
2016.01.19	16.460		3.190
2015.12.16	3.230		-6.170
2015.11.16	-6.160		8.730
2015.10.16	8.740		-0.400
2015.09.16	-0.240		8.890
2015.08.17	8.570		5.730
2015.07.16	5.580		9.700
2015.06.16	6.560		-3.070
2015.05.15	-3.200		9.140
2015.04.17	9.350		-10.780
2015.03.16	-10.810		13.890
2015.02.17	13.890		1.830
2015.01.19	1.830		0.290
2014.12.16	0.310		8.640
2014.11.17	8.260		0.030
2014.10.16	0.030		9.670
2014.09.18	9.670		1.960
2014.08.18	1.960		2.030
2014.07.17	2.030		2.490
2014.06.16	2.270		7.880
2014.05.16	8.100		6.030
2014.04.16	6.100		2.340
2014.03.17	2.310		3.710
2014.02.18	3.880		6.570
2014.01.16	7.050		-0.100
2013.12.16	-0.100		-1.460
2013.11.18	-1.280		5.650
2013.10.17	5.810		0.950
2013.09.16	0.950		3.690
2013.08.16	3.660		-1.650
2013.07.17	-1.730		2.810
2013.06.17	2.000		3.810
2013.05.16	3.810		4.400
2013.04.16	4.400		-1.180
2013.03.18	-1.180		5.470
2013.02.19	5.470		7.810
2013.01.17	8.100		3.190
2012.12.17	3.360		6.030
2012.11.16	6.030		-1.690
2012.10.16	-1.680		-4.560
2012.09.17	-4.560		-3.940
2012.08.16	-4.120		-1.320
2012.07.16	-1.350		2.680
2012.06.18	2.690		-7.780
2012.05.17	-7.710		2.160
