Date	ActualValue	ForecastValue	PreviousValue
2022.08.16	-17.539		2.829
2022.07.15	2.348		22.166
2022.06.17	22.227		46.472
2022.05.17	46.938		7.493
2022.04.19	7.436		13.543
2022.03.18	13.492		37.539
2022.02.17	37.555		30.135
2022.01.17	30.147		22.299
2021.12.17	23.920		19.780
2021.11.18	20.022		22.739
2021.10.18	26.301		14.057
2021.09.16	14.187		19.644
2021.08.17	19.629		20.812
2021.07.16	20.786		9.899
2021.06.17	9.954		4.116
2021.05.17	3.248		8.560
2021.04.16	8.518		1.114
2021.03.16	1.269		5.330
2021.02.16	5.081		11.782
2021.01.18	11.783		6.931
2020.12.16	6.922		4.684
2020.11.17	4.463		15.505
2020.10.16	15.510		-8.491
2020.09.16	-8.521		-14.134
2020.08.17	-13.521		22.392
2020.07.16	22.406		49.026
2020.06.16	49.035		-9.815
2020.05.15	-9.780		19.418
2020.04.29	20.609		16.810
2020.03.17	17.011		-10.216
2020.02.17	-9.567		-1.765
2020.01.17	-1.754		11.314
2019.12.16	11.318		5.022
2019.11.15	4.763		4.618
2019.10.16	4.989		-1.869
2019.09.16	-1.171		-4.064
2019.08.16	-3.983		10.284
2019.07.16	10.195		-12.790
2019.06.17	-12.797		-1.561
2019.05.16	-1.488		12.394
2019.04.16	12.045		28.586
2019.03.18	28.398		-20.488
2019.02.15	-18.961		10.235
2019.01.18	9.454		3.969
2018.12.17	3.975		7.764
2018.11.16	7.695		2.632
2018.10.16	2.817		15.293
2018.09.17	12.651		10.300
2018.08.17	11.545		3.007
2018.07.16	2.183		9.093
2018.06.15	9.133		6.399
2018.05.17	6.148		4.322
2018.04.17	3.960		5.632
2018.03.16	5.683		-1.538
2018.02.16	-1.972		19.203
2018.01.19	19.564		20.765
2017.12.18	20.808		16.686
2017.11.16	16.807		9.769
2017.10.16	9.846		23.970
2017.09.18	23.954		-0.858
2017.08.16	-0.920		29.440
2017.07.17	29.460		10.610
2017.06.16	10.600		15.050
2017.05.18	15.130		39.160
2017.04.18	38.840		6.350
2017.03.16	6.200		10.210
2017.02.17	10.230		7.240
2017.01.19	7.240		15.770
2016.12.16	15.750		11.790
2016.11.17	11.770		12.750
2016.10.17	12.740		9.100
2016.09.16	5.230		9.020
2016.08.18	9.020		13.990
2016.07.18	14.730		15.500
2016.06.16	15.500		17.050
