Date	ActualValue	ForecastValue	PreviousValue
2022.08.31	0.1	0.0	0.0
2022.07.29	0.0	0.0	0.3
2022.06.30	0.3	0.0	0.7
2022.05.31	0.7	0.0	0.9
2022.04.29	1.1	0.0	0.2
2022.03.31	0.2	0.0	0.1
2022.03.01	0.0	0.0	0.6
2022.02.01	0.6	0.0	0.8
2021.12.23	0.8	0.1	0.2
2021.11.30	0.1	0.1	0.6
2021.10.29	0.4	0.0	-0.1
2021.10.01	-0.1	-0.1	0.6
2021.08.31	0.7	-0.2	-0.5
2021.07.30	-0.3	-0.3	-0.5
2021.06.30	-0.3	-0.2	1.3
2021.06.01	1.1	0.3	0.4
2021.04.30	0.4	0.9	0.7
2021.03.31	0.7	1.5	0.1
2021.03.02	0.1	-0.3	0.8
2021.01.29	0.7	-0.9	0.4
2020.12.23	0.4	-1.4	0.8
2020.12.01	0.8	1.3	0.9
2020.10.30	1.2	3.3	3.1
2020.09.30	3.0	8.7	6.5
2020.08.28	6.5	4.0	4.8
2020.07.31	4.5	-12.1	-11.7
2020.06.30	-11.6	-18.2	-7.5
2020.05.29	-7.2	0.1	0.1
2020.04.30	0.0	0.1	0.2
2020.03.31	0.1	0.1	0.3
2020.02.28	0.3	0.1	0.1
2020.01.31	0.1	0.1	-0.1
2019.12.23	-0.1	0.1	0.1
2019.11.29	0.1	0.2	0.1
2019.10.31	0.1	0.2	0.0
2019.10.01	0.0	0.1	0.2
2019.08.30	0.2	0.1	0.2
2019.07.31	0.2	0.1	0.3
2019.06.28	0.3	0.1	0.5
2019.05.31	0.5	0.1	-0.2
2019.04.30	-0.1	0.1	0.3
2019.03.29	0.3	0.1	-0.1
2019.03.01	-0.1	0.1	-0.1
2019.01.31	-0.1	0.2	0.3
2018.12.21	0.3	0.2	-0.1
2018.11.30	-0.1	0.2	0.1
2018.10.31	0.1	0.2	0.2
2018.09.28	0.2	0.2	0.0
2018.08.30	0.0	0.2	0.5
2018.07.31	0.5	0.1	0.1
2018.06.29	0.1	0.1	0.3
2018.05.31	0.3	0.1	0.4
2018.05.01	0.4	0.2	-0.1
2018.03.29	-0.1	0.2	0.2
2018.03.02	0.1	0.2	0.4
2018.01.31	0.4	0.1	0.0
2017.12.22	0.0	0.1	0.2
2017.12.01	0.2	0.1	-0.1
2017.10.31	-0.1	0.1	0.0
2017.09.29	0.0	0.1	0.3
2017.08.31	0.3		0.6
2017.07.28	0.6		0.2
2017.06.30	0.2		0.5
2017.05.31	0.5		0.0
2017.04.28	0.0		0.6
2017.03.31	0.6		0.3
2017.03.02	0.3		0.4
2017.01.31	0.4		-0.2
2016.12.23	-0.3		0.3
2016.11.30	0.3		0.2
2016.11.01	0.2		0.5
2016.09.30	0.5		0.6
2016.08.31	0.6		-0.6
2016.07.29	-0.6		0.1
2016.06.30	0.1		-0.2
2016.05.31	-0.2		-0.1
2016.04.29	-0.1		0.6
2016.03.31	0.6		0.2
2016.03.01	0.2		0.3
2016.01.29	0.3		0.0
2015.12.23	0.0		-0.5
2015.12.01	-0.5		0.1
2015.10.30	0.1		0.3
2015.09.30	0.3		0.4
2015.09.01	0.5		-0.2
2015.07.31	-0.2		-0.1
2015.06.30	-0.1		-0.2
2015.05.29	-0.2		0.0
2015.04.30	0.0		-0.1
2015.03.31	-0.1		0.3
2015.03.03	0.3		-0.2
2015.01.30	-0.2		0.3
2014.12.23	0.3		0.4
2014.11.28	0.4		-0.1
2014.10.31	-0.1		0.0
2014.09.30	0.0		0.3
2014.08.29	0.3		0.4
2014.07.31	0.5		0.1
2014.06.30	0.1		0.1
2014.05.30	0.1		0.2
2014.04.30	0.2		0.5
2014.03.31	0.5		-0.5
2014.02.28	-0.5		0.2
2014.01.31	0.2		0.3
2013.12.23	0.3		0.3
2013.11.29	0.3		0.3
2013.10.31	0.3		0.6
2013.09.30	0.6		-0.5
2013.08.30	-0.5		0.2
2013.07.31	0.2		0.1
2013.06.28	0.1		0.2
2013.05.31	0.2		0.3
2013.04.30	0.3		0.2
2013.03.28	0.3		-0.2
2013.03.01	-0.2		0.3
2013.01.31	0.3		0.1
2012.12.21	0.1		0.0
2012.11.30	0.0		-0.1
2012.10.31	-0.1		0.2
2012.09.28	0.2		0.1
2012.08.31	0.1		0.1
2012.07.31	0.1		0.3
2012.06.29	0.3		0.1
2012.06.01	0.1		-0.2
2012.04.30	-0.2		0.1
2012.03.30	0.1		0.4
2012.03.02	0.5		-0.1
2012.01.31	-0.1		0.0
2011.12.23	0.0		0.2
2011.11.30	0.2		0.4
2011.10.31	0.4		0.3
2011.09.30	0.4		0.2
2011.08.31	0.2		-0.3
2011.07.29	-0.3		0.0
2011.06.30	0.0		0.3
2011.05.30	0.3		-0.2
2011.04.29	-0.1		0.5
2011.03.31	0.5		0.5
2011.02.28	0.5		0.4
2011.01.31	0.4		0.2
2010.12.23	0.2		-0.1
2010.11.30	-0.1		0.3
2010.10.29	0.3		-0.1
2010.09.30	0.0		0.2
2010.08.31	0.3		0.1
2010.07.30	0.1		0.0
2010.06.30	0.0		0.6
2010.05.31	0.5		0.3
2010.04.30	0.3		0.6
2010.03.31	0.6		0.6
2010.03.01	0.5		0.5
2010.01.29	0.7		0.7
2009.12.23	0.3		0.4
2009.11.30	0.6		-0.1
2009.10.30	-0.1		0.0
2009.09.30	0.1		0.3
2009.08.31	0.2		-0.5
2009.07.31	-0.3		-0.1
2009.06.30	-0.2		-0.3
2009.06.01	-0.6		-0.1
2009.04.30	-0.2		-0.7
2009.03.31	-0.7		-1.0
2009.03.02	-1.0		-0.7
2009.01.30	-0.8		-0.1
2008.12.24	-0.1		0.1
2008.12.01	0.1		-0.3
2008.10.31	-0.5		0.7
2008.09.30	0.7		0.1
2008.08.29	0.1		-0.1
2008.07.31	-0.1		0.4
2008.06.30	0.4		-0.2
2008.05.30	-0.2		-0.2
2008.04.30	-0.3		0.6
2008.03.31	0.6		-0.7
2008.03.03	-0.7		0.1
2008.01.31	0.1		0.2
2007.12.21	0.2		0.1
2007.11.30	0.1		
