Date	ActualValue	ForecastValue	PreviousValue
2022.08.05	53.2		57.8
2022.07.07	57.8		66.7
2022.06.07	66.7		68.0
2022.05.06	68.0		68.4
2022.04.06	68.4		62.2
2022.03.04	62.2		57.4
2022.02.04	57.4		51.1
2022.01.07	51.1		61.2
2021.12.07	61.2		61.2
2021.11.05	61.2		64.5
2021.10.07	64.5		63.8
2021.09.08	63.8		59.8
2021.08.06	59.8		67.7
2021.07.07	67.7		59.8
2021.06.04	59.8		59.9
2021.05.07	59.9		67.3
2021.04.07	67.3		63.1
2021.03.05	63.1		55.7
2021.02.05	55.7		53.9
2021.01.07	53.9		52.4
2020.12.07	52.4		55.9
2020.11.06	55.9		61.1
2020.10.07	61.1		64.6
2020.09.04	64.6		65.2
2020.08.07	65.2		62.9
2020.07.07	62.9		42.1
2020.06.05	42.1		23.6
2020.05.07	23.6		28.2
2020.04.07	28.2		53.2
2020.03.06	53.2		51.1
2020.02.07	51.1		43.6
2020.01.07	43.6		58.4
2019.12.05	58.4		51.8
2019.11.06	51.8		55.8
2019.10.04	55.8		58.6
2019.09.06	58.6		51.2
2019.08.07	51.2		53.7
2019.07.05	53.7		61.8
2019.06.06	61.8		56.7
2019.05.07	56.7		57.6
2019.04.04	57.6		48.9
2019.03.06	48.9		49.5
2019.02.06	49.5		48.2
2019.01.07	48.2		57.3
2018.12.06	57.3		64.6
2018.11.07	64.6		56.5
2018.10.04	56.5		61.3
2018.09.07	61.3		56.7
2018.08.07	56.7		65.1
2018.07.06	65.1		69.5
2018.06.06	69.5		70.4
2018.05.04	70.4		64.7
2018.04.06	64.7		58.4
2018.03.06	58.4		51.3
2018.02.06	51.3		49.3
2018.01.05	49.3		62.4
2017.12.07	62.4		63.5
2017.11.06	63.5		68.6
2017.10.06	68.6		56.8
2017.09.07	56.8		52.9
2017.08.04	52.9		63.9
2017.07.07	63.9		62.6
2017.06.06	62.6		58.5
2017.05.05	58.5		67.6
2017.04.07	67.6		55.1
2017.03.07	55.1		52.3
2017.02.07	52.3		49.4
2017.01.06	49.4		56.5
2016.12.06	56.5		56.5
2016.11.04	56.5		68.1
2016.10.07	68.1		53.8
2016.09.07	53.8		49.4
2016.08.05	49.4		54.7
2016.07.07	54.7		58.4
2016.06.07	58.4		50.6
2016.05.06	50.6		57.9
2016.04.06	57.9		56.8
2016.03.04	56.8		56.7
2016.02.05	56.7		42.5
2016.01.07	42.5		57.9
2015.12.04	57.9		52.3
2015.11.05	52.3		63.3
2015.10.06	63.3		55.6
2015.09.04	55.6		50.0
2015.08.07	50.0		59.5
2015.07.06	59.5		65.2
2015.06.04	65.2		55.7
2015.05.06	55.7		56.0
2015.04.06	56.0		50.8
2015.03.05	50.8		42.6
2015.02.04	42.6		46.7
2015.01.07	46.7		49.2
2014.12.04	49.2		54.2
2014.11.06	54.2		65.2
2014.10.06	65.2		49.1
2014.09.05	49.1		50.4
2014.08.07	50.4		49.7
2014.07.07	49.7		52.2
2014.06.05	52.2		51.1
2014.05.06	51.1		61.8
2014.04.04	61.8		57.8
2014.03.06	57.8		53.6
2014.02.06	53.6		40.2
2014.01.07	40.2		48.2
2013.12.05	48.2		64.2
2013.11.06	64.2		59.4
2013.10.04	59.4		51.9
2013.09.06	51.9		45.7
2013.08.07	45.7		56.6
2013.07.05	56.6		70.8
2013.06.06	70.8		50.9
2013.05.06	50.9		64.4
2013.04.05	64.4		51.6
2013.03.06	51.6		54.8
2013.02.06	54.8		43.1
2013.01.07	43.1		46.4
2012.12.06	46.4		58.3
2012.11.06	58.3		68.5
2012.10.04	68.5		65.2
2012.09.07	65.2		58.8
2012.08.07	58.8		55.3
2012.07.06	55.3		60.5
2012.06.07	60.5		52.2
2012.05.04	52.2		65.0
2012.04.05	65.0		66.0
2012.03.06	66.0		55.7
2012.02.06	55.7		53.6
2012.01.05	53.6		57.1
2011.12.06	57.1		55.6
2011.11.04	55.6		63.4
2011.10.06	63.4		57.6
2011.09.07	57.6		45.4
2011.08.05	45.4		68.2
2011.07.07	68.2		69.1
2011.06.06	69.1		57.7
2011.05.05	57.7		73.2
2011.04.06	73.2		69.3
2011.03.04	69.3		41.4
2011.02.04	41.4		50.0
2011.01.06	50.0		57.5
2010.12.06	57.5		56.7
2010.11.04	56.7		70.3
2010.10.06	70.3		65.9
2010.09.08	65.9		54.0
2010.08.06	54.0		58.9
2010.07.07	58.9		62.7
2010.06.04	62.7		58.7
2010.05.06	58.7		57.8
2010.04.07	57.8		51.9
2010.03.04	51.9		50.8
2010.02.04	50.8		48.4
2010.01.07	48.4		55.9
2009.12.04	55.9		61.2
2009.11.05	61.2		61.7
2009.10.06	61.7		55.7
2009.09.04	55.7		51.8
2009.08.04	51.8		58.2
2009.07.07	58.2		48.4
2009.06.04	48.4		53.7
2009.05.06	53.7		43.2
2009.04.06	43.2		45.2
2009.03.05	45.2		36.1
2009.02.05	36.1		39.1
2009.01.08	39.1		40.2
2008.12.04	40.2		52.2
2008.11.06	52.2		61.0
2008.10.06	61.0		51.5
2008.09.05	51.5		65.5
2008.08.06	65.5		69.6
2008.07.04	69.6		62.5
2008.06.05	62.5		57.6
2008.05.06	57.6		59.0
2008.04.04	59.0		62.0
2008.03.06	62.0		56.2
2008.02.06	56.2		45.9
2008.01.04	45.9		58.7
2007.12.06	58.7		57.1
2007.11.06	57.1		56.0
2007.10.04	56.0		58.5
2007.09.06	58.5		54.6
2007.08.08	54.6		67.4
2007.07.05	67.4		62.7
2007.06.06	62.7		
