Date	ActualValue	ForecastValue	PreviousValue
2022.08.04	5.046	3.368	4.769
2022.07.07	5.324	1.929	2.174
2022.06.07	1.501	2.494	2.282
2022.05.04	2.486	2.558	3.081
2022.04.05	2.663	1.187	3.122
2022.03.08	2.618	1.461	-1.582
2022.02.08	-0.137	2.533	2.466
2022.01.06	3.133	1.908	2.264
2021.12.07	2.093	1.833	1.415
2021.11.04	1.860	1.304	1.510
2021.10.05	1.939	1.943	0.736
2021.09.02	0.778	0.874	2.562
2021.08.05	3.231	-0.370	-1.576
2021.07.02	-1.386	-1.936	0.462
2021.06.08	0.594	-2.400	-1.347
2021.05.04	-1.140	2.364	1.421
2021.04.07	1.039	1.919	1.206
2021.03.05	1.405	-1.905	-1.983
2021.02.05	-1.665	-3.453	-3.560
2021.01.07	-3.340	-3.416	-3.728
2020.12.04	-3.763	-2.761	-3.817
2020.11.04	-3.253	-2.192	-3.211
2020.10.06	-2.446	-2.298	-2.534
2020.09.03	-2.451	-2.021	-1.589
2020.08.05	-3.189	-1.262	-1.328
2020.07.02	-0.677	-2.250	-4.266
2020.06.04	-3.251	-1.147	-1.526
2020.05.05	-1.411	-1.181	-0.894
2020.04.02	-0.983	-0.878	-1.656
2020.03.06	-1.473	-1.677	-0.732
2020.02.05	-0.370	-2.539	-1.195
2020.01.07	-1.089	-0.985	-1.607
2019.12.05	-1.078	-1.152	-1.229
2019.11.05	-0.978	0.401	-1.235
2019.10.04	-0.955	1.056	-1.382
2019.09.04	-1.124	1.966	-0.055
2019.08.02	0.136	0.640	0.556
2019.07.03	0.762	-1.925	-1.083
2019.06.06	-0.966	-4.041	-2.336
2019.05.09	-3.211	-4.739	-3.418
2019.04.17	-2.895	-5.183	-3.086
2019.03.27	-4.246	-3.567	-4.823
2019.03.06	-4.593	-1.199	-1.980
2019.01.08	-2.060	0.008	-0.851
2018.12.06	-1.165	0.605	-0.891
2018.11.02	-0.416	0.366	-0.551
2018.10.05	0.526	-1.440	-0.189
2018.09.05	-0.114	-2.337	-0.743
