,0,Jun 2022,          11.3%        ,10.0%,Unnamed: 4
0,1.0,May 2022,          10.8%        ,11.1%,
1,2.0,Apr 2022,          11.0%        ,12.2%,
2,3.0,Mar 2022,          11.2%        ,9.4%,
3,4.0,Feb 2022,          10.0%        ,9.1%,
4,5.0,Jan 2022,          9.7%        ,10.1%,
5,6.0,Dec 2021,          9.7%        ,10.1%,
6,7.0,Nov 2021,          9.6%        ,8.3%,
7,8.0,Oct 2021,          8.6%        ,8.6%,
8,9.0,Sep 2021,          8.6%        ,8.7%,
9,10.0,Aug 2021,          8.3%        ,7.8%,
10,11.0,Jul 2021,          7.8%        ,7.3%,
11,12.0,Jun 2021,          7.3%        ,7.1%,
12,13.0,May 2021,          6.6%        ,7.2%,
13,14.0,Apr 2021,          6.2%        ,4.9%,
14,15.0,Mar 2021,          4.2%        ,3.7%,
15,16.0,Feb 2021,          2.8%        ,2.4%,
16,17.0,Jan 2021,          1.7%        ,0.7%,
17,18.0,Dec 2020,          0.8%        ,0.4%,
18,19.0,Nov 2020,          0.8%        ,1.0%,
19,20.0,Oct 2020,          0.5%        ,1.0%,
20,21.0,Sep 2020,          0.4%        ,-0.1%,
21,22.0,Aug 2020,          -0.2%        ,-0.3%,
22,23.0,Jul 2020,          -0.4%        ,-0.3%,
23,24.0,Jun 2020,          -0.8%        ,-1.0%,
24,25.0,May 2020,          -0.8%        ,-0.3%,
25,26.0,Apr 2020,          -1.2%        ,1.0%,
26,27.0,Mar 2020,          0.7%        ,1.0%,
27,28.0,Feb 2020,          1.3%        ,2.4%,
28,29.0,Jan 2020,          2.1%        ,1.6%,
29,30.0,Dec 2019,          1.3%        ,1.0%,
30,31.0,Nov 2019,          1.1%        ,0.4%,
31,32.0,Oct 2019,          1.1%        ,0.9%,
32,33.0,Sep 2019,          1.4%        ,2.2%,
33,34.0,Aug 2019,          1.8%        ,2.1%,
34,35.0,Jul 2019,          1.7%        ,1.2%,
35,36.0,Jun 2019,          1.7%        ,1.4%,
36,37.0,May 2019,          1.8%        ,2.2%,
37,38.0,Apr 2019,          2.2%        ,2.4%,
38,39.0,Mar 2019,          2.2%        ,1.6%,
39,40.0,Feb 2019,          1.9%        ,1.4%,
40,41.0,Jan 2019,          2.0%        ,2.0%,
41,42.0,Dec 2018,          2.5%        ,2.8%,
42,43.0,Nov 2018,          2.5%        ,2.6%,
43,44.0,Oct 2018,          2.9%        ,1.9%,
44,45.0,Sep 2018,          2.6%        ,2.5%,
45,46.0,Aug 2018,          2.8%        ,3.4%,
46,47.0,Jul 2018,          3.3%        ,3.2%,
47,48.0,Jun 2018,          3.4%        ,2.7%,
48,49.0,May 2018,          3.1%        ,2.7%,
49,50.0,Apr 2018,          2.6%        ,3.1%,
50,51.0,Mar 2018,          3.0%        ,2.7%,
51,52.0,Feb 2018,          2.8%        ,2.3%,
52,53.0,Jan 2018,          2.7%        ,2.2%,
53,54.0,Dec 2017,          2.6%        ,2.8%,
54,55.0,Nov 2017,          3.1%        ,3.0%,
55,56.0,Oct 2017,          2.8%        ,2.9%,
56,57.0,Sep 2017,          2.6%        ,2.6%,
57,58.0,Aug 2017,          2.4%        ,1.8%,
58,59.0,Jul 2017,          1.9%        ,1.7%,
59,60.0,Jun 2017,          2.0%        ,2.1%,
60,61.0,May 2017,          2.4%        ,2.6%,
61,62.0,Apr 2017,          2.5%        ,2.5%,
62,63.0,Mar 2017,          2.3%        ,,
63,64.0,Feb 2017,          2.2%        ,,
64,65.0,Jan 2017,          1.6%        ,,
65,66.0,Dec 2016,          1.6%        ,,
66,67.0,Nov 2016,          1.3%        ,,
67,68.0,Oct 2016,          0.8%        ,,
68,69.0,Sep 2016,          0.7%        ,,
69,70.0,Aug 2016,          0.0%        ,,
70,71.0,Jul 2016,          -0.2%        ,,
71,72.0,Jun 2016,          0.3%        ,,
72,73.0,May 2016,          -0.1%        ,,
73,74.0,Apr 2016,          0.0%        ,,
74,75.0,Mar 2016,          -0.1%        ,,
75,76.0,Feb 2016,          0.0%        ,,
76,77.0,Jan 2016,          -0.2%        ,,
77,78.0,Dec 2015,          -1.0%        ,,
78,79.0,Nov 2015,          -1.1%        ,,
79,80.0,Oct 2015,          -1.6%        ,,
80,81.0,Sep 2015,          -1.1%        ,,
81,82.0,Aug 2015,          -0.8%        ,,
82,83.0,Jul 2015,          -0.8%        ,,
83,84.0,Jun 2015,          -0.7%        ,,
84,85.0,May 2015,          -1.1%        ,,
85,86.0,Apr 2015,          -1.3%        ,,
86,87.0,Mar 2015,          -0.8%        ,,
87,88.0,Feb 2015,          -0.6%        ,,
88,89.0,Jan 2015,          0.0%        ,,
89,90.0,Dec 2014,          1.1%        ,,
90,91.0,Nov 2014,          1.4%        ,,
91,92.0,Oct 2014,          1.5%        ,,
92,93.0,Sep 2014,          1.6%        ,,
93,94.0,Aug 2014,          1.8%        ,,
94,95.0,Jul 2014,          1.7%        ,,
95,96.0,Jun 2014,          1.9%        ,,
96,97.0,May 2014,          2.0%        ,,
97,98.0,Apr 2014,          2.1%        ,,
98,99.0,Mar 2014,          1.4%        ,,
99,100.0,Feb 2014,          0.9%        ,,
100,101.0,Jan 2014,          1.2%        ,,
101,102.0,Dec 2013,          1.2%        ,,
102,103.0,Nov 2013,          0.7%        ,,
103,104.0,Oct 2013,          0.3%        ,,
104,105.0,Sep 2013,          0.3%        ,,
105,106.0,Aug 2013,          1.4%        ,,
106,107.0,Jul 2013,          2.1%        ,,
107,108.0,Jun 2013,          2.5%        ,,
108,109.0,May 2013,          1.7%        ,,
109,110.0,Apr 2013,          0.6%        ,,
110,111.0,Mar 2013,          1.1%        ,,
111,112.0,Feb 2013,          1.7%        ,,
112,113.0,Jan 2013,          1.4%        ,,
113,114.0,Dec 2012,          1.3%        ,,
114,115.0,Nov 2012,          1.5%        ,,
115,116.0,Oct 2012,          2.3%        ,,
116,117.0,Sep 2012,          2.1%        ,,
117,118.0,Aug 2012,          2.0%        ,,
118,119.0,Jul 2012,          0.5%        ,,
119,120.0,Jun 2012,          0.7%        ,,
120,121.0,May 2012,          0.7%        ,,
121,122.0,Apr 2012,          1.9%        ,,
122,123.0,Mar 2012,          2.8%        ,,
123,124.0,Feb 2012,          3.3%        ,,
124,125.0,Jan 2012,          4.1%        ,,
125,126.0,Dec 2011,          4.8%        ,,
126,127.0,Nov 2011,          5.7%        ,,
127,128.0,Oct 2011,          5.9%        ,,
128,129.0,Sep 2011,          6.9%        ,,
129,130.0,Aug 2011,          6.5%        ,,
130,131.0,Jul 2011,          7.2%        ,,
131,132.0,Jun 2011,          7.0%        ,,
132,133.0,May 2011,          7.3%        ,,
133,134.0,Apr 2011,          6.8%        ,,
134,135.0,Mar 2011,          5.8%        ,,
135,136.0,Feb 2011,          5.6%        ,,
136,137.0,Jan 2011,          3.6%        ,,
137,138.0,Dec 2010,          4.0%        ,,
138,139.0,Nov 2010,          3.5%        ,,
139,140.0,Oct 2010,          4.3%        ,,
140,141.0,Sep 2010,          4.0%        ,,
141,142.0,Aug 2010,          3.1%        ,,
142,143.0,Jul 2010,          4.2%        ,,
143,144.0,Jun 2010,          2.8%        ,,
144,145.0,May 2010,          5.3%        ,,
145,146.0,Apr 2010,          5.5%        ,,
146,147.0,Mar 2010,          6.0%        ,,
147,148.0,Feb 2010,          4.4%        ,,
148,149.0,Jan 2010,          4.6%        ,,
149,150.0,Dec 2009,          4.4%        ,,
150,151.0,Nov 2009,          2.4%        ,,
151,152.0,Oct 2009,          -1.9%        ,,
152,153.0,Sep 2009,          -4.8%        ,,
153,154.0,Aug 2009,          -4.3%        ,,
154,155.0,Jul 2009,          -6.8%        ,,
155,156.0,Jun 2009,          -4.6%        ,,
156,157.0,May 2009,          -5.0%        ,,
157,158.0,Apr 2009,          -3.7%        ,,
158,159.0,Mar 2009,          -3.5%        ,,
159,160.0,Feb 2009,          -1.3%        ,,
160,161.0,Jan 2009,          1.0%        ,,
161,162.0,Dec 2008,          -0.9%        ,,
162,163.0,Nov 2008,          0.4%        ,,
163,164.0,Oct 2008,          5.2%        ,,
164,165.0,Sep 2008,          8.7%        ,,
165,166.0,Aug 2008,          9.6%        ,,
166,167.0,Jul 2008,          9.8%        ,,
167,168.0,Jun 2008,          9.2%        ,,
168,169.0,May 2008,          7.2%        ,,
169,170.0,Apr 2008,          6.5%        ,,
170,171.0,Mar 2008,          6.9%        ,,
171,172.0,Feb 2008,          6.4%        ,,
172,173.0,Jan 2008,          7.4%        ,,
173,174.0,Dec 2007,          6.3%        ,,
174,175.0,Nov 2007,          7.2%        ,,
175,176.0,Oct 2007,          6.1%        ,,
176,177.0,Sep 2007,          4.4%        ,,
177,178.0,Aug 2007,          2.2%        ,,
178,179.0,Jul 2007,          4.0%        ,,
179,180.0,Jun 2007,          3.3%        ,,
180,181.0,May 2007,          4.1%        ,,
181,182.0,Apr 2007,          3.2%        ,,
182,183.0,Feb 2007,          3.2%        ,,
183,184.0,Jan 2007,          0.2%        ,,
184,0.0,Jun 2022,          11.3%        ,10.0%,
185,1.0,May 2022,          10.8%        ,11.1%,
186,2.0,Apr 2022,          11.0%        ,12.2%,
187,3.0,Mar 2022,          11.2%        ,9.4%,
188,4.0,Feb 2022,          10.0%        ,9.1%,
189,5.0,Jan 2022,          9.7%        ,10.1%,
190,6.0,Dec 2021,          9.7%        ,10.1%,
