Date	ActualValue	ForecastValue	PreviousValue
2022.07.19	2.9	-9.9	2.8
2022.06.20	3.0	-9.6	3.4
2022.05.19	3.3	-3.4	8.9
2022.04.25	9.4	15.3	4.4
2022.03.22	4.1	-2.5	0.2
2022.02.18	-3.9	4.0	0.4
2022.01.19	0.5	2.3	3.6
2021.12.17	4.4	1.1	2.0
2021.11.17	1.5	5.4	-2.6
2021.10.19	-1.6	-4.7	3.5
2021.09.17	3.3	4.2	4.1
2021.08.18	2.8	2.3	12.2
2021.07.19	13.6	37.0	45.2
2021.06.17	42.3	8.0	20.0
2021.05.20	18.3	-7.9	-5.4
2021.04.19	-5.8	0.8	-2.6
2021.03.17	-1.9	1.5	0.0
2021.02.17	-2.3	-1.1	-0.6
2021.01.19	-1.3	-10.0	-1.9
2020.12.16	-1.4	-12.4	-2.3
2020.11.19	-2.5	-7.8	0.4
2020.10.19	-0.9	-9.0	-3.4
2020.09.17	-3.8	-15.6	-4.8
2020.08.20	-5.9	-16.6	-10.5
2020.07.17	-11.9	-26.8	-31.0
2020.06.17	-28.4	-0.4	-17.5
2020.05.19	-15.4	0.6	0.2
2020.04.17	-0.9	1.1	6.9
2020.03.19	6.0	1.3	-2.3
2020.02.19	-3.7	1.4	1.4
2020.01.17	1.4	1.9	0.9
2019.12.18	0.3	2.4	-0.3
2019.11.19	-0.7	2.7	0.8
2019.10.17	1.2	2.6	1.8
2019.09.18	1.1	2.5	1.6
2019.08.20	1.0	2.5	1.7
2019.07.17	2.0	2.4	3.1
2019.06.19	3.9	1.9	5.8
2019.05.17	6.3	1.8	7.6
2019.04.16	5.2	2.0	-0.1
2019.03.19	-0.7	2.1	2.1
2019.02.19	0.7	2.1	1.1
2019.01.17	0.9	2.0	0.6
2018.12.19	1.8	1.9	4.8
2018.11.19	4.6	1.8	2.2
2018.10.17	2.5	1.7	2.2
2018.09.19	2.6	1.7	3.0
2018.08.20	2.6	1.6	2.0
2018.07.18	1.8	1.7	1.2
2018.06.19	1.8	2.0	1.2
2018.05.17	0.8	2.2	0.2
2018.04.18	0.4	2.3	6.9
2018.03.19	3.7	1.3	1.4
2018.02.19	0.5	2.7	2.9
2018.01.17	2.7	2.8	2.2
2017.12.19	2.0	1.1	3.5
2017.11.17	3.1	1.1	1.9
2017.10.18	1.6	1.0	2.8
2017.09.19	3.4	0.9	4.3
2017.08.18	3.4	0.7	2.7
2017.07.19	2.6	0.6	3.3
2017.06.19	3.2	0.5	3.8
2017.05.17	3.6	0.7	5.5
2017.04.20	7.1		-5.1
2017.03.17	-6.2		3.0
2017.02.17	3.2		0.6
2017.01.18	0.0		1.8
2016.12.19	2.2		1.8
2016.11.17	1.8		0.9
2016.10.19	0.9		3.1
2016.09.19	3.1		0.6
2016.07.19	-0.8		-0.4
2016.06.20	-0.4		0.5
2016.05.19	-0.5		3.4
2016.04.19	2.5		6.0
2016.03.16	6.0		-0.4
2016.02.17	-0.4		2.1
2016.01.19	2.1		1.1
2015.12.17	1.1		1.8
2015.11.18	1.8		-6.0
2015.10.19	-6.0		-0.3
2015.09.17	1.8		-1.3
2015.08.19	-2.3		0.3
2015.07.17	0.3		0.0
2015.06.17	0.0		-1.9
2015.05.20	-2.7		-3.7
2015.04.20	-3.7		3.0
2015.03.18	3.0		-3.5
2015.02.18	-3.5		2.2
2015.01.19	0.5		1.4
2014.12.18	1.4		-1.7
2014.11.19	-2.0		-0.3
2014.10.17	-0.3		0.4
2014.09.17	0.4		-2.3
2014.08.20	-1.1		3.5
2014.07.17	3.5		8.0
2014.06.18	8.0		5.2
2014.05.19	5.2		6.7
2014.04.22	6.7		8.8
2014.03.19	8.0		-0.2
2014.02.19	-0.2		-1.7
2014.01.17	-1.6		-2.4
2013.12.18	-2.4		-0.2
2013.11.19	-0.2		-4.7
2013.10.17	-1.3		-1.2
2013.09.18	-2.2		-3.0
2013.08.20	-3.0		-5.1
2013.07.17	-3.8		-6.6
2013.06.19	-6.8		-7.9
2013.05.17	-7.3		0.8
2013.04.17	1.7		-7.3
2013.03.19	-9.0		-4.8
2013.02.19	-4.6		-4.7
2013.01.17	-4.7		-4.1
2012.12.19	-4.1		-2.6
2012.11.19	-3.8		-5.5
2012.10.17	-5.5		-4.7
2012.09.19	-6.2		-2.8
2012.08.20	-2.8		-8.4
2012.07.18	-8.1		-2.7
2012.06.19	-6.3		-3.8
2012.05.21	-3.8		-12.9
2012.04.18	-16.3		-1.4
2012.03.19	-1.4		9.8
2012.02.17	7.8		0.2
2012.01.18	0.2		-2.8
2011.12.19	-2.8		0.1
2011.11.17	0.4		1.9
2011.10.19	2.5		1.2
2011.09.19	1.2		-11.5
2011.08.18	-11.3		-1.9
2011.07.19	-1.9		-1.3
2011.06.17	-2.0		-4.9
2011.05.18	-4.9		3.9
2011.04.19	3.5		-4.0
2011.03.17	-4.5		-13.7
2011.02.17	-12.0		-7.6
2011.01.19	-6.8		-5.9
2010.12.17	-6.2		-8.1
2010.11.17	-7.7		-8.5
2010.10.19	-8.8		-7.5
2010.09.17	-7.9		3.1
2010.08.18	1.9		-6.2
2010.07.19	-7.2		-6.1
2010.06.17	-6.7		-6.2
2010.05.19	-4.9		-14.8
2010.04.19	-15.0		-12.5
2010.03.17	-10.6		-3.1
2010.02.17	-3.1		-8.0
2010.01.19	-8.0		-7.7
2009.12.17	-7.7		-8.0
2009.11.18	-8.1		-10.8
2009.09.17	-11.3		-8.8
2009.08.19	-7.8		-8.0
2009.07.17	-7.6		-5.3
2009.06.17	-5.0		-8.3
2009.05.18	-8.3		-12.5
