Date	ActualValue	ForecastValue	PreviousValue
2022.07.28	-27.0	-27.0	-27.0
2022.07.20	-27.0	-24.1	-23.8
2022.06.29	-23.6	-23.6	-23.6
2022.06.22	-23.6	-21.4	-21.2
2022.05.30	-21.1	-21.1	-21.1
2022.05.20	-21.1	-19.8	-22.0
2022.05.02	-22.0	-16.9	-16.9
2022.04.21	-16.9	-18.9	-18.7
2022.03.30	-18.7	-18.7	-18.7
2022.03.23	-18.7	-8.7	-8.8
2022.02.25	-8.8	-8.8	-8.8
2022.02.18	-8.8	-8.4	-8.5
2022.01.28	-8.5	-8.5	-8.5
2022.01.21	-8.5	-8.2	-8.4
2022.01.07	-8.3	-8.3	-8.3
2021.12.21	-8.3	-6.7	-6.8
2021.11.29	-6.8	-6.8	-6.8
2021.11.22	-6.8	-4.7	-4.8
2021.10.28	-4.8	-4.8	-4.8
2021.10.21	-4.8	-3.9	-4.0
2021.09.29	-4.0	-4.0	-4.0
2021.09.22	-4.0	-5.2	-5.3
2021.08.30	-5.3	-5.3	-5.3
2021.08.23	-5.3	-4.3	-4.4
2021.07.29	-4.4	-4.4	-4.4
2021.07.22	-4.4	-3.2	-3.3
2021.06.29	-3.3	-3.3	-3.3
2021.06.22	-3.3	-5.0	-5.1
2021.05.28	-5.1	-5.1	-5.1
2021.05.21	-5.1	-8.0	-5.1
2021.04.29	-8.1	-8.1	-8.1
2021.04.22	-8.1	-10.6	-10.8
2021.03.30	-10.8	-10.8	-10.8
2021.03.24	-10.8	-14.6	-14.8
2021.02.25	-14.8	-14.8	-14.8
2021.02.18	-14.8	-15.3	-15.5
2021.01.28	-15.5	-15.5	-15.5
2021.01.21	-15.5	-13.7	-13.8
2021.01.07	-13.9	-13.9	-13.9
2020.12.21	-13.9	-17.5	-17.6
2020.11.27	-17.6	-17.6	-17.6
2020.11.20	-17.6	-15.4	-15.5
2020.10.29	-15.5	-15.5	-15.5
2020.10.22	-15.5	-13.8	-13.9
2020.09.29	-13.9	-13.9	-13.9
2020.09.22	-13.9	-14.6	-14.7
2020.08.28	-14.7	-14.7	-14.7
2020.08.21	-14.7	-14.9	-15.0
2020.07.30	-15.0	-15.0	-15.0
2020.07.23	-15.0	-14.6	-14.7
2020.06.29	-14.7	-14.7	-14.7
2020.06.22	-14.7	-18.8	-18.8
2020.05.28	-18.8	-18.8	-18.8
2020.05.20	-18.8	-22.8	-22.7
2020.04.29	-22.7	-22.7	-22.7
2020.04.22	-22.7	-11.5	-11.6
