Date	ActualValue	ForecastValue	PreviousValue
2022.08.18	8.9	8.9	8.9
2022.07.29	8.9	9.1	8.6
2022.07.19	8.6	8.6	8.6
2022.07.01	8.6	8.6	8.1
2022.06.17	8.1	8.1	8.1
2022.05.31	8.1	7.9	7.4
2022.05.18	7.4	7.5	7.5
2022.04.29	7.5	8.0	7.4
2022.04.21	7.4	7.5	7.5
2022.04.01	7.5	6.3	5.9
2022.03.17	5.9	5.8	5.8
2022.03.02	5.8	5.1	5.1
2022.02.23	5.1	5.1	5.1
2022.02.02	5.1	5.0	5.0
2022.01.20	5.0	5.0	5.0
2022.01.07	5.0	5.3	4.9
2021.12.17	4.9	4.9	4.9
2021.11.30	4.9	4.4	4.1
2021.11.17	4.1	4.1	4.1
2021.10.29	4.1	3.6	3.4
2021.10.20	3.4	3.4	3.4
2021.10.01	3.4	3.1	3.0
2021.09.17	3.0	3.0	3.0
2021.08.31	3.0	2.2	2.2
2021.08.18	2.2	2.2	2.2
2021.07.30	2.2	1.9	1.9
2021.07.16	1.9	1.9	1.9
2021.06.30	1.9	2.0	2.0
2021.06.17	2.0	2.0	2.0
2021.06.01	2.0	1.6	1.6
2021.05.19	1.6	1.6	1.6
2021.04.30	1.6	1.3	1.3
2021.04.16	1.3	1.3	1.3
2021.03.31	1.3	0.8	0.9
2021.03.17	0.9	0.9	0.9
2021.03.02	0.9	1.3	0.9
2021.02.23	0.9	0.9	0.9
2021.02.03	0.9	-0.5	-0.3
2021.01.20	-0.3	-0.3	-0.3
2021.01.07	-0.3	-0.4	-0.3
2020.12.17	-0.3	-0.3	-0.3
2020.12.01	-0.3	0.0	-0.3
2020.11.18	-0.3	-0.3	-0.3
2020.10.30	-0.3	-0.4	-0.3
2020.10.16	-0.3	-0.3	-0.3
2020.10.02	-0.3	-0.6	-0.2
2020.09.17	-0.2	-0.2	-0.2
2020.09.01	-0.2	0.5	0.4
2020.08.19	0.4	0.4	0.4
2020.07.31	0.4	0.4	0.3
2020.07.17	0.3	0.3	0.3
2020.06.30	0.3	0.1	0.1
2020.06.17	0.1	0.1	0.1
2020.05.29	0.1	0.3	0.3
2020.05.20	0.3	0.4	0.4
2020.04.30	0.4	0.7	0.7
2020.04.17	0.7	0.7	0.7
2020.03.31	0.7	1.2	1.2
2020.03.18	1.2	1.2	1.2
2020.03.03	1.2	1.3	1.4
2020.02.21	1.4	1.4	1.4
2020.01.31	1.4	1.4	1.3
2020.01.17	1.3	1.3	1.3
2020.01.07	1.3	1.0	1.0
2019.12.18	1.0	1.0	1.0
2019.11.29	1.0	0.7	0.7
2019.11.15	0.7	0.7	0.7
2019.10.31	0.7	0.8	0.8
2019.10.16	0.8	0.9	0.9
2019.10.01	0.9	1.0	1.0
2019.09.18	1.0	1.0	1.0
2019.08.30	1.0	1.0	1.0
2019.08.19	1.0	1.1	1.1
2019.07.31	1.1	1.2	1.3
2019.07.17	1.3	1.2	1.2
2019.06.28	1.2	1.2	1.2
2019.06.18	1.2	1.2	1.2
2019.06.04	1.2	1.7	1.7
2019.05.17	1.7	1.7	1.7
2019.05.03	1.7	1.4	1.4
2019.04.17	1.4	1.4	1.4
2019.04.01	1.4	1.5	1.5
2019.03.15	1.5	1.5	1.5
2019.03.01	1.5	1.4	1.4
2019.02.22	1.4	1.4	1.4
2019.02.01	1.4	1.6	1.6
2019.01.17	1.6	1.7	1.6
2019.01.04	1.6	2.0	1.9
2018.12.17	1.9	2.1	2.0
2018.11.30	2.0	2.2	2.2
2018.11.16	2.2	2.2	2.2
2018.10.31	2.2	2.1	2.1
2018.10.17	2.1	2.1	2.1
2018.09.28	2.1	2.0	2.0
2018.09.17	2.0	2.1	2.0
2018.08.31	2.0	2.1	2.1
2018.08.17	2.1	2.1	2.1
2018.07.31	2.1	2.0	2.0
2018.07.18	2.0	2.0	2.0
2018.06.29	2.0	1.9	1.9
2018.06.15	1.9	1.6	1.9
2018.05.31	1.9	1.2	1.2
2018.05.16	1.2	1.1	1.2
2018.05.03	1.2	1.4	1.3
2018.04.18	1.3	1.6	1.4
2018.04.04	1.4	1.0	1.1
2018.03.16	1.1	1.2	1.2
2018.02.28	1.2	1.3	1.3
2018.02.23	1.3	1.3	1.3
2018.01.31	1.3	1.2	1.4
2018.01.17	1.4	1.4	1.4
2018.01.05	1.4	1.5	1.5
2017.12.18	1.5	1.7	1.5
2017.11.30	1.5	1.4	1.4
2017.11.16	1.4	1.4	1.4
2017.10.31	1.4	1.5	1.5
2017.10.17	1.5	1.5	1.5
2017.09.29	1.5	1.5	1.5
2017.09.18	1.5	1.4	1.5
2017.08.31	1.5	1.3	1.3
2017.08.17	1.3	1.3	1.3
2017.07.31	1.3	1.3	1.3
2017.07.17	1.3	1.4	1.3
2017.06.30	1.3	1.4	1.4
2017.06.16	1.4	1.7	1.4
2017.05.31	1.4	1.9	1.9
2017.05.17	1.9	1.7	1.9
2017.04.28	1.9		1.5
2017.04.19	1.5		1.5
2017.03.31	1.5		2.0
2017.03.16	2.0		2.0
2017.03.02	2.0		1.8
2017.02.22	1.8		1.8
2017.01.31	1.8		1.1
2017.01.18	1.1		1.1
2017.01.04	1.1		0.6
2016.12.16	0.6		0.6
2016.11.30	0.6		0.5
2016.11.17	0.5		0.5
2016.10.31	0.5		0.4
2016.10.17	0.4		0.4
2016.09.30	0.4		0.2
2016.09.15	0.2		0.2
2016.08.31	0.2		0.2
2016.08.18	0.2		0.2
2016.07.29	0.2		0.1
2016.07.15	0.1		0.1
2016.06.30	0.1		-0.1
2016.06.16	-0.1		-0.1
2016.05.31	-0.1		-0.2
2016.05.18	-0.2		-0.2
2016.04.29	-0.2		0.0
2016.04.14	0.0		-0.1
2016.03.31	-0.1		-0.2
2016.03.17	-0.2		-0.2
2016.02.29	-0.2		0.3
2016.02.25	0.3		0.4
2016.01.29	0.4		0.2
2016.01.19	0.2		0.1
2016.01.05	0.2		0.2
2015.12.16	0.2		0.1
2015.12.02	0.1		0.1
2015.11.16	0.1		0.0
2015.10.30	0.0		-0.1
2015.10.16	-0.1		-0.1
2015.09.30	-0.1		0.1
2015.09.16	0.1		0.2
2015.08.31	0.2		0.2
2015.08.14	0.2		0.2
2015.07.31	0.2		0.2
2015.07.16	0.2		0.2
2015.06.30	0.2		0.3
2015.06.17	0.3		0.3
2015.06.02	0.3		0.0
2015.05.19	0.0		0.0
2015.04.30	0.0		-0.1
2015.04.17	-0.1		-0.1
2015.03.31	-0.1		-0.3
2015.03.17	-0.3		-0.3
2015.03.02	-0.3		-0.6
2015.02.24	-0.6		-0.6
2015.01.30	-0.6		-0.2
2015.01.16	-0.2		-0.2
2015.01.07	-0.2		0.3
2014.12.17	0.3		0.3
2014.11.28	0.3		0.4
2014.11.14	0.4		0.4
2014.10.31	0.4		0.3
2014.10.16	0.3		0.3
2014.09.30	0.3		0.4
2014.09.17	0.4		0.3
2014.08.29	0.3		0.4
2014.08.14	0.4		0.4
2014.07.31	0.4		0.5
2014.07.17	0.5		0.5
2014.06.30	0.5		0.5
2014.06.16	0.5		0.5
2014.06.03	0.5		0.7
2014.05.15	0.7		0.7
2014.04.30	0.7		0.5
2014.04.16	0.5		0.5
2014.03.31	0.5		0.7
2014.03.17	0.7		0.8
2014.02.28	0.8		0.8
2014.02.24	0.8		0.7
2014.01.31	0.7		0.8
2014.01.16	0.8		0.8
2014.01.07	0.8		0.9
2013.12.17	0.9		0.9
2013.11.29	0.9		0.7
2013.11.15	0.7		0.7
2013.10.31	0.7		1.1
2013.10.16	1.1		1.1
2013.09.30	1.1		1.3
2013.09.16	1.3		1.3
2013.08.30	1.3		1.6
2013.08.16	1.6		1.6
2013.07.31	1.6		1.6
2013.07.16	1.6		1.6
2013.07.01	1.6		1.4
2013.06.14	1.4		1.4
2013.05.31	1.4		1.2
2013.05.16	1.2		1.2
2013.04.30	1.2		1.7
2013.04.16	1.7		1.7
2013.04.03	1.7		1.8
2013.03.15	1.8		1.8
2013.03.01	1.8		2.0
2013.02.28	2.0		2.0
2013.02.01	2.0		2.2
2013.01.16	2.2		2.2
2013.01.04	2.2		2.2
2012.12.14	2.2		2.2
2012.11.30	2.2		2.5
2012.11.15	2.5		2.5
2012.10.31	2.5		2.6
2012.10.16	2.6		2.7
2012.09.28	2.7		2.6
2012.09.14	2.6		2.6
2012.08.31	2.6		2.4
2012.08.16	2.4		2.4
2012.07.31	2.4		2.4
2012.07.16	2.4		2.4
2012.06.29	2.4		2.4
2012.06.14	2.4		2.4
2012.05.31	2.4		2.6
2012.05.16	2.6		2.6
2012.04.30	2.6		2.7
2012.04.17	2.7		2.6
2012.03.30	2.6		2.7
2012.03.14	2.7		2.7
2012.03.01	2.7		2.6
2012.02.29	2.6		2.7
2012.02.01	2.7		2.7
2012.01.17	2.7		3.0
2012.01.04	2.8		3.0
2011.12.15	3.0		3.0
2011.11.30	3.0		3.0
2011.11.16	3.0		3.0
2011.10.31	3.0		3.0
2011.10.14	3.0		3.0
2011.09.30	3.0		2.5
2011.09.15	2.5		2.5
2011.08.31	2.5		2.5
2011.08.17	2.5		2.5
2011.07.29	2.5		2.7
2011.07.14	2.7		2.7
2011.06.30	2.7		2.7
2011.06.16	2.7		2.8
2011.05.31	2.7		2.8
2011.05.16	2.8		2.7
2011.04.29	2.8		2.7
2011.04.15	2.7		2.6
2011.03.31	2.6		2.4
2011.03.16	2.4		2.4
2011.03.01	2.4		2.3
2011.02.28	2.3		2.2
2011.01.31	2.4		2.4
2011.01.14	2.4		2.2
2011.01.04	1.9		1.9
2010.12.16	1.9		1.9
2010.11.30	1.9		1.9
2010.11.16	1.9		1.9
2010.10.29	1.9		1.8
2010.10.15	1.8		1.8
2010.09.30	1.8		1.6
2010.09.15	1.6		1.6
2010.08.31	1.6		1.7
2010.08.16	1.7		1.7
2010.07.30	1.7		1.4
2010.07.14	1.4		1.4
2010.06.30	1.4		1.6
2010.06.16	1.6		1.6
2010.05.31	1.6		1.5
2010.05.18	1.5		1.5
2010.04.30	1.5		1.5
2010.04.16	1.4		1.5
2010.03.31	1.5		0.9
2010.03.16	0.9		0.9
2010.03.02	0.9		1.0
2010.02.26	1.0		0.0
2010.02.02	0.0		1.0
2010.01.29	1.0		0.9
2010.01.15	0.9		0.9
2010.01.05	0.9		0.5
2009.12.16	0.5		0.6
2009.11.30	0.6		-0.1
2009.11.16	-0.1		-0.1
2009.10.30	-0.1		-0.3
2009.10.15	-0.3		-0.3
2009.09.30	-0.3		-0.2
2009.09.16	-0.2		-0.2
2009.08.31	-0.2		-0.6
2009.08.14	-0.6		-0.6
2009.07.31	-0.6		-0.1
2009.07.15	-0.1		-0.1
2009.06.30	-0.1		0.0
2009.06.16	0.0		0.0
2009.05.29	0.0		0.6
2009.05.15	0.6		0.6
2009.04.30	0.6		0.6
2009.04.16	0.6		0.6
2009.03.31	0.6		1.2
2009.03.16	1.2		1.2
2009.03.02	1.2		1.1
2009.02.27	1.1		1.1
2009.01.30	1.1		1.6
2009.01.15	1.6		1.6
2009.01.06	1.6		2.1
2008.12.17	2.1		2.1
2008.11.28	2.1		3.2
2008.11.14	3.2		3.2
2008.10.31	3.2		3.6
2008.10.15	3.6		3.6
2008.09.30	3.6		3.8
2008.09.16	3.8		3.8
2008.08.29	4.0		4.0
2008.08.14	4.0		4.1
2008.07.31	4.1		4.0
2008.07.16	4.0		4.0
2008.06.30	4.0		3.7
2008.06.16	3.7		3.6
2008.05.30	3.6		3.3
2008.05.15	3.3		3.3
2008.04.30	3.3		3.5
2008.04.16	3.5		3.5
2008.03.31	3.5		3.3
2008.03.14	3.3		3.2
2008.03.03	3.2		3.2
2008.02.29	3.2		3.2
2008.01.31	3.2		3.1
2008.01.16	3.1		3.1
2007.12.14	3.1		2.6
2007.11.15	2.6		2.1
2007.10.16	2.1		1.7
2007.09.14	1.7		1.8
2007.08.16	1.8		1.8
2007.07.31	1.8		1.7
2007.07.16	1.9		1.9
2007.05.16	1.9		1.9
2007.04.16	1.9		1.9
2007.03.30	1.9		1.8
2007.03.15	1.8		1.8
2007.02.28	1.8		
