Date	ActualValue	ForecastValue	PreviousValue
2022.07.21	0.00		-0.50
2022.06.09	-0.50		-0.50
2022.04.14	-0.50		-0.50
2022.03.10	-0.50		-0.50
2022.02.03	-0.50		-0.50
2021.12.16	-0.50		-0.50
2021.10.28	-0.50		-0.50
2021.09.09	-0.50		-0.50
2021.07.22	-0.50		-0.50
2021.06.10	-0.50		-0.50
2021.04.22	-0.50		-0.50
2021.03.11	-0.50		-0.50
2021.01.21	-0.50		-0.50
2020.12.10	-0.50		-0.50
2020.10.29	-0.50		-0.50
2020.09.10	-0.50		-0.50
2020.07.16	-0.50		-0.50
2020.06.04	-0.50		-0.50
2020.04.30	-0.50		-0.50
2020.03.12	-0.50		-0.50
2020.01.23	-0.50		-0.50
2019.12.12	-0.50		-0.50
2019.10.24	-0.50		-0.50
2019.09.12	-0.50		-0.40
2019.07.25	-0.40		-0.40
2019.06.06	-0.40		-0.40
2019.04.10	-0.40		-0.40
2019.03.07	-0.40		-0.40
2019.01.24	-0.40		-0.40
2018.12.13	-0.40		-0.40
2018.10.25	-0.40		-0.40
2018.09.13	-0.40		-0.40
2018.07.26	-0.40		-0.40
2018.06.14	-0.40		-0.40
2018.04.26	-0.40		-0.40
2018.03.08	-0.40		-0.40
2018.01.25	-0.40		-0.40
2017.12.14	-0.40		-0.40
2017.10.26	-0.40		-0.40
2017.09.07	-0.40		-0.40
2017.07.20	-0.40		-0.40
2017.06.08	-0.40		-0.40
2017.04.27	-0.40		-0.40
2017.03.09	-0.40		-0.40
2017.01.19	-0.40		-0.40
2016.12.08	-0.40		-0.40
2016.10.20	-0.40		-0.40
2016.09.08	-0.40		-0.40
2016.07.21	-0.40		-0.40
2016.06.02	-0.40		-0.40
2016.04.21	-0.40		-0.40
2016.03.10	-0.40		-0.30
2016.01.21	-0.30		-0.30
2015.12.03	-0.30		-0.20
2015.10.22	-0.20		-0.20
2015.09.03	-0.20		-0.20
2015.07.16	-0.20		-0.20
2015.06.03	-0.20		-0.20
2015.04.15	-0.20		-0.20
2015.03.05	-0.20		-0.20
2014.09.10	-0.20		-0.10
2014.06.11	-0.10		0.00
2013.11.13	0.00		0.00
2013.05.08	0.00		0.00
2012.07.11	0.00		0.25
2011.12.14	0.25		0.50
2011.11.09	0.50		0.75
2011.07.13	0.75		0.50
2011.04.13	0.50		0.25
2009.05.13	0.25		0.25
2009.04.08	0.25		0.50
2009.03.11	0.50		1.00
2009.01.21	1.00		2.00
2008.12.10	2.00		2.75
2008.11.12	2.75		3.25
2008.07.09	3.25		3.00
2007.06.13	3.00		
