Date	ActualValue	ForecastValue	PreviousValue
2022.07.21	0.50		0.00
2022.06.09	0.00		0.00
2022.04.14	0.00		0.00
2022.03.10	0.00		0.00
2022.02.03	0.00		0.00
2021.12.16	0.00		0.00
2021.10.28	0.00		0.00
2021.09.09	0.00		0.00
2021.07.22	0.00		0.00
2021.06.10	0.00		0.00
2021.04.22	0.00		0.00
2021.03.11	0.00		0.00
2021.01.21	0.00		0.00
2020.12.10	0.00		0.00
2020.10.29	0.00		0.00
2020.09.10	0.00		0.00
2020.07.16	0.00		0.00
2020.06.04	0.00		0.00
2020.04.30	0.00		0.00
2020.03.12	0.00		0.00
2020.01.23	0.00		0.00
2019.12.12	0.00		0.00
2019.10.24	0.00		0.00
2019.09.12	0.00		0.00
2019.07.25	0.00		0.00
2019.06.06	0.00		0.00
2019.04.10	0.00		0.00
2019.03.07	0.00		0.00
2019.01.24	0.00		0.00
2018.12.13	0.00		0.00
2018.10.25	0.00		0.00
2018.09.13	0.00		0.00
2018.07.26	0.00		0.00
2018.06.14	0.00		0.00
2018.04.26	0.00		0.00
2018.03.08	0.00		0.00
2018.01.25	0.00		0.00
2017.12.14	0.00		0.00
2017.10.26	0.00		0.00
2017.09.07	0.00		0.00
2017.07.20	0.00		0.00
2017.06.08	0.00		0.00
2017.04.27	0.00		0.00
2017.03.09	0.00		0.00
2017.01.19	0.00		0.00
2016.12.08	0.00		0.00
2016.10.20	0.00		0.00
2016.09.08	0.00		0.00
2016.07.21	0.00		0.00
2016.06.02	0.00		0.00
2016.04.21	0.00		0.00
2016.03.10	0.00		0.05
2016.01.21	0.05		0.05
2015.12.03	0.05		0.05
2015.10.22	0.05		0.05
2015.09.03	0.05		0.05
2015.07.16	0.05		0.05
2015.06.03	0.05		0.05
2015.04.15	0.05		0.05
2015.03.05	0.05		0.05
2015.01.22	0.05		0.05
2014.12.04	0.05		0.05
2014.11.06	0.05		0.05
2014.10.02	0.05		0.05
2014.09.04	0.05		0.15
2014.08.07	0.15		0.15
2014.07.03	0.15		0.15
2014.06.05	0.15		0.25
2014.05.08	0.25		0.25
2014.04.03	0.25		0.25
2014.03.06	0.25		0.25
2014.02.06	0.25		0.25
2014.01.09	0.25		0.25
2013.12.05	0.25		0.25
2013.11.07	0.25		0.50
2013.10.02	0.50		0.50
2013.09.05	0.50		0.50
2013.08.01	0.50		0.50
2013.07.04	0.50		0.50
2013.06.06	0.50		0.50
2013.05.02	0.50		0.75
2013.04.04	0.75		0.75
2013.03.07	0.75		0.75
2013.02.07	0.75		0.75
2013.01.10	0.75		0.75
2012.12.06	0.75		0.75
2012.11.08	0.75		0.75
2012.10.04	0.75		0.75
2012.09.06	0.75		0.75
2012.08.02	0.75		0.75
2012.07.05	0.75		1.00
2012.06.06	1.00		1.00
2012.05.03	1.00		1.00
2012.04.04	1.00		1.00
2012.03.08	1.00		1.00
2012.02.09	1.00		1.00
2012.01.12	1.00		1.00
2011.12.08	1.00		1.25
2011.11.03	1.25		1.50
2011.10.06	1.50		1.50
2011.09.08	1.50		1.50
2011.08.04	1.50		1.50
2011.07.07	1.50		1.25
2011.06.09	1.25		1.25
2011.05.05	1.25		1.25
2011.04.07	1.25		1.00
2011.03.03	1.00		1.00
2011.02.03	1.00		1.00
2011.01.13	1.00		1.00
2010.12.02	1.00		1.00
2010.11.04	1.00		1.00
2010.10.07	1.00		1.00
2010.09.02	1.00		1.00
2010.08.05	1.00		1.00
2010.07.08	1.00		1.00
2010.06.10	1.00		1.00
2010.05.06	1.00		1.00
2010.04.08	1.00		1.00
2010.03.04	1.00		1.00
2010.02.04	1.00		1.00
2010.01.14	1.00		1.00
2009.12.03	1.00		1.00
2009.11.05	1.00		1.00
2009.10.08	1.00		1.00
2009.09.03	1.00		1.00
2009.08.06	1.00		1.00
2009.07.02	1.00		1.00
2009.06.04	1.00		1.00
2009.05.07	1.00		1.25
2009.04.02	1.25		1.50
2009.03.05	1.50		2.00
2009.02.05	2.00		2.00
2009.01.15	2.00		2.50
2008.12.04	2.50		3.25
2008.11.06	3.25		3.75
2008.10.08	3.75		4.25
2008.10.02	4.25		4.25
2008.09.04	4.25		4.25
2008.08.07	4.25		4.25
2008.07.03	4.25		4.00
2008.06.05	4.00		4.00
2008.05.08	4.00		4.00
2008.04.10	4.00		4.00
2008.03.06	4.00		4.00
2008.02.07	4.00		4.00
2008.01.10	4.00		4.00
2007.12.06	4.00		4.00
2007.11.08	4.00		4.00
2007.10.04	4.00		4.00
2007.09.06	4.00		4.00
2007.08.02	4.00		4.00
2007.07.05	4.00		4.00
2007.06.06	4.00		3.75
2007.05.10	3.75		3.75
2007.03.08	3.75		4.25
