Date	ActualValue	ForecastValue	PreviousValue
2022.08.12	2.4	-0.2	1.6
2022.07.13	1.6	-1.4	-2.5
2022.06.15	-2.0	0.6	-0.5
2022.05.13	-0.8	0.3	1.7
2022.04.20	2.0	0.2	-1.5
2022.03.15	-1.3	0.0	2.0
2022.02.16	1.6	0.9	-1.4
2022.01.12	-1.5	4.2	0.2
2021.12.14	3.3	5.2	5.1
2021.11.12	5.2	17.6	4.9
2021.10.13	5.1	20.7	8.0
2021.09.15	7.7	22.6	10.1
2021.08.12	9.7	29.0	20.6
2021.07.14	20.5	31.0	39.4
2021.06.14	39.3	4.7	11.5
2021.05.12	10.9	-0.7	-1.8
2021.04.14	-1.6	-0.3	0.1
2021.03.12	0.1	-0.7	-0.2
2021.02.15	-0.8	0.5	-0.6
2021.01.13	-0.6	1.7	-3.5
2020.12.14	-3.8	-14.3	-6.3
2020.11.12	-6.8	0.2	-6.7
2020.10.14	-7.2	-13.5	-7.1
2020.09.14	-7.7	-18.3	-12.0
2020.08.12	-12.3	-21.5	-20.4
2020.07.14	-20.9	-25.2	-28.7
2020.06.12	-28.0	-4.9	-13.5
2020.05.13	-12.9	-2.7	-2.2
2020.04.16	-1.9	-2.5	-1.7
2020.03.12	-1.9	-2.1	-3.6
2020.02.12	-4.1	-0.9	-1.7
2020.01.15	-1.5	-2.2	-2.6
2019.12.12	-2.2	-2.2	-1.8
2019.11.13	-1.7	-2.2	-2.8
2019.10.14	-2.8	-1.5	-2.1
2019.09.12	-2.0	-1.0	-2.4
2019.08.14	-2.6	-0.5	-0.8
2019.07.12	-0.5	-0.5	-0.4
2019.06.13	-0.4	-0.9	-0.7
2019.05.14	-0.6	-2.1	0.0
2019.04.12	-0.3	-2.6	-0.7
2019.03.13	-1.1	-1.7	-4.2
2019.02.13	-4.2	0.0	-3.0
2019.01.14	-3.3	0.9	1.2
2018.12.12	1.2	0.7	0.8
2018.11.14	0.9	1.2	1.1
2018.10.12	0.9	1.9	0.3
2018.09.12	-0.1	2.4	2.3
2018.08.14	2.5	2.9	2.6
2018.07.12	2.4	3.0	1.7
2018.06.13	1.7	3.0	3.2
2018.05.15	3.0	3.6	2.6
2018.04.12	2.9	3.7	3.7
2018.03.14	2.7	3.5	5.3
2018.02.14	5.2	3.2	3.7
2018.01.11	3.2	3.1	3.9
2017.12.13	3.7	3.3	3.4
2017.11.14	3.3	3.2	3.9
2017.10.12	3.8	3.1	3.6
2017.09.13	3.2	2.6	2.8
2017.08.14	2.6	2.2	3.9
2017.07.12	4.0	1.4	1.2
2017.06.14	1.4	1.6	2.2
2017.05.12	1.9	1.5	1.4
2017.04.11	1.2		0.2
2017.03.14	0.6		2.5
2017.02.14	2.0		3.2
2017.01.12	3.2		0.8
2016.12.14	0.6		1.3
2016.11.14	1.2		2.2
2016.10.12	1.8		-0.5
2016.09.14	-0.5		0.7
2016.08.12	0.4		0.3
2016.07.13	0.5		2.2
2016.06.14	2.0		0.2
2016.05.12	0.2		0.8
2016.04.13	0.8		2.9
2016.03.14	2.8		-0.1
2016.02.12	-1.3		1.4
2016.01.13	1.1		2.0
2015.12.14	1.9		1.3
2015.11.12	1.7		2.2
2015.10.14	0.9		1.7
2015.09.14	1.9		1.5
2015.08.12	1.2		1.6
2015.07.14	1.6		0.9
2015.06.12	0.8		2.1
2015.05.13	1.8		1.9
2015.04.14	1.6		1.2
2015.03.12	0.4		-0.2
2015.02.12	0.6		-0.4
2015.01.14	-0.8		0.7
2014.12.12	0.8		0.6
2014.11.12	0.5		-1.9
2014.10.14	-0.5		2.2
2014.09.12	1.6		0.0
2014.08.13	0.2		0.5
2014.07.14	0.6		1.4
2014.06.12	1.4		-0.1
2014.05.14	0.2		1.7
2014.04.14	1.7		2.1
2014.03.12	1.6		0.5
2014.02.12	1.2		3.0
2014.01.14	2.8		0.2
2013.12.12	0.5		1.1
2013.11.13	0.2		-2.1
2013.10.14	-1.1		-2.1
2013.09.12	-1.9		0.3
2013.08.13	-0.4		-1.3
2013.07.12	-1.3		-0.6
2013.06.12	-0.6		-1.7
2013.05.14	-1.4		-3.1
2013.04.12	-3.2		-1.3
2013.03.13	-2.4		-2.4
2013.02.13	-1.7		-3.7
2013.01.14	-4.0		-3.6
2012.12.12	-3.3		-2.3
2012.11.14	-2.3		-2.9
2012.10.12	-2.9		-2.3
2012.09.12	-2.8		-2.1
2012.08.14	-2.1		-2.8
2012.07.12	-2.6		-2.3
2012.06.13	-2.4		-2.2
2012.05.14	-1.5		-1.5
2012.04.12	-1.5		-1.2
2012.03.14	-1.7		-2.0
2012.02.14	-1.8		0.1
2012.01.12	0.1		1.3
2011.12.14	1.0		2.2
2011.11.14	2.2		5.3
2011.10.12	6.0		4.2
2011.09.14	4.4		2.6
2011.08.12	2.6		4.0
2011.07.13	4.4		5.2
2011.06.15	5.3		5.3
2011.05.12	5.8		7.3
2011.04.13	7.7		6.6
2011.03.14	6.3		8.0
2011.02.14	8.8		7.4
2011.01.12	7.9		6.9
2010.12.14	7.1		5.4
2010.11.12	5.5		8.4
2010.10.13	8.5		7.2
