Date	ActualValue	ForecastValue	PreviousValue
2022.08.23	49.2	49.2	49.9
2022.08.03	49.9	49.4	49.4
2022.07.22	49.4	50.6	52.0
2022.07.05	52.0	51.9	51.9
2022.06.23	51.9	54.2	54.8
2022.06.03	54.8	54.9	54.9
2022.05.24	54.9	55.7	55.8
2022.05.04	55.8	55.8	55.8
2022.04.22	55.8	54.7	54.9
2022.04.05	54.9	54.5	54.5
2022.03.24	54.5	55.7	55.5
2022.03.03	55.5	55.8	55.8
2022.02.21	55.8	52.4	52.3
2022.02.03	52.3	52.4	52.4
2022.01.24	52.4	53.4	53.3
2022.01.05	53.3	53.4	53.4
2021.12.16	53.4	55.6	55.4
2021.12.03	55.4	55.8	55.8
2021.11.23	55.8	54.3	54.2
2021.11.04	54.2	54.3	54.3
2021.10.22	54.3	56.2	56.2
2021.10.05	56.2	56.1	56.1
2021.09.23	56.1	59.3	59.0
2021.09.03	59.0	59.5	59.5
2021.08.23	59.5	60.5	60.2
2021.08.04	60.2	60.6	60.6
2021.07.23	60.6	59.5	59.5
2021.07.05	59.5	59.2	59.2
2021.06.23	59.2	57.1	57.1
2021.06.03	57.1	56.9	56.9
2021.05.21	56.9	53.8	53.8
2021.05.05	53.8	53.7	53.7
2021.04.23	53.7	52.9	53.2
2021.04.07	53.2	52.5	52.5
2021.03.24	52.5	48.5	48.8
2021.03.03	48.8	48.1	48.1
2021.02.19	48.1	47.7	47.8
2021.02.03	47.8	47.5	47.5
2021.01.22	47.5	49.5	49.1
2021.01.06	49.1	49.8	49.8
2020.12.16	49.8	45.2	45.3
2020.12.03	45.3	45.1	45.1
2020.11.23	45.1	49.7	50.0
2020.11.04	50.0	49.4	49.4
2020.10.23	49.4	50.3	50.4
2020.10.05	50.4	50.1	50.1
2020.09.23	50.1	51.8	51.9
2020.09.03	51.9	51.6	51.6
2020.08.21	51.6	54.9	54.9
2020.08.05	54.9	54.8	54.8
2020.07.24	54.8	48.0	48.5
2020.07.03	48.5	47.5	47.5
2020.06.23	47.5	42.7	31.9
2020.06.03	31.9	30.5	30.5
2020.05.21	30.5	1.3	13.6
2020.05.06	13.6	13.5	13.5
2020.04.23	13.5	13.6	29.7
2020.04.03	29.7	31.4	31.4
2020.03.24	31.4	51.9	51.6
2020.03.04	51.6	51.6	51.6
2020.02.21	51.6	51.4	51.3
2020.02.05	51.3	50.9	50.9
2020.01.24	50.9	51.0	50.9
2020.01.06	50.9	50.6	50.6
2019.12.16	50.6	50.6	50.6
2019.12.04	50.6	50.3	50.3
2019.11.22	50.3	50.5	50.6
2019.11.06	50.6	50.2	50.2
2019.10.24	50.2	49.4	50.1
2019.10.03	50.1	50.4	50.4
2019.09.23	50.4	52.0	51.9
2019.09.04	51.9	51.8	51.8
2019.08.22	51.8	51.2	51.5
2019.08.05	51.5	51.5	51.5
2019.07.24	51.5	52.4	52.2
2019.07.03	52.2	52.1	52.1
2019.06.21	52.1	51.9	51.8
2019.06.05	51.8	51.6	51.6
2019.05.23	51.6	51.4	51.5
2019.05.06	51.5	51.3	51.3
2019.04.18	51.3	51.5	51.6
2019.04.03	51.6	51.3	51.3
2019.03.22	51.3	52.2	51.9
2019.03.05	51.9	51.4	51.4
2019.02.21	51.4	50.7	51.0
2019.02.05	51.0	50.7	50.7
2019.01.24	50.7	50.5	51.1
2019.01.04	51.1	51.5	51.3
2018.12.14	51.3	52.2	52.7
2018.12.05	52.7	52.2	52.4
2018.11.23	52.4	53.0	53.1
2018.11.06	53.1	53.5	52.7
2018.10.24	52.7	54.2	54.1
