Date	ActualValue	ForecastValue	PreviousValue
2022.08.23	50.2	50.4	51.2
2022.08.03	51.2	50.6	50.6
2022.07.22	50.6	51.4	53.0
2022.07.05	53.0	52.8	52.8
2022.06.23	52.8	55.2	56.1
2022.06.03	56.1	56.3	56.3
2022.05.24	56.3	57.9	57.7
2022.05.04	57.7	57.7	57.7
2022.04.22	57.7	54.9	55.6
2022.04.05	55.6	54.8	54.8
2022.03.24	54.8	55.7	55.5
2022.03.03	55.5	55.8	55.8
2022.02.21	55.8	51.2	51.1
2022.02.03	51.1	51.2	51.2
2022.01.24	51.2	53.2	53.1
2022.01.05	53.1	53.3	53.3
2021.12.16	53.3	56.3	55.9
2021.12.03	55.9	56.6	56.6
2021.11.23	56.6	54.7	54.6
2021.11.04	54.6	54.7	54.7
2021.10.22	54.7	56.4	56.4
2021.10.05	56.4	56.3	56.3
2021.09.23	56.3	59.5	59.0
2021.09.03	59.0	59.7	59.7
2021.08.23	59.7	60.2	59.8
2021.08.04	59.8	60.4	60.4
2021.07.23	60.4	58.3	58.3
2021.07.05	58.3	58.0	58.0
2021.06.23	58.0	55.2	55.2
2021.06.03	55.2	55.1	55.1
2021.05.21	55.1	50.4	50.5
2021.05.05	50.5	50.3	50.3
2021.04.23	50.3	49.2	49.6
2021.04.07	49.6	48.8	48.8
2021.03.24	48.8	45.2	45.7
2021.03.03	45.7	44.7	44.7
2021.02.19	44.7	45.2	45.4
2021.02.03	45.4	45.0	45.0
2021.01.22	45.0	46.9	46.4
2021.01.06	46.4	47.3	47.3
2020.12.16	47.3	41.5	41.7
2020.12.03	41.7	41.3	41.3
2020.11.23	41.3	46.5	46.9
2020.11.04	46.9	46.2	46.2
2020.10.23	46.2	47.8	48.0
2020.10.05	48.0	47.6	47.6
2020.09.23	47.6	50.3	50.5
2020.09.03	50.5	50.1	50.1
2020.08.21	50.1	55.0	54.7
2020.08.05	54.7	55.1	55.1
2020.07.24	55.1	47.8	48.3
2020.07.03	48.3	47.3	47.3
2020.06.23	47.3	29.5	30.5
2020.06.03	30.5	28.7	28.7
2020.05.21	28.7	11.8	12.0
2020.05.06	12.0	11.7	11.7
2020.04.23	11.7	43.3	26.4
2020.04.03	26.4	28.4	28.4
2020.03.24	28.4	52.4	52.6
2020.03.04	52.6	52.8	52.8
2020.02.21	52.8	52.4	52.5
2020.02.05	52.5	52.2	52.2
2020.01.24	52.2	53.0	52.8
2020.01.06	52.8	52.4	52.4
2019.12.16	52.4	52.1	51.9
2019.12.04	51.9	51.5	51.5
2019.11.22	51.5	52.3	52.2
2019.11.06	52.2	51.8	51.8
2019.10.24	51.8	51.5	51.6
2019.10.03	51.6	52.0	52.0
2019.09.23	52.0	53.2	53.5
2019.09.04	53.5	53.4	53.4
2019.08.22	53.4	53.4	53.2
2019.08.05	53.2	53.3	53.3
2019.07.24	53.3	53.5	53.6
2019.07.03	53.6	53.4	53.4
2019.06.21	53.4	52.4	52.9
2019.06.05	52.9	52.5	52.5
2019.05.23	52.5	52.2	52.8
2019.05.06	52.8	52.5	52.5
2019.04.18	52.5	53.6	53.3
2019.04.03	53.3	52.7	52.7
2019.03.22	52.7	53.4	52.8
2019.03.05	52.8	52.3	52.3
2019.02.21	52.3	51.0	51.2
2019.02.05	51.2	50.8	50.8
2019.01.24	50.8	51.2	51.2
2019.01.04	51.2	51.3	51.4
2018.12.14	51.4	53.2	53.4
2018.12.05	53.4	52.9	53.1
2018.11.23	53.1	53.6	53.7
2018.11.06	53.7	54.1	53.3
2018.10.24	53.3	54.8	54.7
2018.10.03	54.7	54.5	54.7
2018.09.21	54.7	54.4	54.4
2018.09.05	54.4	54.3	54.4
2018.08.23	54.4	54.3	54.2
2018.08.03	54.2	54.8	54.4
2018.07.24	54.4	55.1	55.2
2018.07.04	55.2	54.4	55.0
2018.06.22	55.0	53.9	53.8
2018.06.05	53.8	54.3	53.9
2018.05.23	53.9	54.9	54.7
2018.05.04	54.7	55.0	55.0
2018.04.23	55.0	55.0	54.9
2018.04.05	54.9	55.6	55.0
2018.03.22	55.0	56.5	56.2
2018.03.05	56.2	57.4	56.7
2018.02.21	56.7	57.9	58.0
2018.02.05	58.0	57.2	57.6
2018.01.24	57.6	56.3	56.6
2018.01.04	56.6	56.0	56.5
2017.12.14	56.5	55.6	56.2
2017.12.05	56.2	55.2	56.2
2017.11.23	56.2	55.0	55.0
2017.11.06	55.0	54.9	54.9
2017.10.24	54.9	55.0	55.8
2017.10.04	55.8	55.2	55.6
2017.09.22	55.6	54.9	54.7
2017.09.05	54.7	55.2	54.9
2017.08.23	54.9	55.5	55.4
2017.08.03	55.4	55.5	55.4
2017.07.24	55.4	55.5	55.4
2017.07.05	55.4	55.5	54.7
2017.06.23	54.7	55.8	56.3
2017.06.05	56.3	55.9	56.2
2017.05.23	56.2	56.4	56.4
2017.05.04	56.4	56.2	56.2
2017.04.21	56.2		56.0
2017.04.05	56.0		56.5
2017.03.24	56.5		55.5
2017.03.03	55.5		55.6
2017.02.21	55.6		53.7
2017.02.03	53.7		53.6
2017.01.24	53.6		53.7
2017.01.04	53.7		53.1
2016.12.15	53.1		53.8
2016.12.05	53.8		54.1
2016.11.23	54.1		52.8
2016.11.04	52.8		53.5
2016.10.24	53.5		52.2
2016.10.05	52.2		52.1
2016.09.23	52.1		52.8
2016.09.05	52.8		53.1
2016.08.23	53.1		52.9
2016.08.03	52.9		52.7
2016.07.22	52.7		52.8
2016.07.05	52.8		52.4
2016.06.23	52.4		53.3
2016.06.03	53.3		53.1
2016.05.23	53.1		53.1
2016.05.04	53.1		53.2
2016.04.22	53.2		53.1
2016.04.05	53.1		54.0
2016.03.22	54.0		53.3
2016.03.03	53.3		53.0
2016.02.22	53.0		53.6
2016.02.03	53.6		53.6
2016.01.22	53.6		54.2
2016.01.06	54.2		53.9
2015.12.16	53.9		54.2
2015.12.03	54.2		54.6
2015.11.23	54.6		54.1
2015.11.04	54.1		54.2
2015.10.23	54.2		53.7
2015.10.05	53.7		54.0
2015.09.23	54.0		54.4
2015.09.03	54.4		54.3
2015.08.21	54.3		54.0
2015.08.05	54.0		53.8
2015.07.24	53.8		54.4
2015.07.03	54.4		54.4
2015.06.23	54.4		53.8
2015.06.03	53.8		53.3
2015.05.21	53.3		54.1
2015.05.06	54.1		53.7
2015.04.23	53.7		54.2
2015.04.07	54.2		54.3
2015.03.24	54.3		53.7
2015.03.04	53.7		53.9
2015.02.20	53.9		52.7
2015.02.04	52.7		52.3
2015.01.23	52.3		51.6
2015.01.06	51.6		51.9
2014.12.16	51.9		51.1
2014.12.03	51.1		51.3
2014.11.20	51.3		52.3
2014.11.05	52.3		52.4
2014.10.23	52.4		52.4
2014.10.03	52.4		52.8
2014.09.23	52.8		53.1
2014.09.03	53.1		53.5
2014.08.21	53.5		54.2
2014.08.05	54.2		54.4
2014.07.24	54.4		52.8
2014.07.03	52.8		52.8
2014.06.23	52.8		53.2
2014.06.04	53.2		53.5
2014.05.22	53.5		53.1
2014.05.06	53.1		0.0
2014.04.23	0.0		52.2
2014.04.03	52.2		52.4
2014.03.24	52.4		52.6
2014.03.05	52.6		51.7
2014.02.20	51.7		51.6
2014.02.05	51.6		51.9
2014.01.23	51.9		51.0
2014.01.06	51.0		51.0
2013.12.16	51.0		51.2
2013.12.04	51.2		50.9
2013.11.21	50.9		51.6
2013.11.06	51.6		50.9
2013.10.24	50.9		52.2
2013.10.03	52.2		52.1
2013.09.23	52.1		50.7
2013.09.04	50.7		51.0
2013.08.22	51.0		49.8
2013.08.05	49.8		49.6
2013.07.24	49.6		48.3
2013.07.03	48.3		48.6
2013.06.20	48.6		47.2
2013.06.05	47.2		47.5
2013.05.23	47.5		47.0
2013.05.06	47.0		46.6
2013.04.23	46.6		46.4
2013.04.04	46.4		46.5
2013.03.21	46.5		47.9
2013.03.05	47.9		47.3
2013.02.21	47.3		48.6
2013.02.05	48.6		48.3
2013.01.24	48.3		47.8
2013.01.04	47.8		47.8
2012.12.14	47.8		46.7
2012.12.05	46.7		45.7
2012.11.22	45.7		46.0
2012.11.06	46.0		46.2
2012.10.24	46.2		46.1
2012.10.03	46.1		46.0
2012.09.20	46.0		47.2
2012.09.05	47.2		47.5
2012.08.23	47.5		47.9
2012.08.03	47.9		47.6
2012.07.24	47.6		47.1
2012.07.04	47.1		46.8
2012.06.21	46.8		46.7
2012.06.05	46.7		46.5
2012.05.24	46.5		46.9
2012.05.04	46.9		49.2
2012.04.23	47.9		47.9
2012.04.04	47.9		48.7
2012.03.22	48.7		48.8
2012.03.05	48.8		49.4
2012.02.22	49.4		50.4
2012.02.03	50.4		48.8
2012.01.24	50.5		50.5
2012.01.04	50.5		48.3
2011.12.15	48.3		47.5
2011.12.05	47.5		47.8
2011.11.23	47.8		46.4
2011.11.04	46.4		47.2
2011.10.24	47.2		48.8
2011.10.05	48.8		49.1
2011.09.22	49.1		51.5
2011.09.05	51.5		51.5
2011.08.23	51.5		51.6
2011.08.03	51.6		51.4
2011.07.21	51.4		53.7
2011.07.05	53.7		54.2
2011.06.23	54.2		56.0
2011.06.03	56.0		55.4
2011.05.23	55.4		56.7
2011.05.04	56.7		56.9
2011.04.19	56.9		57.2
2011.04.05	57.2		56.8
2011.03.24	56.9		56.9
2011.03.03	56.9		57.2
2011.02.21	57.2		55.9
2011.02.03	55.9		55.2
2011.01.24	55.2		54.2
2011.01.05	54.2		53.7
2010.12.16	53.7		55.4
2010.12.03	55.4		55.2
2010.11.23	55.2		53.3
2010.11.04	53.3		53.2
2010.10.21	53.2		54.1
2010.10.05	54.1		53.6
2010.09.23	53.6		55.9
2010.09.03	55.9		55.6
2010.08.23	55.6		55.8
2010.08.04	55.8		56.0
2010.07.22	56.0		55.5
2010.07.05	55.5		55.4
2010.06.23	55.4		56.2
2010.06.03	56.2		55.6
2010.05.21	56.0		55.6
2010.05.05	55.6		55.5
2010.04.22	55.5		54.1
2010.04.07	54.1		53.7
2010.03.24	53.7		51.8
2010.03.03	51.8		52.0
2010.02.19	52.0		52.5
2010.02.03	52.5		52.3
2010.01.21	52.3		53.6
2010.01.06	53.6		53.7
2009.12.16	53.7		53.0
2009.12.03	53.0		53.2
2009.11.23	53.2		52.6
2009.11.04	52.6		52.3
2009.10.23	52.3		38.9
2009.10.05	50.6		50.6
2009.09.23	50.6		49.9
2009.09.03	49.9		49.5
2009.08.21	49.5		45.7
2009.08.05	45.7		45.6
2009.07.24	45.6		44.7
