Date	ActualValue	ForecastValue	PreviousValue
2022.08.03	35.8	38.1	36.2
2022.07.04	36.3	35.4	37.2
2022.06.02	37.2	38.7	36.9
2022.05.03	36.8	33.2	31.5
2022.04.06	31.4	30.8	30.6
2022.03.03	30.6	27.9	26.3
2022.02.03	26.2	24.3	23.7
2022.01.06	23.7	23.3	21.9
2021.12.02	21.9	17.4	16.1
2021.11.04	16.0	14.8	13.4
2021.10.05	13.4	13.5	12.4
2021.09.02	12.1	9.6	10.2
2021.08.03	10.2	10.2	9.6
2021.07.02	9.6	9.1	7.6
2021.06.02	7.6	5.8	4.3
2021.05.05	4.3	2.8	1.5
2021.04.08	1.5	0.5	0.4
2021.03.03	0.0	-1.1	-1.1
2021.02.03	-1.1	-1.8	-1.9
2021.01.06	-1.9	-1.8	-2.0
2020.12.02	-2.0	-2.6	-2.3
2020.11.04	-2.4	-2.5	-2.6
2020.10.01	-2.5	-2.1	-3.1
2020.09.02	-3.3	-3.0	-3.7
2020.08.04	-3.7	-5.9	-5.0
2020.07.02	-5.0	-6.2	-4.5
2020.06.03	-4.5	-4.1	-2.8
2020.05.05	-2.8	-1.2	-1.4
2020.04.02	-1.3	0.3	-0.7
2020.03.03	-0.5	-0.3	-0.6
2020.02.04	-0.7	-1.8	-1.4
2020.01.06	-1.4	-2.2	-1.9
2019.12.03	-1.9	-1.1	-1.2
2019.11.05	-1.2	-0.7	-0.8
2019.10.03	-0.8	-0.6	0.1
2019.09.03	0.2	-0.8	0.7
2019.08.02	0.7	0.8	1.6
2019.07.02	1.6	2.7	2.6
2019.06.05	2.6	3.2	2.9
2019.05.03	2.9	2.7	3.0
2019.04.02	3.0	1.9	2.9
2019.03.04	3.0	2.1	3.0
2019.02.04	3.0	3.6	4.0
2019.01.04	4.0	5.0	4.9
2018.12.04	4.9	4.5	4.6
2018.11.06	4.5	4.3	4.3
2018.10.02	4.2	4.3	4.3
2018.09.04	4.0	4.3	3.6
2018.08.02	3.6	3.3	3.0
2018.07.03	3.0	2.1	1.9
2018.06.04	2.0	2.4	2.1
2018.05.03	2.1	1.2	1.6
2018.04.05	1.6	-0.3	1.6
2018.03.02	1.5	1.4	2.2
2018.02.02	2.2	3.2	2.8
2018.01.05	2.8	1.5	2.5
2017.12.04	2.5	2.8	2.8
2017.11.06	2.9	3.8	2.5
2017.10.03	2.5	0.8	2.0
2017.09.04	2.0	2.9	2.4
2017.08.02	2.5	3.8	3.4
2017.07.04	3.3	4.1	4.3
2017.06.02	4.3	2.3	3.9
2017.05.03	3.9	4.7	4.5
2017.04.03	4.5		3.9
2017.03.02	3.5		1.6
2017.02.02	1.6		0.1
2017.01.05	0.1		-0.4
2016.12.02	-0.4		-1.5
2016.11.04	-1.5		-1.9
2016.10.04	-2.1		-2.6
2016.09.02	-2.8		-3.1
2016.08.02	-3.1		-3.8
2016.07.04	-3.9		-4.4
2016.06.02	-4.4		-4.1
2016.05.03	-4.2		-4.2
2016.04.04	-4.2		-3.0
2016.03.02	-2.9		-3.0
2016.02.02	-3.0		-3.2
2016.01.06	-3.2		-3.2
2015.12.02	-3.1		-3.2
2015.11.04	-3.1		-2.6
2015.10.02	-2.6		-2.1
2015.09.02	-2.1		-2.1
2015.08.04	-2.2		-2.0
2015.07.02	-2.0		-2.2
2015.06.02	-2.2		-2.3
2015.05.05	-2.3		-2.8
2015.04.07	-2.8		-3.4
2015.03.03	-3.5		-2.7
2015.02.03	-2.6		-1.6
2015.01.08	-1.6		-1.3
2014.12.02	-1.3		-1.4
2014.11.04	-1.4		-1.4
2014.10.02	-1.4		-1.1
2014.09.02	-1.3		-0.8
2014.08.04	-0.8		-1.0
2014.07.02	-1.0		-1.2
2014.06.04	-1.2		-1.6
2014.05.05	-1.6		-1.7
2014.04.02	-1.7		-1.4
2014.03.04	-1.4		-0.8
2014.02.04	-0.8		-1.2
2014.01.07	-1.2		-1.4
2013.12.03	-1.3		-0.9
2013.11.05	-0.9		-0.8
2013.10.04	-0.8		0.2
2013.09.03	0.0		0.3
2013.08.02	0.3		-0.1
2013.07.02	-0.2		-0.2
2013.06.04	-0.2		0.0
2013.05.03	0.6		1.3
2013.04.04	1.4		1.9
2013.03.04	1.7		2.1
2013.02.04	2.1		2.1
2013.01.07	2.1		2.6
2012.12.04	2.6		2.7
2012.11.06	2.7		2.7
2012.10.02	2.7		1.8
2012.09.04	1.6		1.8
2012.08.02	1.8		2.3
2012.07.03	2.3		2.6
2012.06.04	2.6		3.3
2012.05.03	3.5		3.6
2012.04.03	3.6		3.8
2012.03.02	3.8		4.3
2012.02.02	4.3		5.4
2012.01.05	5.4		5.5
2011.12.02	5.5		5.8
2011.11.04	5.8		5.8
2011.10.04	5.8		6.1
2011.09.02	6.1		5.9
2011.08.02	5.9		6.2
2011.07.04	6.2		6.7
2011.06.06	6.7		6.7
2011.05.03	6.8		6.6
2011.04.04	6.6		6.1
2011.03.02	5.9		5.3
2011.02.02	5.3		4.5
2011.01.05	4.5		4.4
2010.12.02	4.3		4.2
2010.11.04	4.3		3.6
2010.10.04	3.6		4.0
2010.09.02	4.0		3.0
2010.08.03	3.0		3.1
2010.07.02	3.1		2.8
2010.06.02	2.8		0.9
2010.05.04	0.9		-0.6
2010.04.07	-0.4		-1.0
2010.03.02	-1.0		-2.9
2010.02.02	-2.9		-4.4
2010.01.06	-4.4		-6.7
2009.12.02	-6.6		-7.6
2009.11.04	-7.7		-7.5
2009.10.02	-7.5		-8.5
2009.09.02	-8.5		-6.6
2009.08.04	-6.6		-5.8
2009.07.02	-6.0		-4.6
2009.06.03	-4.8		-3.1
2009.05.05	-3.3		-1.8
2009.04.06	-1.4		-0.7
2009.03.12	-0.9		1.2
2009.02.03	1.1		3.3
2009.01.07	2.9		6.3
2008.12.02	6.1		7.9
2008.11.04	7.9		8.5
2008.10.02	8.5		9.0
2008.09.02	9.0		8.0
2008.08.04	8.0		7.1
2008.07.02	7.1		6.1
2008.06.03	6.1		5.7
2008.05.06	5.7		5.3
2008.04.02	5.3		4.9
2008.03.04	5.0		4.3
2008.02.04	4.3		4.1
2008.01.07	4.2		3.3
2007.12.04	3.3		2.7
2007.11.06	2.7		1.8
2007.10.02	1.8		1.8
2007.09.04	1.8		2.3
2007.08.02	2.3		2.4
2007.07.03	2.4		2.4
2007.06.04	2.4		2.7
2007.04.03	2.7		2.9
2007.03.02	2.9		
