Date	ActualValue	ForecastValue	PreviousValue
2022.08.03	-3.7	3.9	0.4
2022.07.06	0.2	4.3	4.0
2022.06.03	3.9	4.5	1.6
2022.05.04	0.8	4.7	5.2
2022.04.07	5.0	4.2	8.4
2022.03.04	7.8	3.4	2.1
2022.02.04	2.0	3.0	8.2
2022.01.07	7.8	2.3	1.7
2021.12.03	1.4	1.9	2.6
2021.11.05	2.5	1.6	1.5
2021.10.06	0.0	1.2	3.1
2021.09.03	3.1	0.6	5.4
2021.08.04	5.0	0.0	8.6
2021.07.06	9.0	16.5	23.3
2021.06.04	23.9	4.7	13.1
2021.05.06	12.0	-0.3	-1.5
2021.04.12	-2.9	-0.2	-5.2
2021.03.04	-6.4	0.0	0.9
2021.02.04	0.6	0.1	-2.2
2021.01.07	-2.9	0.2	4.2
2020.12.03	4.3	0.3	2.5
2020.11.05	2.2	0.5	4.4
2020.10.05	3.7	0.6	-0.1
2020.09.03	0.4	-5.3	1.3
2020.08.05	1.3	-6.6	-3.1
2020.07.06	-5.1	-3.7	-19.6
2020.06.04	-19.6	0.8	-8.8
2020.05.06	-9.2	2.0	2.5
2020.04.03	3.0	2.0	2.2
2020.03.04	1.7	2.1	1.7
2020.02.05	1.3	2.2	2.3
2020.01.07	2.2	2.2	1.7
2019.12.05	1.4	1.5	2.7
2019.11.06	3.1	1.5	2.7
2019.10.03	2.1	1.4	2.2
2019.09.04	2.2	1.6	2.8
2019.08.02	2.6	1.5	1.0
2019.07.04	1.3	1.5	1.8
2019.06.05	1.5	1.5	2.0
2019.05.06	1.9	1.4	3.0
2019.04.03	2.8	1.3	2.2
2019.03.05	2.2	1.2	0.3
2019.02.05	0.8	1.3	1.8
2019.01.07	1.1	1.4	2.3
2018.12.05	1.7	1.4	0.3
2018.11.07	0.8	1.5	2.2
2018.10.03	1.8	1.6	1.0
2018.09.05	1.1	1.5	1.5
2018.08.03	1.2	1.7	1.6
2018.07.03	1.4	1.9	1.6
2018.06.05	1.7	1.9	1.5
2018.05.04	0.8	2.1	1.8
