Date	ActualValue	ForecastValue	PreviousValue
2022.08.16	-54.9	-42.5	-51.1
2022.07.12	-51.1	-32.8	-28.0
2022.06.14	-28.0	-24.3	-29.5
2022.05.10	-29.5	-41.0	-43.0
2022.04.12	-43.0	0.2	-38.7
2022.03.15	-38.7	49.3	48.6
2022.02.15	48.6	38.4	49.4
2022.01.18	49.4	26.4	26.8
2021.12.07	26.8	23.5	25.9
2021.11.09	25.9	26.1	21.0
2021.10.12	21.0	37.0	31.1
2021.09.07	31.1	52.2	42.7
2021.08.10	42.7	72.0	61.2
2021.07.06	61.2	84.4	81.3
2021.06.08	81.3	77.0	84.0
2021.05.11	84.0	71.2	66.3
2021.04.13	66.3	73.2	74.0
2021.03.16	74.0	65.1	69.6
2021.02.16	69.6	57.0	58.3
2021.01.19	58.3	44.1	54.4
2020.12.08	54.4	42.7	32.8
2020.11.10	32.8	63.7	52.3
2020.10.13	52.3	70.5	73.9
2020.09.15	73.9	62.8	64.0
2020.08.11	64.0	59.9	59.6
2020.07.14	59.6	29.0	58.6
2020.06.16	58.6	112.8	46.0
2020.05.19	46.0	-12.1	25.2
2020.04.21	25.2	3.7	-49.5
2020.03.17	-49.5	35.4	10.4
2020.02.18	10.4	30.0	25.6
2020.01.21	25.6	5.5	11.2
2019.12.10	11.2	-17.7	-1.0
2019.11.12	-1.0	-32.5	-23.5
2019.10.15	-23.5	-33.0	-22.4
2019.09.17	-22.4	-32.2	-43.6
2019.08.13	-43.6	-3.1	-20.3
2019.07.16	-20.3	1.8	-20.2
2019.06.18	-20.2	1.4	-1.6
2019.05.14	-1.6	1.0	4.5
2019.04.16	4.5	-9.5	-2.5
2019.03.19	-2.5	-18.7	-16.6
2019.02.19	-16.6	-21.0	-20.9
2019.01.22	-20.9	-21.5	-21.0
2018.12.11	-21.0	-20.7	-22.0
2018.11.13	-22.0	-13.3	-19.4
2018.10.16	-19.4	-9.1	-7.2
2018.09.11	-7.2	-14.9	-11.1
2018.08.14	-11.1	-15.6	-18.7
2018.07.10	-18.7	-5.1	-12.6
2018.06.12	-12.6	2.1	2.4
2018.05.15	2.4	7.6	1.9
2018.04.17	1.9	21.3	13.4
2018.03.20	13.4	30.6	29.3
2018.02.20	29.3	30.5	31.8
2018.01.23	31.8	30.0	29.0
2017.12.12	29.0	28.9	30.9
2017.11.14	30.9	29.2	26.7
2017.10.17	26.7	30.6	31.7
2017.09.19	31.7	32.5	29.3
2017.08.22	29.3	42.0	35.6
2017.07.18	35.6	50.3	37.7
2017.06.13	37.7	36.9	35.1
2017.05.16	35.1	18.8	26.3
2017.04.11	26.3		25.6
2017.03.14	25.6		17.1
2017.02.14	17.1		23.2
2017.01.17	23.2		18.1
2016.12.13	18.1		15.8
2016.11.15	15.8		12.3
2016.10.11	12.3		5.4
2016.09.13	5.4		4.6
2016.08.16	4.6		-14.7
2016.07.19	-14.7		20.2
2016.06.21	20.2		16.8
2016.05.24	16.8		21.5
2016.04.19	21.5		10.6
2016.03.22	10.6		13.6
2016.02.16	13.6		22.7
2016.01.19	22.7		33.9
2015.12.15	33.9		28.3
2015.11.17	28.3		30.1
2015.10.13	30.1		33.3
2015.09.15	33.3		47.6
2015.08.11	47.6		42.7
2015.07.14	42.7		53.7
2015.06.16	53.7		61.2
2015.05.19	61.2		64.8
2015.04.21	64.8		62.4
2015.03.17	62.4		52.7
2015.02.17	52.7		45.2
2015.01.20	45.2		31.8
2014.12.16	31.8		11.0
2014.11.18	11.0		4.1
2014.10.14	4.1		14.2
2014.09.16	14.2		23.7
2014.08.12	23.7		48.1
2014.07.15	48.1		58.4
2014.06.17	58.4		55.2
2014.05.13	55.2		61.2
2014.04.15	61.2		61.5
2014.03.18	61.5		68.5
2014.02.18	68.5		73.3
2014.01.21	73.3		68.3
2013.12.17	68.3		60.2
2013.11.19	60.2		59.1
2013.10.15	59.1		58.6
2013.09.17	58.6		44.0
2013.08.13	44.0		32.8
2013.07.16	32.8		30.6
2013.06.18	30.6		27.6
2013.05.14	27.6		24.9
2013.04.16	24.9		33.4
2013.03.19	33.4		42.4
2013.02.19	42.4		31.2
2013.01.22	31.2		7.6
2012.12.11	7.6		-2.6
2012.11.13	-2.6		-1.4
2012.10.16	-1.4		-3.8
2012.09.18	-3.8		-21.2
2012.08.14	-21.2		-22.3
2012.07.17	-22.3		-20.1
2012.06.19	-20.1		-2.4
2012.05.15	-2.4		13.1
2012.04.17	13.1		11.0
2012.03.13	11.0		-8.1
2012.02.14	-8.1		-32.5
2012.01.17	-32.5		-54.1
2011.12.13	-54.1		-59.1
2011.11.15	-59.1		-51.2
2011.10.18	-51.2		-44.6
2011.09.20	-44.6		-40.0
2011.08.23	-40.0		-7.0
2011.07.19	-7.0		-5.9
2011.06.21	-5.9		13.6
2011.05.17	13.6		19.7
2011.04.12	19.7		31.0
2011.03.15	31.0		29.5
2011.02.15	29.5		25.4
2011.01.18	25.4		13.8
2010.12.14	15.5		15.5
2010.11.16	13.8		1.8
2010.10.19	1.8		4.4
2010.09.14	4.4		15.8
2010.08.17	15.8		10.7
2010.07.13	10.7		18.8
2010.06.15	18.8		37.6
2010.05.18	37.6		46.0
2010.04.20	46.0		37.9
2010.03.16	37.9		40.2
2010.02.16	40.2		46.4
2010.01.19	46.4		48.0
2009.12.15	48.0		51.8
2009.11.10	51.8		56.9
2009.10.13	56.9		59.6
2009.09.15	59.6		54.9
2009.08.18	54.9		39.5
2009.07.14	39.5		42.7
2009.06.16	42.7		28.5
2009.05.19	28.5		11.8
2009.04.21	11.8		-6.5
2009.03.17	-6.5		-8.7
2009.02.17	-8.7		-30.8
2009.01.20	-30.8		-46.1
2008.12.09	-46.1		-55.7
2008.08.19	-55.7		-63.7
2008.07.22	-63.7		-43.6
2008.05.20	-43.6		-44.8
2008.04.14	-44.8		-35.0
2008.03.11	-35.0		-41.4
2008.02.12	-41.4		-41.7
2008.01.15	-41.7		-35.7
2007.12.11	-35.7		-30.0
2007.11.13	-30.0		-19.0
2007.10.16	-19.0		-20.3
2007.09.17	-20.3		
