Date	ActualValue	ForecastValue	PreviousValue
2022.08.16	-2133.3	-2003.8	-1950.0
2022.07.20	-1928.9	-1849.8	-1888.6
2022.06.15	-1931.4	-1297.2	-1580.5
2022.05.18	-1618.9	-967.4	-1019.4
2022.04.19	-899.8	-987.6	-1066.6
2022.03.15	-1031.4	-686.1	-776.9
2022.02.16	-932.6	-457.7	-549.5
2022.01.19	-435.3	-462.6	-473.9
2021.12.15	-486.8	-531.1	-418.3
2021.11.16	-444.7	-446.1	-605.5
2021.10.19	-624.8	-108.0	-336.7
2021.09.15	-271.8	-18.8	-5.9
2021.08.17	52.7	-23.1	-62.7
2021.07.20	-90.2	53.6	19.6
2021.06.15	43.1	180.0	84.4
2021.05.19	65.2	226.9	371.9
2021.04.18	297.8	321.3	-11.0
2021.03.16	-38.7	464.8	551.1
2021.02.16	392.8	446.0	512.3
2021.01.20	477.1	-34.7	549.5
2020.12.15	570.2	-176.1	362.1
2020.11.17	314.3	-49.7	440.0
2020.10.18	475.8	-193.1	359.0
2020.09.15	350.6	-484.9	41.3
2020.08.18	-34.8	-440.0	-410.9
2020.07.19	-423.9	-302.3	-585.7
2020.06.16	-601.0	-162.1	-1043.1
2020.05.20	-996.3	34.6	-380.9
2020.04.19	-190.0	9.3	482.2
2020.03.17	498.3	-110.9	-78.7
2020.02.18	-224.1	-64.2	-107.2
2020.01.22	-102.5	-68.8	-91.9
2019.12.17	-60.8	-93.6	-48.2
2019.11.19	-34.7	-277.5	-64.3
2019.10.20	-97.2	-229.7	-116.7
2019.09.17	-130.8	-268.4	-104.0
2019.08.18	-126.8	-445.3	-33.9
2019.07.17	-14.4	-524.8	-621.5
2019.06.18	-609.1	-2.2	-170.2
2019.05.21	-110.9	-1.3	-154.3
2019.04.16	-177.8	41.8	26.5
2019.03.17	116.1	-254.4	-292.2
2019.02.19	-370.0	-290.5	-221.4
2019.01.22	-183.6	-471.4	-480.7
2018.12.18	-492.2	-344.1	-288.2
2018.11.18	-302.7	-303.2	-141.5
2018.10.17	-238.9	-287.4	-191.0
2018.09.18	-190.4	-88.8	-102.3
2018.08.15	-45.6	51.2	83.1
2018.07.18	66.2	152.8	-296.8
2018.06.17	-296.8	366.2	550.0
2018.05.20	550.0	-37.1	119.2
2018.04.17	119.2	-67.9	-201.5
2018.03.18	-201.5	148.3	373.3
2018.02.18	373.3	-4.2	86.8
2018.01.23	86.8	261.7	364.1
2017.12.17	364.1	342.4	322.9
2017.11.19	322.9	397.0	240.3
2017.10.18	240.3	438.8	367.3
2017.09.19	367.3	277.9	337.4
2017.08.16	337.4	106.5	81.4
2017.07.19	81.4	114.4	133.8
2017.06.18	133.8	145.9	97.6
2017.05.21	97.6	294.1	172.2
2017.04.19	172.2		680.3
2017.03.21	680.3		155.5
2017.02.19	155.5		356.7
2017.01.24	356.7		466.1
2016.12.18	536.1		474.3
2016.11.20	474.3		358.5
2016.10.23	349.0		340.0
2016.09.20	340.0		317.6
2016.08.17	317.6		335.0
2016.07.24	335.0		294.5
2016.06.19	269.8		426.6
2016.05.22	426.6		295.3
2016.04.19	276.5		166.1
2016.03.16	166.1		73.2
2016.02.17	119.4		145.3
2016.01.24	36.6		-3.3
2015.12.16	-3.3		-173.0
2015.11.18	-202.3		-309.8
2015.10.20	-355.7		-373.5
2015.09.16	-358.8		-375.1
2015.08.18	-368.8		-283.4
2015.07.22	-251.7		-155.2
2015.06.16	-182.5		-239.9
2015.05.24	-208.7		5.0
2015.04.21	3.3		-638.8
2015.03.17	-573.2		-406.1
2015.02.18	-406.1		-712.1
2015.01.25	-620.7		-925.0
2014.12.16	-925.0		-977.5
2014.11.19	-985.1		-1070.1
2014.10.21	-1070.1		-924.2
2014.09.17	-912.4		-1023.8
2014.08.19	-1021.8		-1080.8
2014.07.23	-1067.8		-862.2
