Date	ActualValue	ForecastValue	PreviousValue
2022.08.07	-1114.0	-760.2	-1951.2
2022.07.07	-1951.2	-726.6	-688.4
2022.06.07	-688.4	-622.9	-166.1
2022.05.11	-166.1	-342.0	-176.8
2022.04.07	-176.8	-612.4	-1604.3
2022.03.07	-1604.3	130.6	-318.7
2022.02.07	-318.7	480.9	-431.3
2022.01.11	-431.3	421.9	166.7
2021.12.07	166.7	382.0	-229.9
2021.11.08	-229.9	689.9	-372.4
2021.10.07	-372.4	628.4	622.3
2021.09.07	622.3	428.3	648.5
2021.08.09	648.5	706.5	2.0
2021.07.07	2.0	570.4	289.5
2021.06.07	289.5	339.8	983.1
2021.05.12	983.1	562.0	524.2
2021.04.07	524.2	310.8	-130.1
2021.03.07	-130.1	89.8	965.1
2021.02.07	965.1	366.8	616.1
2021.01.11	616.1	66.0	971.1
2020.12.07	971.1	-178.1	918.4
2020.11.09	918.4	144.4	413.2
2020.10.07	413.2	-43.6	137.3
2020.09.07	137.3	-181.3	-77.3
2020.08.10	-77.3	262.2	-556.8
2020.07.07	-556.8	184.9	-966.5
2020.06.07	-966.5	-350.7	103.1
2020.05.12	103.1	582.7	1366.6
2020.04.07	1366.6	-458.8	-985.1
2020.03.08	-985.1	-114.4	120.7
2020.02.09	120.7	597.7	-2.5
2020.01.13	-2.5	-412.6	254.0
2019.12.08	254.0	-277.5	1.1
2019.11.10	1.1	705.0	50.9
2019.10.07	50.9	-523.9	-74.5
2019.09.08	-74.5	-271.4	759.3
2019.08.07	759.3	823.6	-650.9
2019.07.07	-650.9	-64.4	-98.2
2019.06.09	-98.2	-644.3	700.1
2019.05.13	700.1	317.3	489.2
2019.04.07	489.2	-891.5	-964.8
2019.03.07	-964.8	-33.6	216.2
2019.02.07	216.2	577.2	-559.1
2019.01.10	-559.1	-380.4	-321.7
2018.12.09	-321.7	137.9	323.3
2018.11.07	323.3	159.7	-219.3
2018.10.08	-219.3	245.2	-1.0
2018.09.09	-1.0	243.0	820.5
2018.08.07	820.5	222.3	-303.8
2018.07.08	-303.8	-136.9	573.8
2018.06.07	573.8	117.7	1190.7
2018.05.09	1190.7	486.2	188.7
2018.04.08	188.7	108.7	-666.6
2018.03.07	-666.6	271.0	538.9
2018.02.07	538.9	567.7	181.0
2018.01.11	181.0	201.9	430.2
2017.12.07	430.2	257.6	852.2
2017.11.08	852.2	551.2	318.7
2017.10.09	318.7	342.8	566.6
2017.09.07	566.6	457.7	518.5
2017.08.07	518.5	795.1	-115.1
2017.07.09	-115.1	535.3	553.6
2017.06.07	553.6	460.5	865.5
2017.05.10	865.5	705.4	1076.8
2017.04.09	1076.8		853.4
2017.03.07	-853.4		806.8
2017.02.07	806.8		313.4
2017.01.11	313.4		587.6
2016.12.07	587.6		642.4
2016.11.08	642.4		243.2
2016.10.10	243.2		613.9
2016.09.07	613.9		763.3
2016.08.07	763.3		39.9
2016.07.07	39.9		697.1
2016.06.07	697.1		927.2
2016.05.11	927.2		425.2
2016.04.07	425.0		411.0
2016.03.07	-411.0		188.7
2016.02.07	188.7		-271.5
2016.01.11	-271.5		200.2
2015.12.07	200.2		82.3
2015.11.09	82.3		-326.1
2015.10.07	-326.1		-108.0
2015.09.07	-108.0		102.6
2015.08.09	102.6		-47.3
2015.07.07	-47.3		-146.2
2015.06.07	-146.2		671.4
2015.05.12	671.4		-143.1
2015.04.07	-143.1		-864.2
2015.03.08	-864.2		-395.6
2015.02.08	-395.6		-636.8
2015.01.12	-636.8		-766.6
2014.12.07	-766.6		-714.5
2014.11.10	-714.5		-831.8
2014.10.07	-831.8		-828.1
2014.09.07	-828.1		-537.1
2014.08.07	-537.1		-675.9
2014.07.07	-675.9		-780.4
2014.06.08	-780.4		-1133.6
2014.05.11	-1133.6		-553.4
2014.04.07	-553.4		-1254.3
2014.01.13	-1254.3		-1091.9
2013.12.08	-1091.9		-874.8
2013.11.10	-874.8		-885.9
2013.10.07	-885.9		-943.3
2013.09.08	-943.3		-139.2
2013.08.07	-139.2		-906.7
2013.07.07	-906.7		-818.8
2013.06.09	-818.8		-219.9
2013.05.09	-219.9		-667.0
2013.04.07	-677.0		-1479.3
2013.03.07	-1479.3		-567.6
2013.02.07	-567.6		-847.5
2013.01.10	-847.5		-450.3
2012.12.09	-450.3		471.3
2012.11.07	471.3		-644.5
2012.10.08	-644.5		-373.6
2012.09.09	-373.6		112.0
2012.08.07	112.0		848.2
2012.07.08	848.2		463.9
2012.06.07	463.9		4.2
2012.05.09	4.2		102.1
2012.04.08	102.1		-1381.6
2012.03.07	-1381.6		-145.8
2012.02.07	-145.8		-585.1
2012.01.11	-585.1		206.1
2011.12.07	-206.1		373.2
2011.11.08	373.2		123.3
2011.09.07	694.7		131.5
2011.08.07	131.5		772.7
2011.07.07	772.7		-417.5
2011.06.07	-417.5		240.3
2011.05.11	240.3		723.3
2011.04.07	723.3		-394.5
2011.03.07	-394.5		768.8
2011.02.07	768.8		259.7
2011.01.11	259.7		912.9
2010.12.07	912.9		927.0
2010.11.08	927.0		195.9
2010.10.07	195.9		916.1
2010.09.07	916.1		769.0
2010.08.08	769.0		391.0
2010.07.07	391.0		859.1
2010.06.07	859.1		1074.7
2010.05.12	1074.7		778.0
2010.04.07	778.0		197.2
2010.03.07	197.2		631.2
2010.02.07	631.2		490.6
2010.01.11	490.6		949.0
2009.12.07	949.0		599.2
2009.11.09	599.2		303.7
2009.10.07	303.7		437.3
2009.09.07	437.3		602.2
2009.08.09	602.2		387.3
2009.07.07	387.3		184.3
2009.06.07	184.3		132.9
2009.05.12	132.9		202.1
2009.04.07	202.1		-844.4
2009.03.08	-844.4		-197.9
2009.02.08	-197.9		-93.4
2009.01.12	-93.4		145.0
2008.12.07	145.0		247.1
2008.11.10	247.1		-236.0
2008.10.14	-236.0		232.2
2008.09.09	232.2		252.1
2008.08.12	252.1		529.4
2008.07.09	529.4		634.7
2008.06.10	634.7		1250.7
2008.05.13	1250.7		1035.3
2008.04.09	1035.3		85.8
2008.03.11	85.8		1013.0
2008.02.12	1013.0		932.7
2008.01.14	932.7		2134.0
2007.07.10	2134.0		
