Date	ActualValue	ForecastValue	PreviousValue
2022.07.21	-0.1		-0.1
2022.06.17	-0.1		-0.1
2022.04.28	-0.1		-0.1
2022.03.18	-0.1		-0.1
2022.01.18	-0.1		-0.1
2021.12.17	-0.1		-0.1
2021.10.28	-0.1		-0.1
2021.09.22	-0.1		-0.1
2021.07.16	-0.1		-0.1
2021.06.18	-0.1		-0.1
2021.04.27	-0.1		-0.1
2021.03.19	-0.1		-0.1
2021.01.21	-0.1		-0.1
2020.12.18	-0.1		-0.1
2020.10.29	-0.1		-0.1
2020.09.17	-0.1		-0.1
2020.07.15	-0.1		-0.1
2020.06.16	-0.1		-0.1
2020.05.22	-0.1		-0.1
2020.04.27	-0.1		-0.1
2020.03.16	-0.1		-0.1
2020.01.21	-0.1		-0.1
2019.12.19	-0.1		-0.1
2019.10.31	-0.1		-0.1
2019.09.19	-0.1		-0.1
2019.07.30	-0.1		-0.1
2019.06.20	-0.1		-0.1
2019.04.25	-0.1		-0.1
2019.03.15	-0.1		-0.1
2019.01.23	-0.1		-0.1
2018.12.20	-0.1		-0.1
2018.10.31	-0.1		-0.1
2018.09.19	-0.1		-0.1
2018.07.31	-0.1		-0.1
2018.06.15	-0.1		-0.1
2018.04.27	-0.1		-0.1
2018.03.09	-0.1		-0.1
2018.01.23	-0.1		-0.1
2017.12.21	-0.1		-0.1
2017.10.31	-0.1		-0.1
2017.09.21	-0.1		-0.1
2017.07.20	-0.1		-0.1
2017.06.16	-0.1		-0.1
2017.04.27	-0.1		-0.1
2017.03.16	-0.1		-0.1
2017.01.31	-0.1		-0.1
2016.12.20	-0.1		-0.1
2016.11.01	-0.1		-0.1
2016.09.21	-0.1		-0.1
2016.07.29	-0.1		-0.1
2016.06.16	-0.1		-0.1
2016.04.28	-0.1		-0.1
2016.03.15	-0.1		-0.1
2016.01.29	-0.1		0.1
2015.12.18	0.1		0.1
2015.11.19	0.1		0.1
2015.10.30	0.1		0.1
2015.10.07	0.1		0.1
2015.09.15	0.1		0.1
2015.08.07	0.1		0.1
2015.07.14	0.1		0.1
2015.06.18	0.1		0.1
2015.05.21	0.1		0.1
2015.04.30	0.1		0.1
2014.12.19	0.1		0.1
2014.11.19	0.1		0.1
2014.10.31	0.1		0.1
2014.10.07	0.1		0.1
2014.09.04	0.1		0.1
2014.08.08	0.1		0.1
2014.07.15	0.1		0.1
2014.06.13	0.1		0.1
2014.05.21	0.1		0.1
2014.04.30	0.1		0.1
2014.04.08	0.1		0.1
2014.03.11	0.1		0.1
2014.01.22	0.1		0.1
2013.12.20	0.1		0.1
2013.11.21	0.1		0.1
2013.10.31	0.1		0.1
2013.10.04	0.1		0.1
2013.09.05	0.1		0.1
2013.08.08	0.1		0.1
2013.07.11	0.1		0.1
2013.06.11	0.1		0.1
2013.05.22	0.1		0.1
2013.04.26	0.1		0.1
2013.04.04	0.1		0.1
2013.03.07	0.1		0.1
2013.02.14	0.1		0.1
2013.01.22	0.1		0.1
2012.12.20	0.1		0.1
2012.11.20	0.1		0.1
2012.10.30	0.1		0.1
2012.10.05	0.1		0.1
2012.09.19	0.1		0.1
2012.08.09	0.1		0.1
2012.07.12	0.1		0.1
2012.06.15	0.1		0.1
2012.05.23	0.1		0.1
2012.04.27	0.1		0.1
2012.04.10	0.1		0.1
2012.03.13	0.1		0.1
2012.02.14	0.1		0.1
2012.01.24	0.1		0.1
2011.12.21	0.1		0.1
2011.11.16	0.1		0.1
2011.10.27	0.1		0.1
2011.10.07	0.1		0.1
2011.09.07	0.1		0.1
2011.08.04	0.1		0.1
2011.07.12	0.1		0.1
2011.06.14	0.1		0.1
2011.05.20	0.1		0.1
2011.04.28	0.1		0.1
2011.04.07	0.1		0.1
2011.03.14	0.1		0.1
2011.02.15	0.1		0.1
2011.01.25	0.1		0.1
2010.12.21	0.1		0.1
2010.11.05	0.1		0.1
2010.10.28	0.1		0.1
2010.10.05	0.1		0.1
2010.09.07	0.1		0.1
2010.08.10	0.1		0.1
2010.07.15	0.1		0.1
2010.06.15	0.1		0.1
2010.05.21	0.1		0.1
2010.04.30	0.1		0.1
2010.04.07	0.1		0.1
2010.03.17	0.1		0.1
2010.02.18	0.1		0.1
2010.01.26	0.1		0.1
2009.12.18	0.1		0.1
2009.11.20	0.1		0.1
2009.10.30	0.1		0.1
2009.10.14	0.1		0.1
2009.09.17	0.1		0.1
2009.08.11	0.1		0.1
2009.07.15	0.1		0.1
2009.06.16	0.1		0.1
2009.05.22	0.1		0.1
2009.04.30	0.1		0.1
2009.04.07	0.1		0.1
2009.03.18	0.1		0.1
2009.02.19	0.1		0.1
2009.01.22	0.1		0.1
2008.12.19	0.1		0.3
2008.12.02	0.3		0.3
2008.11.21	0.3		0.3
2008.10.31	0.3		0.5
2008.10.14	0.5		0.5
2008.10.07	0.5		0.5
2008.09.17	0.5		0.5
2008.08.19	0.5		0.5
2008.07.15	0.5		0.5
2008.06.13	0.5		0.5
2008.05.20	0.5		0.5
2008.04.30	0.5		0.5
2008.04.09	0.5		0.5
2008.03.07	0.5		0.5
2008.02.15	0.5		0.5
2008.01.22	0.5		0.5
2007.12.20	0.5		0.5
2007.11.13	0.5		0.5
2007.10.31	0.5		0.5
2007.10.11	0.5		0.5
2007.09.19	0.5		0.5
2007.08.23	0.5		0.5
2007.07.12	0.5		0.5
2007.06.15	0.5		0.5
2007.05.17	0.5		0.5
2007.02.21	0.5		
