Date	ActualValue	ForecastValue	PreviousValue
2022.08.15	9.6	-0.7	-9.2
2022.07.14	-9.2	1.5	0.0
2022.06.14	0.0	1.6	-1.6
2022.05.18	-1.6	-0.1	1.5
2022.04.19	1.5	-3.4	-3.2
2022.03.16	-3.2	-0.3	-0.4
2022.02.15	-0.4	1.6	8.0
2022.01.18	8.0	1.7	6.2
2021.12.14	6.2	0.7	-7.3
2021.11.15	-7.3	0.5	-3.9
2021.10.14	-3.9	-0.2	-3.4
2021.09.14	-3.4	-0.2	6.2
2021.08.16	6.2	-2.1	-6.8
2021.07.14	-6.8	-2.5	1.1
2021.06.14	1.1	-0.6	5.6
2021.05.19	5.6	1.3	-2.8
2021.04.19	-2.8	3.2	4.7
2021.03.16	4.7	2.6	0.8
2021.02.15	0.8	0.2	-2.9
2021.01.18	-2.9	-1.2	6.0
2020.12.14	6.0	-0.7	6.4
2020.11.16	6.4	1.3	2.9
2020.10.14	2.9	3.6	9.6
2020.09.14	9.6	0.2	6.2
2020.08.17	6.2	-6.9	-11.6
2020.07.14	-11.6	-8.6	-13.3
2020.06.12	-13.3	0.1	-3.6
2020.05.19	-3.6	-0.2	-1.8
2020.04.17	-1.8	-0.8	1.1
2020.03.17	1.1	-0.5	-0.4
2020.02.17	-0.4	0.2	-0.3
2020.01.20	-0.3	0.7	-4.5
2019.12.13	-4.5	0.3	1.0
2019.11.15	1.0	-0.6	-2.9
2019.10.15	-2.9	-0.2	1.1
2019.09.13	1.1	-0.3	-2.6
2019.08.15	-2.6	-0.2	1.7
2019.07.12	1.7	0.2	1.6
2019.06.14	1.6	0.2	-0.4
2019.05.20	-0.4	0.3	1.0
2019.04.17	1.0	-0.4	-4.7
2019.03.18	-4.7	-0.3	-1.9
2019.02.15	-1.9	0.3	1.0
2019.01.18	1.0	0.4	4.0
2018.12.14	4.0	-0.1	-1.5
2018.11.14	-1.5	-0.1	2.2
2018.10.15	2.2	0.1	-0.6
2018.09.14	-0.6	0.0	-2.2
2018.08.14	-2.2	0.0	-2.1
2018.07.13	-2.1	-1.2	1.8
2018.06.14	1.8	0.3	0.5
2018.05.16	0.5	1.0	1.3
2018.04.17	1.3	-0.3	-7.3
2018.03.16	-7.3	-0.1	2.8
2018.02.15	2.8	-0.3	0.0
2018.01.18	0.0	0.1	0.2
2017.12.14	0.2	-0.1	-1.5
2017.11.15	-1.5	-0.5	3.3
2017.10.16	3.3	0.2	-1.8
2017.09.14	-1.8	0.4	2.1
2017.08.15	2.1	-0.3	-4.1
2017.07.14	-4.1	-0.2	4.3
2017.06.14	4.3	0.1	-1.6
2017.05.17	-1.6	1.3	3.2
2017.04.14	3.2		0.1
2017.03.15	0.1		0.6
2017.02.14	0.6		3.0
2017.01.17	3.0		1.4
2016.12.14	1.4		-2.0
2016.11.14	-2.0		2.6
2016.10.17	2.6		0.6
2016.09.14	0.6		1.5
2016.08.15	1.5		-2.4
2016.07.13	-2.4		-1.0
2016.06.14	-1.0		3.2
2016.05.17	3.2		-5.4
2016.04.15	-5.4		2.6
2016.03.15	2.6		-1.0
2016.02.15	-1.0		-0.1
2016.01.18	-0.1		1.3
2015.12.14	1.3		1.5
2015.11.13	1.5		-0.9
2015.10.15	-0.9		-0.2
2015.09.14	-0.2		0.7
2015.08.12	0.7		-3.0
2015.07.13	-3.0		-0.4
2015.06.12	-0.4		-1.2
2015.05.18	-1.2		-3.2
2015.04.15	-3.2		3.6
2015.03.13	3.6		2.0
2015.02.16	2.0		-0.8
2015.01.19	-0.8		0.7
2014.12.12	0.7		3.6
2014.11.13	3.6		-1.7
2014.10.15	-1.7		-0.8
2014.09.12	-0.8		-3.3
2014.08.12	-3.3		-0.7
2014.07.14	-0.7		-2.2
2014.06.13	-2.2		0.4
2014.05.16	0.4		-2.6
2014.04.16	-2.6		5.9
2014.03.14	5.9		2.2
2014.02.17	2.2		-0.5
2014.01.20	-0.5		1.2
2013.12.13	1.2		1.2
2013.11.14	1.2		-2.1
2013.10.15	-2.1		3.7
2013.09.13	3.7		-2.3
2013.08.12	-2.3		2.3
2013.07.12	2.3		1.6
2013.06.18	1.6		-0.8
2013.05.16	-0.8		0.7
2013.04.15	0.7		1.7
2013.03.14	1.7		2.9
2013.02.15	2.9		-0.2
2013.01.18	-0.2		1.6
2012.12.14	1.6		-5.5
2012.11.13	-5.5		-2.6
2012.10.15	-2.6		0.5
2012.09.14	0.5		-2.3
2012.08.10	-2.3		-2.2
2012.07.13	-2.2		-0.6
2012.06.14	0.2		1.3
2012.05.17	1.3		-1.7
2012.04.17	-1.7		3.4
2012.03.14	3.4		3.1
2012.02.14	3.1		-2.9
2012.01.18	-2.9		4.1
2011.12.14	4.1		-3.6
2011.11.14	-3.6		2.4
2011.10.17	2.4		0.6
2011.09.14	0.6		5.2
2011.08.12	5.2		12.8
2011.07.13	12.8		-1.1
2011.06.14	-1.1		-21.5
2011.05.19	-21.5		2.9
2011.04.15	2.9		3.6
2011.03.14	3.6		3.0
2011.02.15	3.0		1.6
2011.01.18	1.6		-2.3
2010.12.14	-2.3		-1.1
2010.11.15	-1.1		-0.9
2010.10.15	-0.9		-0.3
2010.09.14	-0.3		2.1
2010.08.12	-2.1		0.8
2010.07.13	0.8		0.0
2010.06.14	0.0		0.6
2010.05.19	0.6		0.0
2010.04.15	0.0		3.9
2010.03.12	3.9		1.4
2010.02.15	1.4		3.2
2010.01.18	3.2		0.2
2009.12.14	0.2		1.6
2009.11.13	1.6		2.3
2009.10.15	2.3		3.9
2009.09.14	3.9		2.3
2009.08.12	2.3		8.0
2009.07.13	8.0		10.2
2009.06.12	10.2		0.8
2009.05.19	0.8		-11.9
2009.04.15	-11.9		-12.9
2009.03.13	-12.9		-11.8
2009.02.16	-11.8		-9.4
2009.01.19	-9.4		-3.9
2008.12.12	-3.9		1.6
2008.11.13	1.6		-3.5
2008.10.15	-3.5		1.4
2008.09.12	1.4		-1.7
2008.08.12	-1.7		2.2
2008.07.11	2.2		105.9
2008.06.13	105.9		102.6
2008.05.16	102.6		106.3
2008.04.17	106.3		107.4
2008.03.13	107.4		110.2
2008.02.14	110.2		108.4
2008.01.11	108.4		110.2
2007.12.13	110.2		108.6
2007.11.09	108.6		109.7
2007.10.08	109.7		106.3
2007.05.16	106.3		106.3
2007.04.16	106.3		106.1
2007.02.14	106.1		
