Date	ActualValue	ForecastValue	PreviousValue
2022.08.24	2.1	2.2	2.1
2022.07.25	2.0	2.0	1.9
2022.06.23	1.8	1.5	1.7
2022.05.25	1.7	0.9	1.3
2022.04.24	1.3	0.6	1.1
2022.03.24	1.1	0.4	1.2
2022.02.21	1.2	0.7	1.1
2022.01.25	1.1	1.1	1.1
2021.12.23	1.1	1.3	1.0
2021.11.24	1.0	1.2	0.9
2021.10.25	0.9	1.0	1.0
2021.09.26	1.0	0.9	1.1
2021.08.25	1.1	1.0	1.3
2021.07.26	1.4	1.3	1.5
2021.06.23	1.5	0.9	1.1
2021.05.25	1.0	1.5	0.7
2021.04.25	0.7	-0.3	0.0
2021.03.23	-0.1	-0.8	-0.4
2021.02.21	-0.5	-1.1	-0.3
2021.01.25	-0.4	-1.3	-0.5
2020.12.23	-0.6	-0.6	-0.5
2020.11.24	-0.6	1.2	1.4
2020.10.25	1.3	1.2	1.1
2020.09.24	1.0	1.4	1.1
2020.08.25	1.2	0.6	0.9
2020.07.27	0.8	0.5	0.5
2020.06.23	0.8	1.1	0.8
2020.05.25	1.0	1.9	1.6
2020.04.23	1.6	2.2	2.1
2020.03.25	2.1	2.2	2.3
2020.02.24	2.3	2.1	2.1
2020.01.27	2.1	2.1	2.1
2019.12.24	2.1	1.3	2.1
2019.11.25	2.1	0.5	0.5
2019.10.27	0.5	0.5	0.5
2019.09.24	0.6	0.6	0.6
2019.08.26	0.5	0.7	0.7
2019.07.24	0.7	0.0	0.9
2019.06.24	0.8	1.0	1.0
2019.05.27	0.9	1.1	1.1
2019.04.22	1.1	1.1	1.1
2019.03.25	1.1	1.1	1.0
2019.02.24	1.1	1.1	1.1
2019.01.27	1.1	1.2	1.2
2018.12.24	1.2	1.2	1.3
2018.11.26	1.3	1.2	1.1
2018.10.24	1.2	1.2	1.3
2018.09.24	1.3	1.2	1.1
2018.08.23	1.1	1.3	1.1
2018.07.25	1.2	1.0	1.0
2018.06.25	1.0	0.8	1.0
2018.05.27	0.9	0.6	0.5
2018.04.23	0.5	0.6	0.7
2018.03.26	0.6	0.6	0.7
2018.02.22	0.7	0.7	0.8
2018.01.25	0.8	0.8	0.8
2017.12.25	0.8	0.9	0.8
2017.11.26	0.8	0.7	0.9
2017.10.25	0.9	0.7	0.8
2017.09.25	0.8	0.6	0.6
2017.08.24	0.6	0.8	0.7
2017.07.25	0.8	0.7	0.8
2017.06.25	0.7	0.7	0.8
2017.05.25	0.7	0.7	0.8
2017.04.24	0.8		0.8
2017.03.26	0.8		0.5
2017.02.22	0.5		0.5
2017.01.25	0.4		0.3
2016.12.25	0.3		0.5
2016.11.24	0.5		0.3
2016.10.25	0.3		0.2
2016.09.26	0.2		0.4
2016.08.24	0.4		0.2
2016.07.25	0.2		0.2
2016.06.23	0.2		0.3
2016.05.25	0.2		0.2
2016.04.24	0.2		0.2
2016.03.24	0.2		0.3
2016.02.23	0.2		0.4
2016.01.25	0.4		0.2
2015.12.24	0.2		0.4
2015.11.24	0.5		0.6
2015.10.26	0.6		0.8
2015.09.24	0.7		0.6
2015.08.25	0.6		0.4
2015.07.26	0.4		0.6
2015.06.23	0.6		0.7
2015.05.25	0.7		3.1
2015.04.23	3.2		3.3
2015.03.24	3.3		3.4
2015.02.23	3.5		3.6
2015.01.26	3.5		3.6
2014.12.24	3.6		3.6
2014.11.24	3.6		3.5
2014.10.26	3.5		3.5
2014.09.24	3.5		3.7
2014.08.25	3.4		3.6
2014.07.24	3.7		3.6
2014.06.24	3.6		3.4
2014.05.26	3.4		0.7
2014.04.23	0.7		0.7
2014.03.25	0.7		0.8
2014.02.24	0.7		1.3
2014.01.27	1.1		1.0
2013.12.24	1.0		0.8
2013.11.25	0.8		0.7
2013.10.24	0.7		0.6
2013.09.24	0.7		0.4
2013.08.25	0.6		0.4
2013.07.24	0.4		0.3
2013.06.24	0.3		-0.4
2013.05.27	-0.4		-0.2
2013.04.23	-0.2		0.1
2013.03.25	0.0		-0.2
2013.02.24	-0.2		-0.4
2013.01.27	-0.4		-0.4
2012.12.24	-0.5		-0.7
2012.11.26	-0.7		-0.5
2012.10.24	-0.5		-0.3
2012.09.24	-0.3		-0.2
2012.08.23	-0.3		-0.3
2012.07.25	-0.4		0.1
2012.06.25	0.1		0.2
2012.05.27	0.2		-0.3
2012.04.23	-0.2		-0.6
2012.03.26	-0.6		-0.2
2012.02.23	-0.2		0.1
2012.01.25	0.1		-0.2
2011.12.26	-0.1		0.1
2011.11.24	0.1		-0.1
2011.10.25	-0.1		-0.4
2011.09.26	-0.3		-0.5
2011.08.23	-0.3		-0.7
2011.07.25	-0.8		-0.9
2011.06.23	-0.9		-0.8
2011.05.25	-0.7		-1.2
2011.04.24	-1.2		-1.0
2011.03.24	-1.1		-1.2
2011.02.22	-1.2		-1.3
2011.01.25	-1.4		-1.3
2010.12.26	-1.3		-1.3
2010.11.24	-1.5		-1.3
2010.10.25	-1.3		-1.1
2010.09.26	-1.4		-1.4
2010.08.24	-1.4		-1.2
2010.07.26	-1.2		-0.9
2010.06.23	-0.9		-1.2
2010.05.25	-1.2		-1.1
2010.04.25	-1.3		-1.3
2010.03.24	-1.2		-1.0
2010.02.23	-1.2		-1.5
2010.01.25	-1.5		-2.0
2009.12.24	-2.0		-2.2
2009.11.24	-2.2		-3.2
2009.10.28	-3.2		-3.5
2009.09.24	-3.5		-3.4
2009.08.25	-3.4		-3.2
2009.07.26	-3.2		-3.0
2009.06.23	-3.0		-2.4
2009.05.25	-2.4		-2.1
2009.04.23	-2.1		-2.6
2009.03.25	-2.6		-2.2
2009.02.23	-2.4		-2.5
2009.01.26	-2.5		-1.9
2008.12.24	-2.0		-1.4
2008.11.24	-1.4		0.1
2008.10.26	0.1		1.4
2008.09.24	1.4		1.3
2008.08.25	1.3		1.2
2008.07.24	1.2		0.6
2008.06.24	0.6		0.5
2008.05.26	0.5		0.4
2008.04.23	0.4		0.7
2008.03.25	0.7		0.8
2008.02.25	0.8		1.4
2008.01.27	1.4		1.4
2007.12.24	1.4		1.4
2007.11.26	1.4		1.4
2007.10.24	1.4		
