Date	ActualValue	ForecastValue	PreviousValue
2022.08.07	-132.4	-113.9	128.4
2022.07.07	128.4	1356.5	501.1
2022.06.07	501.1	1355.7	2549.3
2022.05.11	2549.3	1400.5	1648.3
2022.04.07	1648.3	-37.1	-1196.4
2022.03.07	-1188.7	-47.4	-370.8
2022.02.07	-370.8	612.3	897.3
2022.01.11	897.3	1587.9	1180.1
2021.12.07	1180.1	2118.4	1033.7
2021.11.08	1033.7	1735.2	1503.0
2021.10.07	1665.6	2640.0	1910.8
2021.09.07	1910.8	1831.3	905.1
2021.08.09	905.1	885.3	1979.7
2021.07.07	1979.7	1649.0	1321.8
2021.06.07	1321.8	1540.6	2650.1
2021.05.12	2650.1	1997.5	2916.9
2021.04.07	2916.9	1717.9	644.4
2021.03.07	646.8	1297.0	1165.6
2021.02.07	1165.6	815.7	1878.4
2021.01.11	1878.4	1626.8	2144.7
2020.12.07	2144.7	1730.5	1660.2
2020.11.09	1660.2	1050.1	2114.5
2020.10.07	2102.8	1548.9	1468.3
2020.09.07	1468.3	1204.1	167.5
2020.08.10	167.5	380.3	1176.8
2020.07.07	1176.8	584.7	262.7
2020.06.07	262.7	1582.2	1971.0
2020.05.12	1971.0	3345.4	3168.8
2020.04.07	3168.8	2749.4	612.3
2020.03.08	612.3	735.3	524.0
2020.02.09	524.0	528.3	1436.8
2020.01.13	1436.8	434.6	1816.8
2019.12.08	1816.8	1452.5	1612.9
2019.11.10	1612.9	1675.0	2157.7
2019.10.07	2157.7	2027.1	1999.9
2019.09.08	1999.9	2057.0	1211.2
2019.08.07	1211.2	1273.2	1594.8
2019.07.07	1594.8	1688.6	1707.4
2019.06.09	1707.4	2299.1	2847.9
2019.05.13	2847.9	3418.0	2676.8
2019.04.07	2676.8	1870.8	600.4
2019.03.07	600.4	-311.8	452.8
2019.02.07	452.8	-172.6	757.2
2019.01.10	757.2	267.0	1309.9
2018.12.09	1309.9	2196.0	1821.6
2018.11.07	1821.6	2265.4	1838.4
2018.10.08	1838.4	3076.9	2009.7
2018.09.09	2009.7	2713.9	1175.6
2018.08.07	1175.6	718.4	1938.3
2018.07.08	1938.3	1114.3	1845.1
2018.06.07	1845.1	1599.6	3122.3
2018.05.09	3122.3	2979.0	2076.0
2018.04.08	2076.0	2989.3	607.4
2018.03.07	607.4	-23.9	797.2
2018.02.07	797.2	1169.6	1347.3
2018.01.11	1347.3	2078.2	2176.4
