Date	ActualValue	ForecastValue	PreviousValue
2022.08.09	0.4	0.4	0.9
2022.07.11	0.7	0.4	0.1
2022.06.09	0.0	0.4	1.3
2022.05.15	1.2	0.3	0.9
2022.04.11	0.8	0.3	0.9
2022.03.09	0.8	0.3	0.8
2022.02.09	0.6	-0.3	0.0
2022.01.13	-0.2	0.8	0.7
2021.12.09	0.6	1.3	1.4
2021.11.10	1.2	1.1	0.3
2021.10.11	0.3	-0.7	0.1
2021.09.12	0.0	1.9	1.1
2021.08.11	1.1	0.1	0.6
2021.07.11	0.6	-0.1	0.8
2021.06.09	0.7	1.0	0.9
2021.05.16	0.7	0.7	1.0
2021.04.11	0.8	0.0	0.6
2021.03.10	0.4	-0.2	0.5
2021.02.09	0.4	0.9	0.5
2021.01.13	0.5	0.4	-0.1
2020.12.09	0.0	-0.5	-0.2
2020.11.11	-0.2	-0.2	-0.2
2020.10.11	-0.2	0.0	0.1
2020.09.10	0.2	0.3	0.6
2020.08.12	0.6	0.6	0.6
2020.07.09	0.6	-0.8	-0.5
2020.06.09	-0.4	-1.5	-1.6
2020.05.14	-1.5	-0.2	-0.9
2020.04.09	-0.9	0.1	-0.4
2020.03.11	-0.4	0.0	0.1
2020.02.12	0.2	-0.3	0.1
2020.01.15	0.1	0.5	0.2
2019.12.10	0.2	0.9	1.1
2019.11.12	1.1	0.2	0.0
2019.10.09	0.0	-0.2	-0.3
2019.09.11	-0.3	-0.4	0.0
2019.08.12	0.0	-0.6	-0.5
2019.07.09	-0.5	-0.1	-0.1
2019.06.11	-0.1	0.2	0.4
2019.05.15	0.3	-0.1	0.3
2019.04.09	0.3	-0.3	0.3
2019.03.12	0.2	-0.7	-0.6
2019.02.12	-0.6	-0.4	-0.6
2019.01.15	-0.6	0.0	-0.3
2018.12.11	-0.3	0.3	0.4
2018.11.11	0.3	0.1	0.3
2018.10.10	0.3	-0.1	0.0
2018.09.12	0.0	0.3	0.4
2018.08.09	0.5	0.1	0.2
2018.07.10	0.2	0.0	0.6
2018.06.11	0.6	-0.2	0.2
2018.05.13	0.1	-0.1	-0.1
2018.04.10	-0.1	0.0	0.1
2018.03.12	0.0	0.1	0.3
2018.02.12	0.3	0.2	0.1
2018.01.15	0.2	0.3	0.5
2017.12.11	0.4	0.2	0.3
2017.11.12	0.3	0.1	0.3
2017.10.11	0.2	-0.1	0.0
2017.09.12	0.0	-0.1	0.3
2017.08.09	0.3	0.0	0.1
2017.07.11	0.0	0.1	0.0
2017.06.11	0.0	0.0	0.2
2017.05.14	0.2	0.1	0.2
2017.04.11	0.2		0.3
2017.03.12	0.2		0.6
2017.02.09	0.6		0.7
2017.01.15	0.6		0.4
2016.12.11	0.4		-0.1
2016.11.10	-0.1		0.0
