Date	ActualValue	ForecastValue	PreviousValue
2022.08.09	8.6	8.8	9.4
2022.07.11	9.2	8.3	9.3
2022.06.09	9.1	10.9	9.8
2022.05.15	10.0	9.7	9.7
2022.04.11	9.5	8.9	9.7
2022.03.09	9.3	7.8	8.9
2022.02.09	8.6	7.4	8.7
2022.01.13	8.5	8.1	9.2
2021.12.09	9.0	9.0	8.3
2021.11.10	8.0	7.4	6.4
2021.10.11	6.3	6.3	5.8
2021.09.12	5.5	4.9	5.6
2021.08.11	5.6	4.1	5.0
2021.07.11	5.0	4.9	5.1
2021.06.09	4.9	4.6	3.8
2021.05.16	3.6	2.0	1.2
2021.04.11	1.0	0.3	-0.6
2021.03.10	-0.7	-1.0	-1.5
2021.02.09	-1.6	-1.4	-2.0
2021.01.13	-2.0	-2.2	-2.3
2020.12.09	-2.2	-2.9	-2.1
2020.11.11	-2.1	-1.5	-0.8
2020.10.11	-0.8	-1.0	-0.6
2020.09.10	-0.5	-0.6	-0.9
2020.08.12	-0.9	-0.7	-1.6
2020.07.09	-1.6	-2.9	-2.8
2020.06.09	-2.7	-4.1	-2.4
2020.05.14	-2.3	-2.1	-0.4
2020.04.09	-0.4	-0.7	0.8
2020.03.11	0.8	2.0	1.5
2020.02.12	1.7	1.5	0.9
2020.01.15	0.9	0.2	0.1
2019.12.10	0.1	-0.6	-0.4
2019.11.12	-0.4	-1.0	-1.1
2019.10.09	-1.1	-0.4	-0.9
2019.09.11	-0.9	-1.6	-0.6
2019.08.12	-0.6	-1.5	-0.1
2019.07.09	-0.1	0.3	0.6
2019.06.11	0.7	1.3	1.3
2019.05.15	1.2	1.7	1.3
2019.04.09	1.3	0.4	0.9
2019.03.12	0.8	-0.3	0.6
2019.02.12	0.6	0.6	1.5
2019.01.15	1.5	1.8	2.3
2018.12.11	2.3	2.4	3.0
2018.11.11	2.9	2.4	3.0
2018.10.10	3.0	2.7	3.0
2018.09.12	3.0	2.9	3.0
2018.08.09	3.1	2.6	2.8
2018.07.10	2.8	1.9	2.7
2018.06.11	2.7	1.3	2.1
2018.05.13	2.0	1.4	2.1
2018.04.10	2.1	1.8	2.6
2018.03.12	2.5	2.4	2.7
2018.02.12	2.7	3.0	3.0
2018.01.15	3.1	3.2	3.6
2017.12.11	3.5	3.0	3.4
2017.11.12	3.4	2.9	3.1
2017.10.11	3.0	2.8	2.9
2017.09.12	2.9	2.3	2.6
2017.09.12	2.9		2.6
2017.08.09	2.6	2.0	2.2
2017.07.11	2.1	2.3	2.1
2017.06.11	2.1	2.7	2.1
2017.05.14	2.1	2.5	1.4
2017.04.11	1.4		1.1
2017.03.12	1.0		0.5
2017.02.09	0.5		-1.2
2017.01.15	-1.2		-2.2
2016.12.11	-2.2		-2.7
2016.11.10	-2.7		-3.2
2016.10.13	-3.2		-3.6
2016.09.11	-3.6		-3.9
2016.08.09	-3.9		-4.2
2016.07.11	-4.2		-4.3
2016.06.09	-4.2		-4.2
2016.05.15	-4.2		-3.8
2016.04.12	-3.8		-3.4
2016.03.09	-3.4		-3.2
2016.02.09	-3.1		-3.4
2016.01.13	-3.4		-3.6
2015.12.09	-3.6		-3.8
2015.11.11	-3.8		-4.0
2015.10.13	-3.9		-3.6
2015.09.09	-3.6		-3.0
2015.08.11	-3.0		-2.4
2015.07.09	-2.4		-2.2
2015.06.09	-2.1		-2.1
2015.05.14	-2.1		0.7
2015.04.12	0.7		0.5
2015.03.10	0.5		0.3
2015.02.11	0.3		1.9
2015.01.14	1.8		2.7
2014.12.09	2.6		2.9
2014.11.12	2.9		3.5
2014.10.13	3.6		3.9
2014.09.09	3.9		4.3
2014.08.11	4.3		4.6
2014.07.09	4.6		4.4
2014.06.10	4.4		4.1
2014.05.13	4.2		1.7
2014.04.10	1.7		1.8
2014.03.11	1.8		2.4
2014.02.12	2.4		2.5
2014.01.15	2.5		2.7
2013.12.10	2.6		2.5
2013.11.12	2.5		2.3
2013.10.10	2.2		2.4
2013.09.10	2.4		2.2
2013.08.11	2.3		1.2
2013.07.09	1.2		0.6
2013.06.11	0.5		0.0
2013.05.13	0.1		-0.5
2013.04.10	-0.5		-0.1
2013.03.11	-0.1		-0.2
2013.02.12	-0.3		-0.6
2013.01.15	-0.7		-0.9
2012.12.11	-0.9		-1.0
2012.11.11	-1.0		-1.4
2012.10.11	-1.5		-1.8
2012.09.11	-1.9		-2.1
2012.08.09	-2.2		-1.3
2012.07.10	-1.3		-0.5
2012.06.11	-0.7		-0.2
2012.05.13	-0.2		0.6
2012.04.11	0.5		0.6
2012.03.11	0.6		0.5
2012.02.09	0.5		1.3
2012.01.15	1.2		1.7
2011.12.11	1.6		1.7
2011.11.10	1.6		2.5
2011.10.13	2.5		2.6
2011.09.11	2.6		2.9
2011.08.09	2.9		2.5
2011.07.11	2.6		2.2
2011.06.09	2.2		2.5
2011.05.15	2.5		2.0
2011.04.12	2.0		1.7
2011.03.09	1.7		1.6
2011.02.09	1.6		1.2
2011.01.13	1.2		0.9
2010.12.09	0.9		0.9
2010.11.10	0.8		-0.1
2010.10.13	-0.1		0.0
2010.09.09	0.0		-0.1
2010.08.10	-0.1		0.5
2010.07.12	0.5		0.4
2010.06.09	0.4		-0.2
2010.05.16	-0.1		-1.3
2010.04.12	-1.3		-1.5
2010.03.09	-1.5		-2.1
2010.02.09	-2.1		-3.9
2010.01.13	-3.9		-4.9
2009.12.09	-5.0		-6.7
2009.11.11	-6.7		-7.9
2009.09.09	-8.0		-8.5
2009.08.11	-8.5		-6.6
2009.07.09	-6.6		-5.4
2009.06.09	-5.5		-3.8
2009.05.14	-4.0		-2.2
2009.04.12	-2.5		-1.1
2009.03.10	-1.6		-0.2
2009.02.11	-0.3		1.1
2009.01.14	1.1		2.8
2008.12.09	2.8		4.8
2008.11.12	4.8		6.8
2008.10.13	6.8		7.2
2008.09.09	7.2		7.1
2008.08.11	7.1		5.6
2008.07.09	5.6		4.7
2008.06.10	4.7		3.7
2008.05.13	3.7		3.9
2008.04.10	3.9		3.4
2008.03.11	3.4		3.0
2008.02.12	3.0		2.6
2008.01.15	2.6		2.3
2007.12.11	2.3		2.4
2007.11.11	2.4		1.7
2007.10.11	1.7		1.9
2007.09.11	1.9		2.1
2007.08.09	2.1		2.3
2007.07.10	2.3		2.2
2007.06.11	2.2		
