Date	ActualValue	ForecastValue	PreviousValue
2022.08.04	3.5	2.2	-0.5
2022.07.07	-0.5	-0.2	-1.7
2022.06.06	-1.7	0.0	-2.3
2022.05.09	-2.3	0.4	1.1
2022.04.04	1.1	2.7	6.9
2022.03.10	6.9	-3.3	-0.2
2022.02.07	-0.2	-9.0	-1.3
2022.01.06	-1.3	-1.2	-0.6
2021.12.06	-0.6	6.1	-1.9
2021.11.04	-1.9	5.0	-3.0
2021.10.07	-3.0	8.7	0.7
2021.09.06	0.7	-3.1	-4.3
2021.08.05	-5.1	3.8	11.6
2021.07.05	11.6	5.6	13.0
2021.06.03	13.0	4.0	6.2
2021.05.10	6.2	0.5	-6.6
2021.04.05	-6.6	1.0	-6.1
2021.03.08	-6.1	5.2	-0.6
2021.02.04	-0.6	1.2	1.1
2021.01.07	1.1	-4.0	1.9
2020.12.07	1.9	-7.7	-10.2
2020.11.05	-10.2	-7.8	-6.9
2020.10.08	-6.9	-9.4	-7.6
2020.09.07	-7.6	-6.2	-1.2
2020.08.06	-1.2	-13.2	-16.2
2020.07.06	-16.2	-1.7	-11.1
2020.06.04	-11.1	-0.4	-6.0
2020.05.07	-6.0	0.3	-0.3
2020.04.06	-0.3	0.3	-3.9
2020.03.05	-3.9	0.3	-4.8
2020.02.06	-4.8	1.4	-2.0
2020.01.09	-2.0	2.5	-5.1
2019.12.05	-5.1	0.2	9.5
2019.11.07	9.5	0.1	1.0
2019.10.07	1.0	0.4	0.8
2019.09.05	0.8	0.3	2.7
2019.08.05	2.7	0.1	4.0
2019.07.04	4.0	-0.1	1.3
2019.06.06	1.3	-0.2	2.1
2019.05.09	2.1	-0.2	1.7
2019.04.04	1.7	0.3	2.0
2019.03.07	2.0	-0.4	0.1
2019.02.07	0.1	-0.5	-0.5
2019.01.10	-0.6	0.3	-0.3
2018.12.06	-0.3	-0.1	-1.6
2018.11.05	-1.6	-0.1	2.8
2018.10.04	2.8	-0.1	0.1
2018.09.06	0.1	-0.2	-1.2
