Date	ActualValue	ForecastValue	PreviousValue
2022.08.04	2.2	2.1	1.0
2022.07.04	1.0	1.8	1.3
2022.06.06	1.7	0.5	2.0
2022.05.08	1.2	-0.3	1.2
2022.04.04	1.2	-0.5	1.1
2022.03.07	0.9	-0.3	-0.4
2022.02.07	-0.2	0.1	0.8
2022.01.06	0.0	0.5	0.2
2021.12.06	0.2	0.7	0.2
2021.11.08	0.2	0.7	0.6
2021.10.07	0.7	0.6	0.6
2021.09.06	1.0	0.8	0.1
2021.08.05	-0.1	1.7	1.9
2021.07.05	1.9	1.3	1.4
2021.06.07	1.6	0.5	0.6
2021.05.06	0.2	-0.5	-0.4
2021.04.05	-0.2	-1.5	-1.3
2021.03.08	-0.8	-1.7	-3.0
2021.02.08	-3.2	-1.2	-1.8
2021.01.06	-2.2	-1.3	-0.7
2020.12.07	-0.8	-2.0	-1.3
2020.11.05	-0.9	-2.2	-1.3
2020.10.08	-1.3	-1.5	-1.5
2020.09.07	-1.3	-1.0	-2.0
2020.08.06	-1.7	-0.6	-2.3
2020.07.06	-2.1	0.5	-0.7
2020.06.08	-0.6	0.6	0.1
2020.05.07	0.1	1.6	0.7
2020.04.06	1.0	2.1	1.2
2020.03.05	1.5	1.3	-0.2
2020.02.06	0.0	0.6	0.1
2020.01.07	-0.2	0.6	0.0
2019.12.05	0.5	1.1	0.5
2019.11.07	0.8	0.4	-0.1
2019.10.07	-0.2	-0.1	-1.0
2019.09.05	-0.3	-0.9	0.4
2019.08.05	0.4	-0.9	-0.5
2019.07.08	-0.2	0.2	-0.3
2019.06.06	-0.1	0.3	-1.3
2019.05.09	-1.9	0.3	-0.7
2019.04.04	-0.8	0.8	-0.6
2019.03.07	1.2	0.8	1.5
2019.02.07	1.8	1.7	1.7
2019.01.09	2.0	1.7	1.5
2018.12.07	1.5	1.7	0.8
2018.11.07	1.1	0.5	0.8
2018.10.05	0.9	0.4	1.6
2018.09.07	1.5	0.3	3.3
2018.08.07	3.6	0.2	2.1
2018.07.06	2.1	0.2	0.6
2018.06.06	0.8	0.2	2.0
2018.05.09	2.1	0.2	1.0
2018.04.06	1.3	0.7	1.2
2018.03.09	0.7	0.7	0.9
2018.02.07	0.7	0.6	0.9
2018.01.09	0.9	0.5	0.2
2017.12.08	0.6	0.4	0.9
2017.11.07	0.9	0.3	0.7
2017.10.06	0.9	0.1	-0.6
2017.09.06	-0.3	0.1	0.4
2017.08.04	-0.4	0.2	0.6
2017.07.07	0.7	0.2	0.5
2017.06.06	0.5	0.1	0.0
2017.05.09	-0.4	0.3	0.4
2017.04.07	0.4		0.3
2017.03.09	0.5		0.5
2017.02.06	0.1		0.5
2017.01.06	0.2		0.1
2016.12.06	0.1		0.0
2016.11.07	0.2		0.0
2016.10.07	-0.1		1.2
2016.09.05	1.4		1.4
2016.08.05	1.3		-0.1
2016.07.08	-0.2		0.3
2016.06.03	0.3		1.5
2016.05.09	1.4		0.7
2016.04.05	0.9		0.0
2016.03.04	0.4		0.2
2016.02.08	0.1		0.0
2016.01.08	0.0		0.7
2015.12.04	0.7		0.4
2015.11.09	0.6		0.4
2015.10.05	0.5		0.9
2015.09.04	0.6		-2.5
2015.08.04	-2.4		0.7
2015.06.30	0.6		0.7
2015.06.02	0.9		0.0
2015.05.01	0.1		0.1
2015.04.03	0.5		1.3
2015.03.03	1.3		1.6
2015.02.04	1.3		-1.5
2014.12.26	0.1		0.5
2014.12.02	0.2		0.8
2014.11.05	0.7		1.4
2014.09.30	0.9		2.6
2014.09.02	2.4		0.4
2014.07.31	1.0		0.8
2014.07.01	0.6		0.9
2014.06.03	0.7		0.7
2014.04.30	0.7		0.0
2014.04.01	-0.1		-0.2
2014.03.04	-0.2		0.8
2014.02.05	0.5		0.5
2013.12.27	0.6		0.1
2013.12.03	-0.1		0.1
2013.10.31	-0.2		-0.6
2013.10.01	-0.9		0.4
2013.09.03	0.1		0.1
2013.07.31	0.6		0.0
2013.07.02	-0.1		0.3
2013.06.04	0.0		-0.6
2013.05.01	-0.9		-0.7
2013.04.02	-0.8		0.7
2013.03.05	0.1		-1.4
2013.01.31	-1.7		-1.1
2012.12.28	-0.8		-0.4
2012.12.04	-0.4		0.0
2012.10.31	-0.5		0.2
2012.10.02	0.0		-1.2
2012.09.04	-1.6		-0.6
2012.07.31	-0.4		-0.8
2012.07.03	-1.1		0.8
2012.05.31	0.2		1.3
2012.05.02	0.9		0.7
2012.04.03	0.1		0.0
2012.03.06	-0.9		-0.2
2012.02.01	0.1		-1.0
2011.12.28	-0.2		0.1
2011.11.30	0.0		0.0
2011.11.01	-0.4		-0.6
2011.10.04	-0.4		-0.1
2011.08.31	-0.2		-0.8
2011.08.02	-0.7		1.1
2011.07.05	1.0		-1.4
2011.05.31	-1.4		-0.4
2011.05.02	-0.1		0.3
2011.03.31	0.3		0.2
2011.03.01	0.2		-0.4
2011.02.01	0.1		0.1
2010.12.28	0.2		0.6
2010.11.30	0.5		0.9
2010.11.01	0.9		0.0
2010.10.04	0.0		1.3
2010.08.31	1.4		1.5
2010.08.02	1.8		-0.1
2010.06.30	0.1		1.5
2010.05.31	1.6		1.0
2010.02.03	1.0		-2.8
2009.12.28	-2.8		-1.9
2009.11.30	-1.9		-1.6
2009.11.02	-1.8		-3.1
2009.09.30	-3.1		-4.8
2009.08.31	-5.6		-7.1
2009.08.03	-7.0		-2.9
2009.06.30	-2.5		-2.5
2009.06.01	-2.7		-3.7
2009.05.01	-3.9		-2.7
2009.03.31	-2.4		-1.3
2009.03.02	-2.7		-1.4
2009.02.03	-0.8		-1.9
2008.12.26	-0.7		-0.1
2008.12.01	-0.1		0.1
2008.11.04	0.1		-0.3
2008.10.01	-0.3		0.3
2008.09.01	0.3		-0.6
2008.07.31	-0.6		0.2
2008.07.01	0.2		0.6
