Date	ActualValue	ForecastValue	PreviousValue
2022.07.28	1.3	2.1	8.5
2022.06.28	8.5	1.3	4.0
2022.05.30	4.0	0.8	1.5
2022.04.27	1.5	0.3	0.1
2022.03.29	0.1	0.3	2.6
2022.02.27	2.6	-0.5	1.4
2022.01.30	1.4	-0.5	1.5
2021.12.26	1.4	0.0	0.9
2021.11.28	0.9	5.2	-1.3
2021.10.27	-1.3	6.4	-4.7
2021.09.29	-4.7	12.3	1.3
2021.08.29	1.3	1.2	-2.3
2021.07.29	-2.2	-4.4	5.7
2021.06.28	5.7	5.7	15.5
2021.05.30	15.5	-5.9	2.9
2021.04.27	3.0	-6.6	-4.8
2021.03.29	-4.7	-6.6	-7.2
2021.02.25	-7.2	-6.4	-3.4
2021.01.27	-3.5	-7.4	-3.4
2020.12.24	-3.4	-6.2	2.9
2020.11.29	2.9	-5.4	-13.9
2020.10.28	-13.9	-11.7	-3.2
2020.09.29	-3.2	-12.6	-4.2
2020.08.30	-4.2	-10.5	-3.4
2020.07.29	-3.5	-12.3	-16.9
2020.06.28	-16.7	-11.7	-22.1
2020.05.28	-22.1	-3.7	-10.1
2020.04.29	-10.1	-2.1	0.2
2020.03.30	0.2	-2.8	-1.5
2020.02.27	-1.4	-3.3	-2.8
2020.01.30	-3.0	0.1	-1.8
2019.12.26	-1.8	1.0	-8.2
2019.11.27	-8.2	1.2	10.0
2019.10.29	10.0	-1.7	0.3
2019.09.29	0.4	-1.8	-4.8
2019.08.29	-4.8	-0.9	-0.5
2019.07.28	-0.5	-0.7	-0.5
2019.06.26	-0.5	-1.2	-1.8
2019.05.30	-1.8	-1.7	0.5
2019.04.25	0.6	-2.1	-1.8
2019.03.28	-1.8	-2.0	-3.3
2019.02.27	-3.3	-1.2	-1.0
2019.01.29	-1.0	-0.7	-2.2
2018.12.27	-2.2	-0.3	-0.8
2018.11.28	-0.8	-0.3	0.4
2018.10.28	0.4	-0.5	-0.1
2018.09.27	-0.1	-0.2	-1.6
2018.08.29	-1.6	-0.3	1.5
2018.07.29	1.5	-0.4	-2.0
2018.06.27	-2.0	-0.4	-0.8
2018.05.29	-0.8	-0.5	0.1
2018.04.26	0.1	-0.5	0.6
2018.03.28	0.6	-0.5	0.4
2018.02.27	0.5	-0.6	1.1
2018.01.29	1.1	-0.6	1.4
2017.12.27	1.4	-0.6	-0.7
2017.11.28	-0.7	-0.5	1.9
2017.10.29	1.9	-0.5	0.6
2017.09.28	0.6	-0.4	-0.2
2017.08.29	-0.2	-0.3	0.2
2017.07.27	0.2	-0.2	-0.6
2017.06.28	-0.6	-0.1	1.1
2017.05.29	1.1	0.0	-0.8
2017.04.27	-0.8		-2.7
2017.03.28	-2.7		-1.1
2017.02.27	-1.1		-1.3
2017.01.29	-1.3		-0.3
2016.12.27	-0.3		-1.0
2016.11.28	-1.0		-3.2
2016.10.30	-3.2		-3.6
2016.09.28	-3.6		0.6
2016.08.29	-0.2		-1.3
2016.07.28	-1.5		-2.2
2016.06.28	-2.2		-0.7
2016.05.29	-0.8		-1.0
2016.04.27	-1.2		2.2
2016.03.28	2.2		0.9
2016.02.28	1.0		0.0
2016.01.27	0.0		2.0
2015.12.27	2.0		2.9
2015.11.29	2.9		1.7
2015.10.27	1.7		1.8
2015.09.29	1.8		2.1
2015.08.27	2.1		-0.3
2015.07.28	-0.3		5.3
2015.06.28	5.3		8.6
2015.05.27	8.6		-13.0
2015.04.27	-13.0		1.3
2015.03.26	1.3		0.0
2015.02.26	0.0		0.1
2015.01.28	0.1		1.2
2014.12.25	1.1		0.0
2014.11.27	0.0		0.5
2014.10.27	0.5		1.6
2014.09.29	1.6		-0.6
2014.08.28	-0.6		-1.8
2014.07.28	-1.8		-1.2
2014.06.26	-1.2		-6.8
2014.05.28	-6.7		16.1
2014.04.27	16.1		1.3
2014.03.27	1.3		0.1
2014.02.27	0.0		0.1
2014.01.29	0.1		0.6
2013.12.26	0.6		-0.4
2013.11.27	-0.4		0.7
2013.10.28	0.7		-0.1
2013.09.29	-0.1		3.5
2013.07.28	3.5		-0.4
2013.06.27	-0.4		-2.3
2013.05.28	-2.3		2.4
2013.04.29	2.5		-3.7
2013.03.27	-3.7		-3.5
2013.02.26	-3.5		0.0
2013.01.29	0.1		0.9
2012.12.27	0.9		-3.2
2012.11.28	-3.2		-1.0
2012.10.28	-1.0		-0.9
2012.09.27	-0.9		-4.4
2012.08.29	-4.4		-2.6
2012.07.26	-2.6		-0.9
2012.06.27	-0.8		-0.5
2012.05.28	-0.6		5.0
2012.04.26	5.1		0.2
2012.03.28	0.2		-1.0
2012.02.27	-1.2		-0.4
2012.01.26	-0.3		-2.5
2011.12.27	-2.5		-1.4
2011.11.28	-1.4		-3.6
2011.10.26	-3.6		-2.6
2011.09.28	-2.6		0.8
2011.08.29	0.8		-0.5
2011.07.27	-0.5		-2.4
2011.06.27	-2.5		-1.9
2011.05.26	-1.9		-7.7
2011.04.26	-7.5		0.5
2011.03.28	0.5		0.7
2011.02.27	-0.7		-1.8
2011.01.27	-1.7		0.1
2010.12.27	0.1		0.4
2010.11.28	0.4		-1.7
2010.10.27	-1.7		-1.9
2010.09.29	-1.9		-1.2
2010.08.30	-1.2		-4.0
2010.06.27	-4.0		-3.6
2010.05.27	-3.6		-5.0
2010.04.27	-5.0		-4.0
