Date	ActualValue	ForecastValue	PreviousValue
2022.08.08	3.4	2.8	3.3
2022.07.10	3.3	3.4	3.1
2022.06.08	3.2	4.4	3.4
2022.05.12	3.6	3.6	3.5
2022.04.12	3.5	3.6	3.6
2022.03.08	3.6	4.0	3.6
2022.02.08	3.6	3.1	3.7
2022.01.12	3.7	3.4	4.0
2021.12.08	4.0	4.4	4.2
2021.11.09	4.2	4.0	4.2
2021.10.12	4.2	4.2	4.7
2021.09.08	4.7	5.0	5.3
2021.08.10	5.2	5.1	5.8
2021.07.08	5.9	7.1	7.9
2021.06.08	7.9	8.4	9.2
2021.05.13	9.2	9.6	9.4
2021.04.12	9.5	10.4	9.6
2021.03.08	9.6	8.8	9.4
2021.02.08	9.4	8.8	9.1
2021.01.12	9.2	9.8	9.1
2020.12.08	9.1	8.9	9.0
2020.11.10	9.0	8.6	9.0
2020.10.12	9.0	8.1	8.6
2020.09.08	8.6	8.4	7.9
2020.08.11	7.9	7.6	7.3
2020.07.08	7.2	6.4	5.1
2020.06.08	5.1	3.8	3.7
2020.05.13	3.7	3.4	3.3
2020.04.12	3.3	3.1	3.0
2020.03.09	3.0	2.8	2.8
2020.02.11	2.8	2.6	2.7
2020.01.14	2.7	2.9	2.7
2019.12.09	2.8	2.5	2.4
2019.11.11	2.5	2.6	2.4
2019.10.10	2.4	2.6	2.4
2019.09.09	2.4	2.2	2.3
2019.08.08	2.4	2.1	2.3
2019.07.08	2.3	2.8	2.6
2019.06.10	2.7	2.6	2.5
2019.05.14	2.6	2.3	2.4
2019.04.10	2.4	2.4	2.4
2019.03.10	2.4	2.5	2.3
2019.02.11	2.4	2.6	2.4
2019.01.14	2.4	2.7	2.3
2018.12.10	2.3	2.8	2.7
2018.11.08	2.7	2.8	2.8
2018.10.11	2.8	2.8	2.9
2018.09.10	2.9	3.0	2.9
2018.08.08	3.0	3.3	3.1
2018.07.09	3.2	3.4	3.2
2018.06.10	3.2	3.5	3.2
2018.05.10	3.3	3.3	3.1
2018.04.11	3.2	3.2	3.2
2018.03.08	3.3	3.3	3.4
2018.02.08	3.4	3.6	3.6
2018.01.14	3.6	4.0	4.0
2017.12.10	4.0	4.2	4.1
2017.11.09	4.1	4.3	4.0
2017.10.12	4.1	4.2	4.0
2017.09.10	4.0	3.9	4.0
2017.08.08	4.0	3.6	3.9
2017.07.10	3.9	3.8	3.8
2017.06.08	3.9	4.4	4.0
2017.05.11	4.3	4.3	4.2
2017.04.12	4.3		4.2
2017.03.08	4.2		4.0
2017.02.08	4.1		4.0
2017.01.12	4.0		3.9
2016.12.08	4.0		3.7
2016.11.09	3.7		3.5
2016.10.13	3.6		3.3
2016.09.08	3.3		3.4
2016.08.08	3.3		3.5
2016.07.10	3.4		3.4
2016.06.08	3.4		3.3
2016.05.12	3.3		3.2
2016.04.12	3.2		3.2
2016.03.08	3.1		3.2
2016.02.08	3.2		3.1
2016.01.12	3.0		3.3
2015.12.08	3.3		3.7
2015.11.10	3.6		3.8
2015.10.13	3.8		4.2
2015.09.08	4.2		4.0
2015.08.10	4.1		3.9
2015.07.08	3.8		4.0
2015.06.08	4.0		3.6
2015.05.13	3.6		3.6
2015.04.12	3.6		3.5
2015.03.09	3.5		3.4
2015.02.09	3.4		3.6
2015.01.13	3.6		3.6
2014.12.08	3.6		3.2
2014.11.11	3.2		3.0
2014.10.13	3.1		3.0
2014.09.08	3.0		3.0
2014.08.10	3.0		3.0
2014.07.08	3.0		3.3
2014.06.09	3.3		3.4
2014.05.12	3.5		3.5
2014.04.10	3.6		4.0
2014.03.10	4.0		4.4
2014.02.11	4.3		4.2
2014.01.14	4.3		4.3
2013.12.09	4.4		4.1
2013.11.11	4.1		3.8
2013.10.10	3.9		3.7
2013.09.09	3.7		3.7
2013.08.08	3.7		3.8
2013.07.08	3.8		3.4
2013.06.10	3.5		3.3
2013.05.12	3.3		3.0
2013.04.10	3.0		2.9
2013.03.10	2.9		2.7
2013.02.11	2.7		2.6
2013.01.14	2.6		2.1
2012.12.10	2.1		2.3
2012.11.08	2.3		2.4
