Date	ActualValue	ForecastValue	PreviousValue
2022.08.01	2.8	4.3	3.9
2022.07.03	3.9	6.3	4.6
2022.06.01	4.6	7.3	6.6
2022.05.05	6.6	6.6	7.9
2022.04.03	7.9	5.7	7.6
2022.03.01	7.6	6.8	8.4
2022.02.01	8.4	7.8	8.3
2022.01.04	8.3	8.6	9.3
2021.12.01	9.3	8.1	9.9
2021.11.01	9.9	10.4	11.7
2021.10.03	11.7	12.6	14.9
2021.09.01	14.9	13.1	15.4
2021.08.02	15.4	17.1	19.1
2021.07.01	19.1	22.1	22.4
2021.06.01	22.4	25.2	24.3
2021.05.06	24.3	21.9	20.8
2021.04.01	20.8	20.5	19.6
2021.03.01	19.6	20.1	18.9
2021.02.01	18.9	19.0	18.3
2021.01.04	18.3	17.6	16.5
2020.12.01	16.5	18.1	16.3
2020.11.03	16.3	16.3	14.3
2020.10.01	14.3	13.5	11.5
2020.09.01	11.5	11.4	9.8
2020.08.03	9.8	6.3	6.0
2020.07.01	6.0	2.6	3.9
2020.06.01	3.9	2.1	2.3
2020.05.06	2.3	3.2	2.8
2020.04.01	2.8	3.7	3.6
2020.03.02	3.6	3.2	2.9
2020.02.03	2.9	3.1	3.2
2020.01.06	3.2	2.8	3.3
2019.12.02	3.3	2.6	3.1
2019.11.04	3.1	2.9	3.0
2019.10.01	3.0	3.4	2.8
2019.09.02	2.8	3.9	3.7
2019.08.01	3.7	3.2	4.0
2019.07.01	4.0	2.2	3.6
2019.06.03	3.6	2.0	3.1
2019.05.07	3.1	2.9	3.8
2019.04.01	3.8	3.7	4.6
2019.03.03	4.6	4.4	4.7
2019.02.03	4.7	5.2	4.8
2019.01.06	4.8	7.0	6.1
2018.12.03	6.1	6.3	5.9
2018.11.01	5.9	5.7	5.9
2018.10.01	5.9	5.4	6.9
2018.09.03	6.9	5.5	7.0
2018.08.01	7.0	7.4	7.4
2018.07.02	7.4	8.4	8.1
2018.06.03	8.1	7.6	7.8
2018.05.01	7.8	8.3	9.1
2018.04.02	9.1	8.7	9.4
2018.03.01	9.4	9.6	9.7
2018.02.01	9.7	11.4	11.2
2018.01.04	11.2	12.9	13.2
2017.12.03	13.2	14.1	14.5
2017.11.01	14.5	14.2	15.6
2017.10.02	15.6	17.4	16.3
2017.09.03	16.3	14.5	15.6
2017.08.01	15.6	16.7	17.0
2017.07.03	17.0	18.1	19.4
2017.06.01	19.4	19.7	19.8
2017.05.01	19.8		20.3
2017.04.03	20.3		21.4
2017.03.01	21.4		22.6
2017.02.01	22.6		23.1
2017.01.04	23.1		21.5
2016.12.01	21.5		22.1
2016.11.01	22.1		22.7
2016.10.03	22.7		24.2
2016.09.01	24.2		24.7
2016.08.01	24.7		25.4
2016.07.03	25.4		25.5
2016.06.01	25.5		26.8
2016.05.05	26.8		28.5
2016.04.03	28.5		29.0
2016.03.01	29.0		28.9
2016.02.01	28.9		29.5
2016.01.04	29.5		32.5
2015.12.01	32.5		32.5
2015.11.03	32.5		35.1
2015.10.01	35.1		33.3
2015.09.01	33.3		32.8
2015.08.03	32.8		34.2
2015.07.01	34.2		35.6
2015.06.01	35.6		35.2
2015.05.06	35.2		35.2
2015.04.01	35.2		36.7
2015.03.02	36.7		37.4
2015.02.02	37.4		38.2
2015.01.05	38.2		36.7
2014.12.01	36.7		36.9
2014.11.04	36.9		35.3
2014.10.01	35.3		40.5
2014.09.01	40.5		42.7
2014.08.03	42.7		42.6
2014.07.01	42.6		45.6
2014.06.02	45.6		48.5
2014.05.01	48.5		54.8
2014.04.01	54.8		55.7
2014.03.03	55.7		51.9
2014.02.03	51.9		46.6
2014.01.06	46.6		52.5
2013.12.02	52.5		45.8
2013.11.04	45.8		46.1
2013.10.01	46.1		42.0
2013.09.02	42.0		38.0
2013.08.01	38.0		36.0
2013.07.01	36.0		31.6
2013.06.03	31.6		23.1
2013.05.01	23.1		19.8
2013.04.01	19.8		15.0
2013.03.03	15.0		10.9
2013.02.03	10.9		11.8
2013.01.06	11.8		5.0
2012.12.03	5.0		10.8
2012.11.01	10.8		9.0
2012.10.01	9.0		6.5
2012.09.03	6.5		8.6
2012.08.01	8.6		5.9
2012.07.02	5.9		2.4
2012.06.03	2.4		-0.3
2012.05.01	-0.3		-0.2
2012.04.02	-0.2		11.3
2012.03.01	11.3		15.0
2012.02.01	15.0		13.5
2012.01.04	13.5		19.5
2011.12.01	19.5		17.0
2011.11.01	17.0		16.7
2011.10.03	16.7		15.9
2011.09.01	15.9		15.0
2011.08.01	15.0		17.0
2011.07.03	17.0		16.2
2011.06.01	16.2		23.9
2011.05.05	23.9		16.9
2011.04.03	16.9		5.6
2011.03.01	5.6		5.5
2011.02.01	5.5		7.0
2011.01.04	7.0		7.6
2010.12.01	7.6		6.4
2010.11.01	6.4		5.8
2010.10.03	5.8		6.1
2010.08.02	5.4		3.6
2010.07.01	3.6		3.7
2010.06.01	3.7		2.9
2010.05.06	2.9		2.1
2010.04.01	2.1		2.2
2010.03.01	2.2		4.9
2010.02.01	4.9		5.2
2010.01.04	5.2		3.8
2009.12.01	3.8		4.4
2009.11.03	4.4		4.5
2009.10.01	4.5		6.1
2009.09.01	6.1		6.4
2009.07.01	6.1		7.9
2009.06.01	7.9		8.2
2009.05.06	8.2		6.9
2009.04.01	6.9		6.4
2009.03.02	6.4		3.9
2009.02.02	3.9		1.8
2009.01.05	1.8		1.9
2008.12.04	1.9		1.4
2008.11.04	1.4		0.9
2008.10.01	0.9		-0.2
2008.09.01	-0.2		-0.7
2008.08.03	-0.7		0.7
2007.10.01	0.7		
