Date	ActualValue	ForecastValue	PreviousValue
2022.08.16	-0.2	0.2	0.8
2022.07.15	0.8	-0.7	0.7
2022.06.15	0.7	0.3	1.3
2022.05.17	1.3	0.4	-1.3
2022.04.20	-1.3	-0.8	-0.7
2022.03.18	-0.7	0.3	0.4
2022.02.16	0.4	0.5	0.4
2022.01.17	0.4	-0.9	1.5
2021.12.15	1.5	-0.5	0.5
2021.11.16	0.5	0.6	-1.7
2021.10.15	-1.7	0.0	-0.6
2021.09.15	-0.6	-0.5	2.3
2021.08.17	2.3	0.6	-2.7
2021.07.15	-2.7	-0.3	-0.7
2021.06.15	-0.7	-0.2	1.1
2021.05.18	1.1	-0.1	0.3
2021.04.20	0.3	0.4	-1.7
2021.03.15	-1.7	-0.4	-0.4
2021.02.16	-0.4	0.2	-0.7
2021.01.15	-0.7	0.4	1.0
2020.12.14	1.0	-0.3	1.8
2020.11.12	1.8	-0.3	0.8
2020.10.15	0.8	0.7	-0.5
2020.09.14	-0.5	5.2	7.9
2020.08.14	7.9	-0.2	-2.1
2020.07.13	-2.1	-4.2	-6.0
2020.06.15	-6.0	1.7	-4.2
2020.05.18	-4.2	0.2	-0.5
2020.04.17	-0.5	-0.5	0.8
2020.03.13	0.8	1.2	-0.2
2020.02.14	-0.2	-1.6	1.3
2020.01.17	1.3	3.9	-4.6
2019.12.16	-4.6	0.7	1.8
2019.11.14	1.8	-0.6	0.4
2019.10.15	0.4	-0.2	0.1
2019.09.12	0.1	0.5	-0.1
2019.08.13	-0.1	-0.2	-0.2
2019.07.11	-0.2	-0.3	0.8
2019.06.13	0.8	0.4	-0.4
2019.05.17	-0.4	-0.4	-0.6
2019.04.16	-0.6	-0.1	0.4
2019.03.13	0.4	0.5	-0.3
2019.02.12	-0.3	0.4	-0.3
2019.01.16	-0.3	-1.0	1.9
2018.12.12	1.9	0.4	-1.1
2018.11.14	-1.1	-0.1	0.5
2018.10.12	0.5	0.0	0.1
2018.09.11	0.1	0.1	-0.5
2018.08.10	-0.5	-0.1	0.1
2018.07.11	0.1	0.0	1.0
2018.06.12	1.0	0.1	-0.3
2018.05.15	-0.3	0.0	0.0
2018.04.20	0.0	0.0	-0.6
2018.03.13	-0.6	0.1	-0.2
2018.02.09	-0.2	0.0	1.1
2018.01.16	1.1	0.0	0.3
2017.12.12	0.3	0.0	-0.2
2017.11.10	-0.2	0.0	-0.2
2017.10.12	-0.2	0.0	0.1
2017.09.11	0.1	0.0	0.0
2017.08.10	0.0	0.0	-0.1
2017.07.12	-0.1	0.0	1.2
2017.06.09	1.2	0.0	-0.2
2017.05.16	-0.2	0.0	0.2
2017.04.21	0.2		0.0
2017.03.13	0.0		-0.3
2017.02.10	-0.4		0.3
2017.01.16	0.2		0.2
2016.12.12	0.2		-0.3
2016.11.11	-0.1		0.0
2016.10.13	0.0		0.2
2016.09.09	0.3		0.7
2016.08.10	0.8		-0.7
2016.07.12	-0.7		0.7
2016.06.10	1.4		-0.5
2016.05.13	-0.7		-0.1
2016.04.22	-0.1		1.5
2016.03.15	1.5		-0.6
2016.02.15	-0.6		-0.9
2016.01.18	-0.8		0.7
2015.12.14	0.9		-0.4
2015.11.13	-0.4		0.2
