Date	ActualValue	ForecastValue	PreviousValue
2022.08.16	-1436.8	-1024.1	-1398.5
2022.07.20	-1383.8	-1298.0	-2385.8
2022.06.15	-2384.7	-1636.8	-842.8
2022.05.18	-839.2	-1365.1	-414.1
2022.04.19	-412.4	-677.7	-669.7
2022.03.15	-668.3	-1127.9	-2193.5
2022.02.16	-2191.1	-1330.8	-583.3
2022.01.19	-582.4	-204.5	-955.6
2021.12.15	-954.8	-269.0	-68.5
2021.11.16	-67.4	79.6	-624.1
2021.10.19	-622.8	-30.4	-637.2
2021.09.15	-635.4	206.6	439.4
2021.08.17	441.0	139.9	384.0
2021.07.20	383.2	309.8	-189.4
2021.06.15	-187.1	-68.6	253.1
2021.05.19	255.3	43.0	662.2
2021.04.18	663.7	962.1	215.9
2021.03.16	217.4	596.4	-325.4
2021.02.16	-323.9	-169.3	749.6
2021.01.20	751.0	68.3	366.1
2020.12.15	366.8	404.2	871.7
2020.11.17	872.9	272.4	687.8
2020.10.18	675.0	-425.1	248.6
2020.09.15	248.3	-278.7	10.9
2020.08.18	11.6	-568.8	-269.3
2020.07.19	-268.8	-15.7	-838.2
2020.06.16	-833.4	-970.8	-931.9
2020.05.20	-930.4	67.4	5.4
2020.04.19	4.9	536.2	1108.8
2020.03.17	1109.8	426.7	-1313.2
2020.02.18	-1312.6	-1689.6	-154.6
2020.01.22	-152.5	88.1	-85.2
2019.12.17	-82.1	-489.1	15.7
2019.11.19	17.3	-80.3	-124.8
2019.10.20	-123.0	487.2	-143.5
2019.09.17	-136.3	-27.1	-250.7
2019.08.18	-249.6	-184.2	589.6
2019.07.17	589.5	372.1	-968.3
2019.06.18	-967.1	-925.9	56.8
2019.05.21	60.4	-15.5	527.8
2019.04.16	528.5	156.6	334.9
2019.03.17	339.0	-628.9	-1415.6
2019.02.19	-1415.2	-1785.6	-56.7
2019.01.22	-55.3	39.0	-737.7
2018.12.18	-737.3	179.1	-450.1
2018.11.18	-449.3	121.8	131.3
2018.10.17	139.6	385.9	-438.4
2018.09.18	-444.6	28.2	-231.9
2018.08.15	-231.2	120.3	720.8
2018.07.18	721.4	-19.9	-578.3
2018.06.17	-578.3	-487.6	626.0
2018.05.20	626.0	211.9	797.3
2018.04.17	797.3	409.7	3.4
2018.03.18	3.4	261.9	-943.4
2018.02.18	-943.4	-144.7	359.0
2018.01.23	359.0	443.9	113.4
2017.12.17	113.4	64.7	285.4
2017.11.19	285.4	452.9	670.2
2017.10.18	670.2	-202.3	113.6
2017.09.19	113.6	280.2	418.8
2017.08.16	418.8	109.1	439.9
2017.07.19	439.9	137.9	-203.4
2017.06.18	-203.4	527.0	481.7
2017.05.21	481.7	688.1	614.7
2017.04.19	614.7		813.5
2017.03.21	813.5		-1086.9
2017.02.19	-1086.9		641.4
2017.01.24	641.4		160.8
2016.12.18	152.5		496.2
2016.11.20	496.2		498.3
2016.10.23	498.3		-18.7
2016.09.20	-18.7		513.5
2016.08.17	513.5		693.1
2016.07.24	692.8		-40.6
2016.06.19	-40.7		823.5
2016.05.22	823.5		755.0
2016.04.19	755.0		242.8
2016.03.16	242.8		-648.8
2016.02.17	-645.9		140.3
2016.01.24	140.2		-381.3
2015.12.16	-379.7		108.3
2015.11.18	111.5		-115.8
2015.10.20	-114.5		-569.7
2015.09.16	-569.7		-268.4
2015.08.18	-268.1		-70.5
2015.07.22	-69.0		-217.2
2015.06.16	-216.0		-55.8
2015.05.24	-53.4		227.4
2015.04.21	229.3		-424.6
2015.03.17	-424.6		-1177.5
2015.02.18	-1177.5		-660.7
2015.01.25	-660.7		-891.9
2014.12.16	-891.9		-710.0
2014.11.19	-736.9		-958.3
2014.10.21	-958.3		-948.5
2014.09.17	-948.5		-964.0
2014.08.19	-964.0		-822.2
2014.07.23	-822.2		-909.0
2014.06.17	-910.8		-808.9
2014.05.20	-808.9		-1446.3
2014.04.20	-1446.3		-800.3
2014.03.18	-802.5		-2790.0
2014.02.19	-2790.0		-1302.1
2014.01.26	-1304.2		-1292.9
2013.12.17	-1292.9		-1090.7
2013.11.19	-1090.7		-932.1
2013.10.20	-932.1		-960.3
2013.09.18	-960.3		-1024.0
2013.08.18	-1024.0		-180.8
2013.07.23	-182.3		-993.9
2013.06.18	-996.4		-879.9
