Date	ActualValue	ForecastValue	PreviousValue
2022.07.28	2.6	2.5	2.6
2022.06.30	2.6	2.6	2.5
2022.05.30	2.5	2.7	2.6
2022.04.25	2.6	2.7	2.7
2022.03.28	2.7	2.7	2.8
2022.03.03	2.8	2.6	2.7
2022.01.31	2.7	2.7	2.8
2021.12.27	2.8	2.8	2.7
2021.11.29	2.7	2.9	2.8
2021.10.28	2.8	3.0	2.8
2021.09.30	2.8	3.0	2.8
2021.08.30	2.8	3.0	2.9
2021.07.29	2.9	2.8	3.0
2021.06.28	3.0	2.6	2.8
2021.05.27	2.8	2.7	2.6
2021.04.29	2.6	2.8	2.9
2021.03.29	2.9	2.8	2.9
2021.03.01	2.9	2.8	3.0
2021.01.28	2.9	2.9	2.9
2020.12.24	2.9	3.0	3.1
2020.11.30	3.1	3.0	3.0
2020.10.29	3.0	3.0	3.0
2020.10.01	3.0	2.9	2.9
2020.08.31	2.9	2.8	2.8
2020.07.30	2.8	2.7	2.9
2020.06.29	2.9	2.5	2.6
2020.05.28	2.6	2.3	2.5
2020.04.27	2.5	2.3	2.4
2020.03.30	2.4	2.3	2.4
2020.02.27	2.4	2.3	2.2
2020.01.30	2.2	2.3	2.2
2019.12.26	2.2	2.3	2.4
2019.11.28	2.4	2.2	2.4
2019.10.31	2.4	2.3	2.2
2019.09.30	2.2	2.3	2.2
2019.08.29	2.2	2.3	2.3
2019.07.29	2.3	2.3	2.4
2019.06.27	2.4	2.3	2.4
2019.05.30	2.4	2.3	2.5
2019.04.25	2.5	2.2	2.3
2019.03.28	2.3	2.2	2.5
2019.02.28	2.5	2.2	2.4
2019.01.31	2.4	2.2	2.5
2018.12.27	2.5	2.3	2.4
2018.11.29	2.4	2.3	2.3
2018.10.29	2.3	2.3	2.4
2018.09.27	2.4	2.4	2.5
2018.08.30	2.5	2.4	2.4
2018.07.30	2.4	2.5	2.2
2018.06.28	2.2	2.5	2.5
2018.05.28	2.5	2.6	2.5
2018.04.26	2.5	2.6	2.5
2018.03.29	2.5	2.7	2.4
2018.03.01	2.4	2.7	2.8
2018.01.29	2.8	2.7	2.7
2017.12.25	2.7	2.7	2.8
2017.11.30	2.8	2.8	2.8
2017.10.30	2.8	2.8	2.8
2017.09.28	2.8	2.8	2.8
2017.08.28	2.8	2.8	2.8
2017.07.27	2.8	2.9	3.1
2017.06.29	3.1	2.9	2.8
2017.05.29	2.8	2.9	2.8
2017.04.27	2.8		2.8
2017.03.30	2.8		3.0
2017.03.02	3.0		3.1
2017.01.30	3.1		3.1
2016.12.26	3.1		3.0
2016.11.28	3.0		3.0
2016.10.27	3.0		3.1
2016.09.29	3.1		3.0
2016.08.29	3.0		3.1
2016.07.28	3.1		3.2
2016.06.30	3.2		3.2
2016.05.30	3.2		3.2
2016.04.27	3.2		3.3
2016.03.28	3.3		3.2
2016.02.29	3.2		3.3
2016.01.28	3.3		3.3
2015.12.24	3.3		3.1
2015.11.26	3.1		3.4
2015.10.29	3.4		3.4
2015.10.01	3.4		3.3
2015.08.27	3.3		3.4
2015.07.30	3.4		3.3
2015.06.25	3.3		3.3
2015.05.28	3.3		3.4
2015.04.30	3.4		3.5
2015.03.26	3.5		3.6
2015.02.26	3.6		3.4
2015.01.29	3.4		3.5
2014.12.25	3.5		3.5
2014.11.27	3.5		3.6
2014.10.30	3.6		3.5
2014.09.29	3.5		3.8
2014.08.28	3.8		3.7
2014.07.28	3.7		3.5
2014.06.26	3.5		3.6
2014.05.29	3.6		3.6
2014.05.01	3.6		3.6
2014.03.27	3.6		3.7
2014.02.27	3.7		3.7
2014.01.30	3.7		4.0
2013.12.26	4.0		4.0
2013.11.28	4.0		4.0
2013.10.28	4.0		4.1
2013.09.30	4.1		3.8
2013.08.29	3.8		3.9
2013.07.29	3.9		4.1
2013.06.27	4.1		4.1
2013.05.30	4.1		4.1
2013.04.29	4.1		4.3
2013.03.28	4.3		4.2
2013.02.28	4.2		4.2
2013.01.31	4.3		4.1
2012.12.27	4.1		4.2
