Date,producer-price-index-yy european-union,consumer-price-index-yy european-union,markit-manufacturing-pmi european-union,markit-services-pmi european-union,consumer-confidence-indicator european-union,retail-sales-yy european-union,industrial-production-yy european-union,trade-balance european-union,unemployment-rate european-union,ecb-deposit-rate-decision european-union,zew-indicator-of-economic-sentiment european-union,ecb-interest-rate-decision european-union,anz-job-advertisements-mm australia,employment-change australia,full-employment-change australia,unemployment-rate australia,rba-private-sector-credit-mm australia,trade-balance australia,aig-construction-index australia,aig-services-index australia,building-approvals-mm australia,nab-business-conditions australia,retail-sales-mm australia,westpac-mi-consumer-sentiment-mm australia,home-loans-mm australia,EURAUD
2022-08,35.8,8.9,49.7,50.2,-24.9,-3.7,2.4,-30.8,6.6,0.0,-54.9,0.5,-1.1,-40.9,-86.9,3.4,0.9,17.67,45.3,51.7,-0.7,20.0,0.2,-3.0,-2.6,1.4452999830245972
2022-07,36.3,8.6,49.6,50.6,-27.0,0.2,1.6,-26.0,6.699999999999999,-0.5,-51.1,0.5,1.4,88.4,52.9,3.5,0.8,15.965,46.2,48.8,9.9,13.0,0.9,-3.0,2.9,1.4497499465942383
2022-06,37.2,8.1,52.0,52.8,-23.6,3.9,-2.0,-31.7,6.8,-0.5,-28.0,0.0,0.4,60.6,69.4,3.9,0.8,10.495,50.4,49.2,3.7500000000000004,16.0,0.9,-4.5,-5.8,1.5183700323104858
2022-05,36.8,8.1,54.4,56.3,-21.1,0.8,-0.8,-17.6,6.8,-0.5,-29.5,0.0,-0.5,4.0,92.4,3.9,0.4,9.314,55.9,57.8,-2.4,20.0,1.35,-5.6,-0.2,1.4971200227737427
2022-04,31.4,7.5,55.3,57.7,-16.9,5.0,2.0,-9.4,6.8,-0.5,-43.0,0.0,0.4,17.9,20.5,4.0,0.6,7.457,56.5,56.2,20.55,18.0,1.8,-0.9,-5.4,1.4853500127792358
2022-03,30.6,5.9,57.0,55.5,-18.7,7.8,-1.3,-7.7,6.8,-0.5,-38.7,0.0,8.4,77.4,121.9,4.0,0.6,12.891,53.4,60.0,43.5,9.0,1.8,-4.2,0.2,1.4878000020980835
2022-02,26.2,5.1,58.7,51.1,-8.8,2.0,1.6,-9.7,7.0,-0.5,48.6,0.0,-0.3,12.9,-17.0,4.2,0.8,8.356,45.9,56.2,8.2,3.0,7.3,-1.3,1.5,1.5556299686431885
2022-01,23.7,5.0,58.0,51.2,-8.3,7.8,-1.5,-1.3,7.2,-0.5,49.4,0.0,-5.5,64.8,41.5,4.2,0.9,9.423,51.45,52.900000000000006,3.6,8.0,6.1,-2.0,4.0,1.5938299894332886
2021-12,21.9,4.9,58.0,53.3,-8.3,1.4,3.3,2.4,7.3,-0.5,26.8,0.0,7.4,366.1,128.3,4.6,0.5,11.22,57.0,49.6,-4.65,12.0,4.9,-1.0,-4.0,1.5617799758911133
2021-11,16.0,4.9,58.6,56.6,-6.8,2.5,5.2,6.1,7.4,-0.5,25.9,0.0,6.2,-46.3,-40.4,5.2,0.6,12.243,57.6,47.6,-12.9,11.0,1.3,0.6,-4.0,1.579699993133545
2021-10,13.4,4.1,58.5,54.7,-4.8,0.0,5.1,11.1,7.5,-0.5,21.0,0.0,-2.8,-138.0,26.7,4.6,0.6,15.077,53.3,45.7,-3.05,5.0,-1.7,-1.5,-4.2,1.5345799922943115
2021-09,12.1,3.0,58.7,59.0,-4.0,3.1,7.7,13.4,7.6,-0.5,31.1,0.0,-2.5,-146.3,-68.0,4.5,0.7,12.117,38.4,45.6,6.8,14.0,-1.8,2.0,-3.0,1.6159700155258179
2021-08,10.2,2.2,62.8,59.7,-5.3,5.0,9.7,12.4,7.65,-0.5,42.7,0.0,-0.5,2.2,-4.2,4.6,0.9,10.496,48.7,51.7,-6.7,11.0,0.4,-4.4,-2.1,1.6178300380706787
2021-07,9.6,1.9,62.6,60.4,-4.4,9.0,20.5,9.4,7.7,-0.5,61.2,0.0,3.0,29.1,51.6,4.9,0.4,9.681,55.5,57.8,-7.1,24.0,0.1,1.5,0.8,1.6158169507980347
2021-06,7.6,1.9,63.1,58.0,-3.3,23.9,39.3,9.4,8.0,-0.5,81.3,0.0,7.9,115.2,97.5,5.1,0.2,8.028,58.3,61.2,-8.6,37.0,1.1,-5.2,-0.6,1.5838500261306763
2021-05,4.3,1.6,62.8,55.1,-5.1,12.0,10.9,13.0,8.05,-0.5,84.0,0.0,4.7,-30.6,33.8,5.5,0.4,5.574,59.1,61.0,17.4,32.0,1.4,-4.8,1.1,1.5809999704360962
2021-04,1.5,1.6,63.3,50.3,-8.1,-2.9,-1.6,18.4,8.1,-0.5,66.3,0.0,7.4,70.7,-20.8,5.6,0.2,7.529,61.8,58.7,19.5,25.0,-1.1,6.2,-1.7,1.5588699579238892
