Date,producer-price-index-yy european-union,consumer-price-index-yy european-union,markit-manufacturing-pmi european-union,markit-services-pmi european-union,consumer-confidence-indicator european-union,retail-sales-yy european-union,industrial-production-yy european-union,trade-balance european-union,unemployment-rate european-union,ecb-deposit-rate-decision european-union,zew-indicator-of-economic-sentiment european-union,ecb-interest-rate-decision european-union,foreign-securities-purchases canada,foreign-securities-purchases-by-canadians canada,gdp-mm canada,unemployment-rate canada,cpi-mm canada,cpi-yy canada,core-cpi-mm canada,core-cpi-yy canada,trade-balance canada,ivey-pmi-nsa canada,core-retail-sales-mm canada_x,core-retail-sales-mm canada_y,cmhc-housing-starts canada,EURCAD
2022-08,35.8,8.9,49.7,50.2,-24.9,-3.7,2.4,-30.8,6.6,0.0,-54.9,0.5,-17.539,-12.301,0.0,4.9,0.1,7.6,0.5,6.1,5.046,53.2,0.8,0.8,275.329,1.2979700565338135
2022-07,36.3,8.6,49.6,50.6,-27.0,0.2,1.6,-26.0,6.699999999999999,-0.5,-51.1,0.5,2.348,0.573,0.3,4.9,0.7,8.1,0.3,6.2,5.324,57.8,1.9,1.9,273.841,1.3086899518966675
2022-06,37.2,8.1,52.0,52.8,-23.6,3.9,-2.0,-31.7,6.8,-0.5,-28.0,0.0,22.227,29.204,0.7,5.1,1.4,7.7,0.8,6.1,1.501,66.7,1.3,1.3,287.257,1.3458199501037598
2022-05,36.8,8.1,54.4,56.3,-21.1,0.8,-0.8,-17.6,6.8,-0.5,-29.5,0.0,46.938,-23.983,1.1,5.2,0.6,6.8,0.7,5.7,2.486,68.0,2.4,2.4,267.33,1.3632899522781372
2022-04,31.4,7.5,55.3,57.7,-16.9,5.0,2.0,-9.4,6.8,-0.5,-43.0,0.0,7.436,-9.681,0.2,5.3,1.4,6.7,1.0,5.5,2.663,68.4,2.1,2.1,246.243,1.3562999963760376
2022-03,30.6,5.9,57.0,55.5,-18.7,7.8,-1.3,-7.7,6.8,-0.5,-38.7,0.0,13.492,-14.417,0.6,5.5,1.0,5.7,0.8,4.8,2.618,62.2,2.5,2.5,247.256,1.3932700157165527
2022-02,26.2,5.1,58.7,51.1,-8.8,2.0,1.6,-9.7,7.0,-0.5,48.6,0.0,37.555,21.285,0.7,6.5,0.9,5.1,0.8,4.3,-0.137,57.4,-2.5,-2.5,230.754,1.4259599447250366
2022-01,23.7,5.0,58.0,51.2,-8.3,7.8,-1.5,-1.3,7.2,-0.5,49.4,0.0,30.147,17.518,0.8,5.9,-0.1,4.8,0.0,4.0,3.133,51.1,1.1,1.1,236.106,1.422860026359558
2021-12,21.9,4.9,58.0,53.3,-8.3,1.4,3.3,2.4,7.3,-0.5,26.8,0.0,23.92,5.41,0.1,6.0,0.2,4.7,0.0,3.6,2.093,61.2,1.3,1.3,301.279,1.4429999589920044
2021-11,16.0,4.9,58.6,56.6,-6.8,2.5,5.2,6.1,7.4,-0.5,25.9,0.0,20.022,17.185,0.4,6.7,0.7,4.7,0.6,3.8,1.86,61.2,-0.2,-0.2,236.554,1.4384499788284302
2021-10,13.4,4.1,58.5,54.7,-4.8,0.0,5.1,11.1,7.5,-0.5,21.0,0.0,26.301,15.173,0.55,6.9,0.2,4.4,0.3,3.7,1.939,64.5,2.8,2.8,251.151,1.4338500499725342
2021-09,12.1,3.0,58.7,59.0,-4.0,3.1,7.7,13.4,7.6,-0.5,31.1,0.0,14.187,-4.689,0.7,7.1,0.2,4.1,0.2,3.5,0.778,63.8,-1.0,-1.0,260.239,1.479599952697754
2021-08,10.2,2.2,62.8,59.7,-5.3,5.0,9.7,12.4,7.65,-0.5,42.7,0.0,19.629,28.104,-0.3,7.5,0.6,3.7,0.6,3.3,3.231,59.8,4.7,4.7,272.176,1.487030029296875
2021-07,9.6,1.9,62.6,60.4,-4.4,9.0,20.5,9.4,7.7,-0.5,61.2,0.0,20.786,10.651,-0.3,7.8,0.3,3.1,0.3,2.7,-1.386,67.7,-2.0,-2.0,282.07,1.4809499979019165
2021-06,7.6,1.9,63.1,58.0,-3.3,23.9,39.3,9.4,8.0,-0.5,81.3,0.0,9.954,18.627,0.050000000000000044,8.2,0.5,3.6,0.4,2.8,0.594,59.8,-7.2,-7.2,275.916,1.4752999544143677
2021-05,4.3,1.6,62.8,55.1,-5.1,12.0,10.9,13.0,8.05,-0.5,84.0,0.0,3.248,21.223,0.4,8.1,0.5,3.4,0.5,2.3,-1.14,59.9,4.3,4.3,268.631,1.472190022468567
2021-04,1.5,1.6,63.3,50.3,-8.1,-2.9,-1.6,18.4,8.1,-0.5,66.3,0.0,8.518,10.543,0.7,7.5,0.5,2.2,0.3,1.4,1.039,67.3,4.8,4.8,335.2,1.4883300065994263
2021-03,0.0,0.9,62.4,45.7,-10.8,-6.4,0.1,24.2,8.1,-0.5,74.0,0.0,1.269,3.538,0.7,8.2,0.5,1.1,0.3,1.2,1.405,63.1,-1.2,-1.2,245.922,1.479200005531311
2021-02,-1.1,0.9,54.8,44.7,-14.8,0.6,-0.8,27.5,8.3,-0.5,69.6,0.0,5.081,26.941,0.7,9.4,0.6,1.0,0.5,1.6,-1.665,55.7,-4.1,-4.1,282.428,1.5382100343704224
2021-01,-1.9,-0.3,54.7,45.0,-15.5,-2.9,-0.6,25.1,8.3,-0.5,58.3,0.0,11.783,7.576,0.4,8.6,-0.2,0.7,-0.4,1.5,-3.34,53.9,2.1,2.1,228.279,1.5504000186920166
2020-12,-2.0,-0.3,55.5,47.3,-13.9,4.3,-3.8,25.9,8.4,-0.5,54.4,0.0,6.922,7.958,0.8,8.5,0.1,1.0,0.2,1.5,-3.763,52.4,0.0,0.0,246.033,1.568179965019226
2020-11,-2.4,-0.3,53.6,41.3,-17.6,2.2,-6.8,24.0,8.25,-0.5,32.8,0.0,4.463,11.17,1.2,8.9,0.4,0.7,0.4,1.0,-3.253,55.9,1.0,1.0,214.875,1.5541000366210938
2020-10,-2.5,-0.3,54.4,48.0,-15.5,3.7,-7.2,21.9,8.1,-0.5,52.3,0.0,15.51,5.736,3.0,9.0,-0.1,0.5,0.1,1.0,-2.446,61.1,0.5,0.5,208.98,1.5549299716949463
2020-09,-3.3,-0.2,51.7,47.6,-13.9,0.4,-7.7,20.3,7.9,-0.5,73.9,0.0,-8.521,1.293,6.5,10.2,-0.1,0.1,0.0,0.8,-2.451,64.6,-0.4,-0.4,262.396,1.5713900327682495
2020-08,-3.7,0.4,51.7,50.1,-14.7,1.3,-12.3,17.1,7.85,-0.5,64.0,0.0,-13.521,10.598,4.5,10.9,0.0,0.1,-0.1,0.7,-3.189,65.2,15.7,15.7,245.604,1.5588500499725342
2020-07,-5.0,0.4,51.1,55.1,-15.0,-5.1,-20.9,8.0,7.8,-0.5,59.6,0.0,22.406,13.371,-11.6,12.3,0.8,0.7,0.4,1.1,-0.677,62.9,10.6,10.6,211.681,1.5920000076293945
2020-06,-4.5,0.3,46.9,47.3,-14.7,-19.6,-28.0,1.2,7.3,-0.5,58.6,0.0,49.035,-0.134,-7.2,13.7,0.3,-0.4,-0.1,0.7,-3.251,42.1,-22.0,-22.0,193.453,1.5359400510787964
2020-05,-2.8,0.1,39.5,12.0,-18.8,-9.2,-12.9,23.5,7.35,-0.5,46.0,0.0,-9.78,-42.242,0.0,13.0,-0.7,-0.2,-0.4,1.2,-1.411,23.6,-0.4,-0.4,166.415,1.529099941253662
2020-04,-1.3,0.4,44.5,11.7,-22.7,3.0,-1.9,25.8,7.4,-0.5,25.2,0.0,20.609,6.137,0.1,7.8,-0.6,0.9,0.1,1.6,-0.983,28.2,0.0,0.0,195.174,1.5090399980545044
2020-03,-0.5,1.2,44.8,28.4,-11.6,1.7,-1.9,17.3,7.4,-0.5,-49.5,0.0,17.011,-9.096,0.3,5.6,0.4,2.2,0.7,1.8,-1.473,53.2,-0.1,-0.1,210.069,1.5637999773025513
2020-02,-0.7,1.4,49.1,52.8,-6.6,1.3,-4.1,22.2,7.4,-0.5,10.4,0.0,-9.567,13.802,0.1,5.5,0.3,2.4,0.4,1.8,-0.37,51.1,0.5,0.5,213.224,1.4768999814987183
2020-01,-1.4,1.4,47.8,52.2,-8.1,2.2,-1.5,19.2,7.4,-0.5,25.6,0.0,-1.754,5.548,-0.1,5.6,0.0,2.2,-0.4,1.7,-1.089,43.6,0.2,0.2,197.329,1.4566999673843384
2019-12,-1.9,1.0,45.9,52.4,-8.1,1.4,-2.2,24.5,7.45,-0.5,11.2,0.0,11.318,2.028,0.1,5.9,-0.1,2.2,-0.2,1.9,-1.078,58.4,-0.5,-0.5,201.318,1.4630199670791626
2019-11,-1.2,1.0,46.6,52.2,-7.2,3.1,-1.7,18.3,7.5,-0.5,-1.0,0.0,4.763,-2.392,0.0,5.5,0.3,1.9,0.4,1.9,-0.978,51.8,0.2,0.2,201.973,1.4622000455856323
