Date,producer-price-index-yy european-union,consumer-price-index-yy european-union,markit-manufacturing-pmi european-union,markit-services-pmi european-union,consumer-confidence-indicator european-union,retail-sales-yy european-union,industrial-production-yy european-union,trade-balance european-union,unemployment-rate european-union,markit-composite-pmi european-union,ecb-deposit-rate-decision european-union,zew-indicator-of-economic-sentiment european-union,ecb-interest-rate-decision european-union,unemployment-rate switzerland,cpi-mm switzerland,cpi-yy switzerland,ppi-mm switzerland,ppi-yy switzerland,trade-balance switzerland,credit-suisse-economic-expectations switzerland,procurech-manufacturing-pmi switzerland,retail-sales-yy switzerland,snb-interest-rate-decision switzerland,EURCHF
2022-08,35.8,8.9,49.7,50.2,-24.9,-3.7,2.4,-30.8,6.6,49.2,0.0,-54.9,0.5,2.2,0.0,3.4,-0.1,6.3,3.585,-57.2,58.0,1.2,-0.25,0.9638299942016602
2022-07,36.3,8.6,49.6,50.6,-27.0,0.2,1.6,-26.0,6.699999999999999,49.4,-0.5,-51.1,0.5,2.2,0.5,3.4,0.3,6.9,3.803,-72.7,59.1,-1.6,-0.25,0.9728800058364868
2022-06,37.2,8.1,52.0,52.8,-23.6,3.9,-2.0,-31.7,6.8,51.9,-0.5,-28.0,0.0,2.2,0.7,2.9,0.9,6.9,3.116,-52.6,60.0,-6.0,-0.25,0.9966899752616882
2022-05,36.8,8.1,54.4,56.3,-21.1,0.8,-0.8,-17.6,6.8,54.9,-0.5,-29.5,0.0,2.2,0.4,2.5,1.3,6.7,4.127,-51.6,62.5,-6.6,-0.4166666666666667,1.0322200059890747
2022-04,31.4,7.5,55.3,57.7,-16.9,5.0,2.0,-9.4,6.8,55.8,-0.5,-43.0,0.0,2.2,0.6,2.4,0.8,6.1,2.988,-27.8,64.0,12.8,-0.5833333333333334,1.0262999534606934
2022-03,30.6,5.9,57.0,55.5,-18.7,7.8,-1.3,-7.7,6.8,54.5,-0.5,-38.7,0.0,2.2,0.7,2.2,0.4,5.8,5.954,9.0,62.6,5.1,-0.75,1.0302300453186035
2022-02,26.2,5.1,58.7,51.1,-8.8,2.0,1.6,-9.7,7.0,55.8,-0.5,48.6,0.0,2.3,0.2,1.6,0.6,5.4,3.177,9.5,63.8,5.8,-0.75,1.035979986190796
2022-01,23.7,5.0,58.0,51.2,-8.3,7.8,-1.5,-1.3,7.2,52.4,-0.5,49.4,0.0,2.4,-0.1,1.5,-0.1,5.1,3.693,0.0,62.7,1.2,-0.75,1.0383700132369995
2021-12,21.9,4.9,58.0,53.3,-8.3,1.4,3.3,2.4,7.3,55.4,-0.5,26.8,0.0,2.5,0.0,1.5,0.5,5.8,6.161,-10.8,62.5,2.5,-0.75,1.0346399545669556
2021-11,16.0,4.9,58.6,56.6,-6.8,2.5,5.2,6.1,7.4,55.8,-0.5,25.9,0.0,2.7,0.3,1.2,0.6,5.1,5.651,15.6,65.4,0.5,-0.75,1.042099952697754
