Date,producer-price-index-yy european-union,consumer-price-index-yy european-union,markit-manufacturing-pmi european-union,markit-services-pmi european-union,consumer-confidence-indicator european-union,retail-sales-yy european-union,industrial-production-yy european-union,trade-balance european-union,construction-output-yy european-union,unemployment-rate european-union,markit-composite-pmi european-union,ecb-deposit-rate-decision european-union,zew-indicator-of-economic-sentiment european-union,ecb-interest-rate-decision european-union,average-weekly-earnings-regular-pay united-kingdom,average-weekly-earnings-total-pay united-kingdom,claimant-count-change united-kingdom,unemployment-rate united-kingdom,cpi-yy united-kingdom,core-cpi-mm united-kingdom,core-cpi-yy united-kingdom,ppi-input-mm united-kingdom,ppi-input-yy united-kingdom,ppi-output-mm united-kingdom,ppi-output-yy united-kingdom,rpi-mm united-kingdom,rpi-yy united-kingdom,boe-interest-rate-decision UK,snb-interest-rate-decision Switzerland,EURGBP
2022-07,37.2,8.1,52.0,52.8,-23.6,3.9,-2.0,-31.7,3.0,6.8,51.9,-0.5,-28.0,0.0,4.2,6.8,-19.7,3.8,9.1,0.5,5.9,2.1,22.1,1.6,15.7,0.7,11.7,1.25,-0.25,0.8611999750137329
2022-06,36.8,8.1,54.4,56.3,-21.1,0.8,-0.8,-17.6,3.3,6.8,54.9,-0.5,-29.5,0.0,4.2,7.0,-56.9,3.7,9.0,0.7,6.2,1.1,18.6,2.3,14.0,3.4,11.1,1.0,-0.75,0.8518199920654297
2022-05,31.4,7.5,55.3,57.7,-16.9,5.0,2.0,-9.4,9.4,6.8,55.8,-0.5,-43.0,0.0,4.0,5.4,-46.9,3.8,7.0,0.9,5.7,5.2,19.2,2.0,11.9,1.0,9.0,0.75,-0.75,0.8347399830818176
2022-04,30.6,5.9,57.0,55.5,-18.7,7.8,-1.3,-7.7,4.1,6.8,54.5,-0.5,-38.7,0.0,3.8,4.8,-48.1,3.9,6.2,0.8,5.2,1.4,14.7,0.8,10.1,0.8,8.2,0.75,-0.75,0.8492699861526489
2022-03,26.2,5.1,58.7,51.1,-8.8,2.0,1.6,-9.7,-3.9,7.0,55.8,-0.5,48.6,0.0,3.7,4.3,-31.9,4.1,5.5,-0.4,4.4,0.9,13.6,1.2,9.9,0.0,7.8,0.5,-0.75,0.8359900116920471
2022-02,23.7,5.0,58.0,51.2,-8.3,7.8,-1.5,-1.3,0.5,7.2,52.4,-0.5,49.4,0.0,3.8,4.2,-43.3,4.1,5.4,0.5,4.2,-0.2,13.5,0.3,9.3,1.1,7.5,0.25,-0.75,0.8320099711418152
2022-01,21.9,4.9,58.0,53.3,-8.3,1.4,3.3,2.4,4.4,7.3,55.4,-0.5,26.8,0.0,4.3,4.9,-49.7,4.2,5.1,0.5,4.0,1.0,14.3,0.9,9.1,0.7,7.1,0.25,-0.75,0.8385499715805054
2021-12,16.0,4.9,58.6,56.6,-6.8,2.5,5.2,6.1,1.5,7.4,55.8,-0.5,25.9,0.0,4.9,5.8,-14.9,4.3,4.2,0.7,3.4,1.4,13.0,1.1,8.0,1.1,6.0,0.1,-0.75,0.8480600118637085
2021-11,13.4,4.1,58.5,54.7,-4.8,0.0,5.1,11.1,-1.6,7.4,54.3,-0.5,21.0,0.0,6.0,7.2,-51.1,4.5,3.1,0.4,2.9,0.4,11.4,0.5,6.7,0.4,4.9,0.1,-0.75,0.8429700136184692
2021-10,12.1,3.0,58.7,59.0,-4.0,3.1,7.7,13.4,3.3,7.6,56.1,-0.5,31.1,0.0,6.8,8.3,-58.6,4.6,3.2,0.7,3.1,0.4,11.0,0.7,5.9,0.6,4.8,0.1,-0.75,0.8637999892234802
