Date,producer-price-index-yy european-union,consumer-price-index-yy european-union,markit-manufacturing-pmi european-union,markit-services-pmi european-union,consumer-confidence-indicator european-union,retail-sales-yy european-union,industrial-production-yy european-union,trade-balance european-union,unemployment-rate european-union,ecb-deposit-rate-decision european-union,zew-indicator-of-economic-sentiment european-union,ecb-interest-rate-decision european-union,labor-cash-earnings-yy japan,unemployment-rate japan,domestic-corporate-goods-price-index-mm japan,domestic-corporate-goods-price-index-yy japan,corporate-service-price-yy japan,national-consumer-price-index-yy japan,national-consumer-price-index-ex-fresh-food-yy japan,tokyo-consumer-price-index-yy japan,tokyo-consumer-price-index-ex-fresh-food-yy japan,m2-money-stock-yy japan,monetary-base-yy japan,adjusted-trade-balance japan,current-account-nsa japan,balance-of-payments japan,trade-balance japan,all-industry-activity-index-mm japan,capacity-utilization japan,tertiary-industry-activity-index-mm japan,household-spending-yy japan,large-retailers-sales-yy japan,retail-sales-mm japan,EURJPY
2022-08,35.8,8.9,49.7,50.2,-24.9,-3.7,2.4,-30.8,6.6,0.0,-54.9,0.5,2.2,2.6,0.4,8.6,2.1,2.6,2.4,2.9,2.6,3.4,2.8,-2133.3,-132.4,-1114.0,-1436.8,1.3,9.6,-0.2,3.5,1.3,-1.4,137.2519989013672
2022-07,36.3,8.6,49.6,50.6,-27.0,0.2,1.6,-26.0,6.699999999999999,-0.5,-51.1,0.5,1.0,2.6,0.7,9.2,2.0,2.4,2.2,2.5,2.3,3.3,3.9,-1928.9,128.4,-1951.2,-1383.8,1.3,-9.2,0.8,-0.5,8.5,0.6,136.2069854736328
2022-06,37.2,8.1,52.0,52.8,-23.6,3.9,-2.0,-31.7,6.8,-0.5,-28.0,0.0,1.7,2.5,0.0,9.1,1.8,2.5,2.1,2.3,2.1,3.2,4.6,-1931.4,501.1,-688.4,-2384.7,1.3,0.0,0.7,-1.7,4.0,0.8,142.677001953125
2022-05,36.8,8.1,54.4,56.3,-21.1,0.8,-0.8,-17.6,6.8,-0.5,-29.5,0.0,1.2,2.6,1.2,10.0,1.7,2.5,2.1,2.4,1.9,3.6,6.6,-1618.9,2549.3,-166.1,-839.2,1.3,-1.6,1.3,-2.3,1.5,2.0,137.66000366210938
2022-04,31.4,7.5,55.3,57.7,-16.9,5.0,2.0,-9.4,6.8,-0.5,-43.0,0.0,1.2,2.7,0.8,9.5,1.3,1.2,0.8,1.85,1.35,3.5,7.9,-899.8,1648.3,-176.8,-412.4,1.3,1.5,-1.3,1.1,0.1,-0.8,136.916748046875
2022-03,30.6,5.9,57.0,55.5,-18.7,7.8,-1.3,-7.7,6.8,-0.5,-38.7,0.0,0.9,2.7,0.8,9.3,1.1,0.9,0.6,1.3,0.8,3.6,7.6,-1031.4,-1188.7,-1604.3,-668.3,1.3,-3.2,-0.7,6.9,2.6,-1.9,136.18699645996094
2022-02,26.2,5.1,58.7,51.1,-8.8,2.0,1.6,-9.7,7.0,-0.5,48.6,0.0,-0.2,2.7,0.6,8.6,1.2,0.5,0.2,1.0,0.5,3.6,8.4,-932.6,-370.8,-318.7,-2191.1,1.3,-0.4,0.4,-0.2,1.4,-1.0,129.218994140625
2022-01,23.7,5.0,58.0,51.2,-8.3,7.8,-1.5,-1.3,7.2,-0.5,49.4,0.0,0.0,2.8,-0.2,8.5,1.1,0.8,0.5,0.5,0.2,3.7,8.3,-435.3,897.3,-431.3,-582.4,1.3,8.0,0.4,-1.3,1.4,1.2,128.53700256347656
2021-12,21.9,4.9,58.0,53.3,-8.3,1.4,3.3,2.4,7.3,-0.5,26.8,0.0,0.2,2.7,0.6,9.0,1.1,0.6,0.5,0.5,0.25,4.0,9.3,-486.8,1180.1,166.7,-954.8,1.3,6.2,1.5,-0.6,0.9,1.1,130.2760009765625
2021-11,16.0,4.9,58.6,56.6,-6.8,2.5,5.2,6.1,7.4,-0.5,25.9,0.0,0.2,2.8,1.2,8.0,1.0,0.1,0.1,0.5,0.3,4.2,9.9,-444.7,1033.7,-229.9,-67.4,1.3,-7.3,0.5,-1.9,-1.3,2.7,128.51300048828125
2021-10,13.4,4.1,58.5,54.7,-4.8,0.0,5.1,11.1,7.5,-0.5,21.0,0.0,0.7,2.8,0.3,6.3,0.9,0.2,0.1,0.3,0.1,4.2,11.7,-624.8,1665.6,-372.4,-622.8,1.3,-3.9,-1.7,-3.0,-4.7,-4.1,131.77667236328125
2021-09,12.1,3.0,58.7,59.0,-4.0,3.1,7.7,13.4,7.6,-0.5,31.1,0.0,1.0,2.8,0.0,5.5,1.0,-0.4,0.0,-0.050000000000000044,0.05,4.7,14.9,-271.8,1910.8,622.3,-635.4,1.3,-3.4,-0.6,0.7,1.3,1.1,129.86099243164062
2021-08,10.2,2.2,62.8,59.7,-5.3,5.0,9.7,12.4,7.65,-0.5,42.7,0.0,-0.1,2.9,1.1,5.6,1.1,0.2,0.4,-0.4,0.0,5.2,15.4,52.7,905.1,648.5,441.0,1.3,6.2,2.3,-5.1,-2.2,3.1,129.6909942626953
2021-07,9.6,1.9,62.6,60.4,-4.4,9.0,20.5,9.4,7.7,-0.5,61.2,0.0,1.9,3.0,0.6,5.0,1.4,0.2,0.2,-0.2,0.0,5.9,19.1,-90.2,1979.7,2.0,383.2,1.3,-6.8,-2.7,11.6,5.7,-0.4,130.16555786132812
2021-06,7.6,1.9,63.1,58.0,-3.3,23.9,39.3,9.4,8.0,-0.5,81.3,0.0,1.6,2.8,0.7,4.9,1.5,-0.1,0.1,0.0,0.0,7.9,22.4,43.1,1321.8,289.5,-187.1,1.3,1.1,-0.7,13.0,15.5,-4.5,131.54100036621094
2021-05,4.3,1.6,62.8,55.1,-5.1,12.0,10.9,13.0,8.05,-0.5,84.0,0.0,0.2,2.6,0.7,3.6,1.0,-0.4,-0.1,-0.4,-0.2,9.2,24.3,65.2,2650.1,983.1,255.3,1.3,5.6,1.1,6.2,3.0,1.2,133.96800231933594
2021-04,1.5,1.6,63.3,50.3,-8.1,-2.9,-1.6,18.4,8.1,-0.5,66.3,0.0,-0.2,2.9,0.8,1.0,0.7,-0.2,-0.1,-0.6,-0.2,9.5,20.8,297.8,2916.9,524.2,663.7,1.3,-2.8,0.3,-6.6,-4.7,3.1,132.05099487304688
2021-03,0.0,0.9,62.4,45.7,-10.8,-6.4,0.1,24.2,8.1,-0.5,74.0,0.0,-0.8,2.9,0.4,-0.7,-0.1,-0.4,-0.4,-0.2,-0.1,9.6,19.6,-38.7,646.8,-130.1,217.4,1.3,4.7,-1.7,-6.1,-7.2,-0.5,129.30999755859375
2021-02,-1.1,0.9,54.8,44.7,-14.8,0.6,-0.8,27.5,8.3,-0.5,69.6,0.0,-3.2,2.9,0.4,-1.6,-0.5,-0.6,-0.6,-0.3,-0.3,9.4,18.9,392.8,1165.6,965.1,-323.9,1.3,0.8,-0.4,-0.6,-3.5,-0.8,128.66444396972656
2021-01,-1.9,-0.3,54.7,45.0,-15.5,-2.9,-0.6,25.1,8.3,-0.5,58.3,0.0,-2.2,2.9,0.5,-2.0,-0.4,-1.2,-1.0,-0.5,-0.4,9.2,18.3,477.1,1878.4,616.1,751.0,1.3,-2.9,-0.7,1.1,-3.4,-2.0,127.06748962402344
2020-12,-2.0,-0.3,55.5,47.3,-13.9,4.3,-3.8,25.9,8.4,-0.5,54.4,0.0,-0.8,3.1,0.0,-2.2,-0.6,-0.9,-0.9,-1.3,-0.9,9.1,16.5,570.2,2144.7,971.1,366.8,1.3,6.0,1.0,1.9,2.9,0.4,126.84100341796875
2020-11,-2.4,-0.3,53.6,41.3,-17.6,2.2,-6.8,24.0,8.25,-0.5,32.8,0.0,-0.9,3.0,-0.2,-2.1,-0.6,-0.4,-0.7,-0.7,-0.7,9.0,16.3,314.3,1660.2,918.4,872.9,1.3,6.4,1.8,-10.2,-13.9,-0.1,124.59200286865234
2020-10,-2.5,-0.3,54.4,48.0,-15.5,3.7,-7.2,21.9,8.1,-0.5,52.3,0.0,-1.3,2.95,-0.2,-0.8,1.3,0.0,-0.3,-0.3,-0.5,9.0,14.3,475.8,2102.8,413.2,675.0,1.3,2.9,0.8,-6.9,-3.2,4.6,122.16903686523438
2020-09,-3.3,-0.2,51.7,47.6,-13.9,0.4,-7.7,20.3,7.9,-0.5,73.9,0.0,-1.3,2.9,0.2,-0.5,1.0,0.2,-0.4,0.2,-0.2,8.6,11.5,350.6,1468.3,137.3,248.3,6.1,9.6,-0.5,-7.6,-4.2,-3.3,124.05000305175781
2020-08,-3.7,0.4,51.7,50.1,-14.7,1.3,-12.3,17.1,7.85,-0.5,64.0,0.0,-1.7,2.8,0.6,-0.9,1.2,0.3,0.0,0.3,-0.3,7.9,9.8,-34.8,167.5,-77.3,11.6,-3.5,6.2,7.9,-1.2,-3.5,13.1,125.77300262451172
2020-07,-5.0,0.4,51.1,55.1,-15.0,-5.1,-20.9,8.0,7.8,-0.5,59.6,0.0,-2.1,2.9,0.6,-1.6,0.8,0.1,0.0,0.3,-0.04999999999999999,7.2,6.0,-423.9,1176.8,-556.8,-268.8,-6.4,-11.6,-2.1,-16.2,-16.7,2.1,124.26000213623047
2020-06,-4.5,0.3,46.9,47.3,-14.7,-19.6,-28.0,1.2,7.3,-0.5,58.6,0.0,-0.6,2.6,-0.4,-2.7,0.8,0.1,-0.2,0.3,0.2,5.1,3.9,-601.0,262.7,-966.5,-833.4,-3.8,-13.3,-6.0,-11.1,-22.1,-9.6,121.00399780273438
2020-05,-2.8,0.1,39.5,12.0,-18.8,-9.2,-12.9,23.5,7.35,-0.5,46.0,0.0,0.1,2.5,-1.5,-2.3,1.0,0.1,-0.2,0.4,0.2,3.7,2.3,-996.3,1971.0,103.1,-930.4,-0.6,-3.6,-4.2,-6.0,-10.1,-4.5,119.67855834960938
2020-04,-1.3,0.4,44.5,11.7,-22.7,3.0,-1.9,25.8,7.4,-0.5,25.2,0.0,1.0,2.4,-0.9,-0.4,1.6,0.4,0.4,0.2,-0.1,3.3,2.8,-190.0,3168.8,1366.6,4.9,0.8,-1.8,-0.5,-0.3,0.2,0.6,115.95999908447266
2020-03,-0.5,1.2,44.8,28.4,-11.6,1.7,-1.9,17.3,7.4,-0.5,-49.5,0.0,1.5,2.4,-0.4,0.8,2.1,0.4,0.6,0.4,0.4,3.0,3.6,498.3,612.3,-985.1,1109.8,0.0,1.1,0.8,-3.9,-1.4,0.6,119.1500015258789
2020-02,-0.7,1.4,49.1,52.8,-6.6,1.3,-4.1,22.2,7.4,-0.5,10.4,0.0,0.0,2.2,0.2,1.7,2.3,0.7,0.8,0.4,0.5,2.8,2.9,-224.1,524.0,120.7,-1312.6,0.9,-0.4,-0.2,-4.8,-3.0,0.2,119.19287109375
2020-01,-1.4,1.4,47.8,52.2,-8.1,2.2,-1.5,19.2,7.4,-0.5,25.6,0.0,-0.2,2.2,0.1,0.9,2.1,0.8,0.7,0.6,0.7,2.7,3.2,-102.5,1436.8,-2.5,-152.5,-4.3,-0.3,1.3,-2.0,-1.8,4.5,120.06300354003906
2019-12,-1.9,1.0,45.9,52.4,-8.1,1.4,-2.2,24.5,7.45,-0.5,11.2,0.0,0.5,2.4,0.2,0.1,2.1,0.5,0.5,0.9,0.8,2.8,3.3,-60.8,1816.8,254.0,-82.1,1.5,-4.5,-4.6,-5.1,-8.2,-14.4,121.98999786376953
2019-11,-1.2,1.0,46.6,52.2,-7.2,3.1,-1.7,18.3,7.5,-0.5,-1.0,0.0,0.8,2.4,1.1,-0.4,2.1,0.2,0.4,0.8,0.6,2.5,3.1,-34.7,1612.9,1.1,17.3,0.0,1.0,1.8,9.5,10.0,7.1,120.60321044921875
2019-10,-0.8,0.8,45.7,51.6,-7.6,2.1,-2.8,20.3,7.5,-0.5,-23.5,0.0,-0.2,2.2,0.0,-1.1,0.5,0.2,0.3,0.4,0.5,2.4,3.0,-97.2,2157.7,50.9,-123.0,0.2,-2.9,0.4,1.0,0.4,4.8,121.3219985961914
