Date,average-weekly-earnings-regular-pay united-kingdom,average-weekly-earnings-total-pay united-kingdom,claimant-count-change united-kingdom,unemployment-rate united-kingdom,cpi-yy united-kingdom,core-cpi-mm united-kingdom,core-cpi-yy united-kingdom,ppi-input-mm united-kingdom,ppi-input-yy united-kingdom,ppi-output-mm united-kingdom,ppi-output-yy united-kingdom,rpi-mm united-kingdom,rpi-yy united-kingdom,trade-balance united-kingdom,trade-balance-non-eu united-kingdom,public-sector-net-borrowing united-kingdom,industrial-production-mm united-kingdom,industrial-production-yy united-kingdom,manufacturing-production-mm united-kingdom,manufacturing-production-yy united-kingdom,markit-construction-pmi united-kingdom,brc-retail-sales-monitor-yy united-kingdom,index-of-services united-kingdom,retail-sales-mm united-kingdom,retail-sales-yy united-kingdom,rics-house-price-balance united-kingdom,boe-interest-rate-decision united-kingdom,labor-cash-earnings-yy japan,unemployment-rate japan,domestic-corporate-goods-price-index-mm japan,domestic-corporate-goods-price-index-yy japan,corporate-service-price-yy japan,national-consumer-price-index-yy japan,national-consumer-price-index-ex-fresh-food-yy japan,tokyo-consumer-price-index-yy japan,tokyo-consumer-price-index-ex-fresh-food-yy japan,m2-money-stock-yy japan,monetary-base-yy japan,adjusted-trade-balance japan,current-account-nsa japan,balance-of-payments japan,trade-balance japan,all-industry-activity-index-mm japan,capacity-utilization japan,tertiary-industry-activity-index-mm japan,household-spending-yy japan,large-retailers-sales-yy japan,retail-sales-mm japan,boj-interest-rate-decision japan,GBPJPY
2022-08,4.7,5.1,-10.6,3.8,10.1,0.3,6.2,0.1,22.6,1.6,17.1,0.9,12.3,-22.847,-12.29,4.18,-0.9,2.4,-1.6,1.3,48.9,1.6,-0.4,0.3,-3.4,63.0,1.75,2.2,2.6,0.4,8.6,2.1,2.6,2.4,2.9,2.6,3.4,2.8,-2133.3,-132.4,-1114.0,-1436.8,1.3,9.6,-0.2,3.5,1.3,-1.4,-0.1,161.89300537109375
2022-07,4.3,6.2,-20.1,3.8,9.4,0.4,5.8,1.8,24.0,1.4,16.5,0.9,11.8,-21.445,-10.367,22.115,0.9,1.4,1.4,2.3,52.6,-1.3,0.1,-0.1,-5.8,65.0,1.5,1.0,2.6,0.7,9.2,2.0,2.4,2.2,2.5,2.3,3.3,3.9,-1928.9,128.4,-1951.2,-1383.8,1.3,-9.2,0.8,-0.5,8.5,0.6,-0.1,162.52847290039062
2022-06,4.2,6.8,-19.7,3.8,9.1,0.5,5.9,2.1,22.1,1.6,15.7,0.7,11.7,-20.893,-10.988,13.226,-0.6,0.7,-1.0,0.5,56.4,-1.5,0.0,-0.5,-4.7,73.0,1.25,1.7,2.5,0.0,9.1,1.8,2.5,2.1,2.3,2.1,3.2,4.6,-1931.4,501.1,-688.4,-2384.7,1.3,0.0,0.7,-1.7,4.0,0.8,-0.1,165.66299438476562
2022-05,4.2,7.0,-56.9,3.7,9.0,0.7,6.2,1.1,18.6,2.3,14.0,3.4,11.1,-23.897,-13.804,17.796,-0.2,0.7,-0.2,1.9,58.2,-1.7,0.4,1.4,-4.9,80.0,1.0,1.2,2.6,1.2,10.0,1.7,2.5,2.1,2.4,1.9,3.6,6.6,-1618.9,2549.3,-166.1,-839.2,1.3,-1.6,1.3,-2.3,1.5,2.0,-0.1,161.59500122070312
2022-04,4.0,5.4,-46.9,3.8,7.0,0.9,5.7,5.2,19.2,2.0,11.9,1.0,9.0,-20.594,-12.138,17.319,-0.6,1.6,-0.4,3.6,59.1,-0.4,0.8,-1.4,0.9,74.0,0.875,1.2,2.7,0.8,9.5,1.3,1.2,0.8,1.85,1.35,3.5,7.9,-899.8,1648.3,-176.8,-412.4,1.3,1.5,-1.3,1.1,0.1,-0.8,-0.1,163.1939239501953
2022-03,3.8,4.8,-48.1,3.9,6.2,0.8,5.2,1.4,14.7,0.8,10.1,0.8,8.2,-26.499,-13.65,12.348,0.7,2.3,0.8,3.6,59.1,2.7,1.0,-0.3,7.0,79.0,0.75,0.9,2.7,0.8,9.3,1.1,0.9,0.6,1.3,0.8,3.6,7.6,-1031.4,-1188.7,-1604.3,-668.3,1.3,-3.2,-0.7,6.9,2.6,-1.9,-0.1,160.26300048828125
2022-02,3.7,4.3,-31.9,4.1,5.5,-0.4,4.4,0.9,13.6,1.2,9.9,0.0,7.8,-12.354,-7.876,-3.65,0.3,0.4,0.2,1.3,56.3,8.1,1.2,1.9,9.1,74.0,0.5,-0.2,2.7,0.6,8.6,1.2,0.5,0.2,1.0,0.5,3.6,8.4,-932.6,-370.8,-318.7,-2191.1,1.3,-0.4,0.4,-0.2,1.4,-1.0,-0.1,154.552001953125
2022-01,3.8,4.2,-43.3,4.1,5.4,0.5,4.2,-0.2,13.5,0.3,9.3,1.1,7.5,-11.337,-5.665,16.084,1.0,0.1,1.1,0.4,54.3,0.6,1.3,-3.7,-0.9,69.0,0.375,0.0,2.8,-0.2,8.5,1.1,0.8,0.5,0.5,0.2,3.7,8.3,-435.3,897.3,-431.3,-582.4,1.3,8.0,0.4,-1.3,1.4,1.2,-0.1,154.4759979248047
2021-12,4.3,4.9,-49.7,4.2,5.1,0.5,4.0,1.0,14.3,0.9,9.1,0.7,7.1,-13.934,-8.618,16.62,-0.6,1.4,0.0,1.3,55.5,1.8,1.1,1.4,4.7,71.0,0.25,0.2,2.7,0.6,9.0,1.1,0.6,0.5,0.5,0.25,4.0,9.3,-486.8,1180.1,166.7,-954.8,1.3,6.2,1.5,-0.6,0.9,1.1,-0.1,155.29400634765625
2021-11,4.9,5.8,-14.9,4.3,4.2,0.7,3.4,1.4,13.0,1.1,8.0,1.1,6.0,-14.736,-9.103,18.035,-0.4,2.9,-0.1,2.8,54.6,-0.2,1.6,0.8,-1.3,70.0,0.1,0.2,2.8,1.2,8.0,1.0,0.1,0.1,0.5,0.3,4.2,9.9,-444.7,1033.7,-229.9,-67.4,1.3,-7.3,0.5,-1.9,-1.3,2.7,-0.1,151.5050048828125
