Date,producer-price-index-yy united-states,consumer-price-index-yy united-states,ism-manufacturing-pmi united-states,ism-non-manufacturing-pmi united-states,consumer-confidence-index united-states,retail-sales-yy united-states,retail-sales-ex-autos-mm united-states,durable-goods-orders united-states,nonfarm-payrolls united-states,industrial-production-mm united-states,trade-balance united-states,housing-starts united-states,new-home-sales united-states,building-permits united-states,existing-home-sales united-states,unemployment-rate united-states,adp-nonfarm-employment-change united-states,ny-empire-state-manufacturing-index united-states,chicago-pmi united-states,capacity-utilization united-states,factory-orders united-states,durable-goods-orders-ex-transportation united-states,business-inventories-mm united-states,pce-price-index-mm united-states,core-pce-price-index-yy united-states,core-pce-price-index-mm united-states,average-hourly-earnings-mm united-states,fed-interest-rate-decision united-states,unemployment-rate switzerland,cpi-mm switzerland,cpi-yy switzerland,ppi-mm switzerland,ppi-yy switzerland,trade-balance switzerland,credit-suisse-economic-expectations switzerland,procurech-manufacturing-pmi switzerland,retail-sales-yy switzerland,USDCHF
2022-08,9.8,8.5,52.8,56.7,95.7,10.3,0.4,0.0,528.0,0.6,-79.614,1.446,0.511,1.674,4.81,3.5,128.0,-31.3,52.1,80.3,2.0,0.3,1.4,-0.1,4.6,0.1,0.5,2.5,2.2,0.0,3.4,-0.1,6.3,3.585,-57.2,58.0,1.2,0.9661999940872192
2022-07,11.3,9.1,53.0,55.3,98.7,8.5,1.0,1.9,372.0,-0.2,-85.546,1.559,0.59,1.685,5.12,3.6,128.0,11.1,56.0,80.0,1.6,0.3,1.4,1.0,4.8,0.6,0.3,2.5,2.2,0.5,3.4,0.3,6.9,3.803,-72.7,59.1,-1.6,0.9518120288848877
2022-06,10.8,8.6,56.1,55.9,106.4,8.1,0.5,0.7,390.0,0.2,-87.077,1.549,0.696,1.695,5.41,3.6,247.0,-1.2,60.3,79.0,0.3,0.7,1.2,0.6,4.7,0.3,0.3,1.75,2.2,0.7,2.9,0.9,6.9,3.116,-52.6,60.0,-6.0,0.9541800022125244
2022-05,11.0,8.3,55.4,57.1,107.3,8.2,0.6,0.4,428.0,1.1,-109.802,1.724,0.591,1.819,5.61,3.6,351.0,-11.6,56.4,79.0,2.2,0.3,2.0,0.2,4.9,0.3,0.3,1.0,2.2,0.4,2.5,1.3,6.7,4.127,-51.6,62.5,-6.6,0.9582300186157227
2022-04,11.2,8.5,57.1,58.3,107.2,6.9,1.1,0.8,431.0,0.9,-89.185,1.793,0.763,1.873,5.77,3.6,455.0,24.6,62.9,78.3,-0.5,1.1,1.5,0.9,5.2,0.3,0.4,0.75,2.2,0.6,2.4,0.8,6.1,2.988,-27.8,64.0,12.8,0.9746559858322144
2022-03,10.0,7.9,58.6,56.5,110.5,17.6,0.2,-2.2,678.0,0.5,-89.692,1.769,0.772,1.859,6.02,3.8,-301.0,-11.8,56.3,77.6,1.4,-0.6,1.1,0.6,5.4,0.4,0.0,0.5,2.2,0.7,2.2,0.4,5.8,5.954,9.0,62.6,5.1,0.9229699969291687
2022-02,9.7,7.5,57.6,59.9,113.8,13.0,3.3,1.6,467.0,1.4,-80.731,1.638,0.801,1.899,6.5,4.0,807.0,3.1,65.2,77.6,-0.4,0.7,2.1,0.6,5.2,0.5,0.7,0.375,2.3,0.2,1.6,0.6,5.4,3.177,9.5,63.8,5.8,0.926596999168396
2022-01,9.7,7.0,58.7,62.0,115.8,17.0,-2.3,-0.9,199.0,-0.1,-80.172,1.702,0.811,1.873,6.18,3.9,534.0,-0.7,63.1,76.5,1.6,0.4,1.3,0.4,4.9,0.5,0.6,0.25,2.4,-0.1,1.5,-0.1,5.1,3.693,0.0,62.7,1.2,0.9311299920082092
2021-12,9.6,6.8,61.1,69.1,109.5,18.2,0.3,2.5,210.0,0.5,-67.116,1.679,0.744,1.712,6.46,4.2,571.0,31.9,61.8,76.8,1.0,0.8,1.2,0.6,4.7,0.5,0.3,0.25,2.5,0.0,1.5,0.5,5.8,6.161,-10.8,62.5,2.5,0.9136999845504761
2021-11,8.6,6.2,60.8,66.7,113.8,16.0,1.7,-0.5,531.0,1.6,-80.934,1.52,0.745,1.65,6.34,4.6,568.0,30.9,68.4,76.4,0.2,0.5,0.7,0.6,4.1,0.4,0.4,0.25,2.7,0.3,1.2,0.6,5.1,5.651,15.6,65.4,0.5,0.9228699803352356
2021-10,8.6,5.4,61.1,61.9,109.3,13.8,0.8,-0.4,194.0,-1.3,-73.252,1.555,0.8,1.589,6.29,4.8,374.0,19.8,64.7,75.2,1.2,0.4,0.6,0.4,3.6,0.3,0.6,0.25,2.8,0.0,0.9,0.2,4.5,5.052,25.7,68.1,-2.6,0.9150329828262329
2021-09,8.3,5.3,59.9,61.7,113.8,14.9,1.8,1.8,235.0,0.4,-70.051,1.615,0.74,1.728,5.88,5.2,330.0,34.3,66.8,76.4,0.4,0.2,0.5,0.4,3.6,0.3,0.6,0.25,2.9,0.2,0.9,0.7,4.4,5.056,-7.8,67.7,0.1,0.934249997138977
2021-08,7.8,5.4,59.5,64.1,129.1,15.8,-0.4,-0.1,943.0,0.9,-75.749,1.534,0.708,1.635,5.99,5.4,654.0,18.3,73.4,76.1,1.5,0.7,0.8,0.4,3.6,0.3,0.4,0.25,3.0,-0.1,0.7,0.5,3.3,5.246,42.8,71.1,2.8,0.9171800017356873
2021-07,7.3,5.4,60.6,60.1,127.3,18.0,1.3,0.8,850.0,0.4,-71.24,1.643,0.676,1.598,5.86,5.9,978.0,43.0,66.1,75.4,1.7,0.3,0.5,0.5,3.5,0.4,0.3,0.25,3.1,0.1,0.6,0.3,2.9,5.53,51.3,66.7,35.7,0.9050999879837036
2021-06,6.6,5.0,61.2,64.0,117.2,28.1,-0.7,2.3,559.0,0.8,-68.899,1.572,0.769,1.681,5.8,5.8,742.0,17.4,75.2,75.2,-0.6,0.3,-0.2,0.4,3.4,0.5,0.5,0.25,3.0,0.3,0.6,0.8,3.2,4.948,72.2,69.9,29.150000000000002,0.9208999872207642
2021-05,6.2,4.2,60.7,62.7,121.7,51.2,-0.8,-1.3,266.0,0.7,-74.448,1.569,0.863,1.76,5.85,6.1,629.5,24.3,72.1,74.9,1.1,1.0,0.3,0.6,3.1,0.7,0.7,0.25,3.1,0.2,0.3,0.7,1.8,3.837,68.3,69.5,22.6,0.9001100063323975
2021-04,4.2,2.6,64.7,63.7,109.7,27.7,8.4,0.5,916.0,1.4,-71.078,1.739,1.021,1.766,6.01,6.0,517.0,26.3,66.3,74.4,-0.8,1.6,0.5,0.5,1.8,0.4,-0.1,0.25,3.3,0.3,-0.2,0.6,-0.2,5.817,66.7,66.3,-0.5,0.9089999794960022
2021-03,2.8,1.7,60.8,55.3,91.3,6.3,-2.7,-1.1,379.0,-2.2,-68.213,1.421,0.775,1.682,6.22,6.2,174.0,17.4,59.5,73.8,2.6,-0.9,0.3,0.2,1.4,0.1,0.2,0.25,3.6,0.2,-0.5,0.0,-1.1,3.699,55.5,61.3,4.7,0.9416900277137756
2021-02,1.7,1.4,58.7,58.7,89.3,7.4,5.9,3.4,49.0,0.9,-66.613,1.58,0.923,1.881,6.69,6.3,-123.0,12.1,63.8,75.6,1.1,1.4,0.6,0.3,1.5,0.3,0.2,0.25,3.5,0.1,-0.5,0.3,-2.1,5.054,43.2,59.4,1.7,0.9081060290336609
2021-01,0.8,1.4,60.7,57.2,88.6,2.9,-1.4,0.2,-140.0,1.6,-68.142,1.669,0.842,1.709,6.76,6.7,307.0,3.5,59.5,74.5,1.0,0.7,0.5,0.4,1.5,0.3,0.8,0.25,3.4,-0.1,-0.8,0.5,-2.3,2.881,46.8,58.0,2.4,0.8906970024108887
2020-12,0.8,1.2,57.5,55.9,96.1,4.1,-0.9,0.9,245.0,0.4,-63.123,1.547,0.841,1.639,6.69,6.7,365.0,4.9,58.2,73.3,1.0,0.4,0.7,0.0,1.4,0.0,0.3,0.25,3.4,-0.2,-0.7,-0.1,-2.7,4.458,30.0,55.2,3.1,0.8815799951553345
2020-11,0.5,1.2,59.3,56.6,100.9,5.7,0.2,1.3,638.0,1.1,-63.862,1.53,0.999,1.545,6.85,6.9,557.0,6.3,61.1,72.8,1.1,1.3,0.7,0.0,1.4,0.0,0.1,0.25,3.3,0.0,-0.6,0.0,-2.9,3.861,2.3,52.3,2.5,0.904229998588562
2020-10,0.4,1.4,55.4,57.8,101.8,5.4,1.5,1.9,661.0,-0.6,-67.102,1.415,0.959,1.553,6.54,7.9,749.0,10.5,62.4,71.5,0.7,0.8,0.3,0.3,1.6,0.3,0.1,0.25,3.3,0.0,-0.8,0.1,-3.1,3.28,26.2,53.1,3.3,0.9176279902458191
2020-09,-0.2,1.3,56.0,56.9,84.8,2.6,0.7,0.4,1371.0,0.4,-63.556,1.416,1.011,1.47,6.0,8.4,167.0,17.0,51.2,71.4,6.4,0.4,0.1,0.3,1.4500000000000002,0.3,0.4,0.25,3.4,0.0,-0.9,-0.4,-3.5,3.583,45.6,51.8,4.1,0.919439971446991
2020-08,-0.4,1.0,54.2,58.1,92.6,2.7,1.9,11.2,1763.0,3.0,-50.695,1.496,0.901,1.495,5.86,10.2,2369.0,3.7,51.9,70.6,6.2,2.4,-1.1,0.3,1.3,0.3,0.2,0.25,3.3,-0.2,-0.9,0.1,-3.3,3.379,42.4,49.2,1.1,0.9035999774932861
