Date,producer-price-index-yy united-states,consumer-price-index-yy united-states,ism-manufacturing-pmi united-states,ism-non-manufacturing-pmi united-states,consumer-confidence-index united-states,retail-sales-yy united-states,retail-sales-ex-autos-mm united-states,durable-goods-orders united-states,nonfarm-payrolls united-states,industrial-production-mm united-states,trade-balance united-states,housing-starts united-states,new-home-sales united-states,building-permits united-states,existing-home-sales united-states,unemployment-rate united-states,adp-nonfarm-employment-change united-states,ny-empire-state-manufacturing-index united-states,chicago-pmi united-states,capacity-utilization united-states,factory-orders united-states,durable-goods-orders-ex-transportation united-states,business-inventories-mm united-states,pce-price-index-mm united-states,core-pce-price-index-yy united-states,core-pce-price-index-mm united-states,average-hourly-earnings-mm united-states,fed-interest-rate-decision united-states,labor-cash-earnings-yy japan,unemployment-rate japan,domestic-corporate-goods-price-index-mm japan,domestic-corporate-goods-price-index-yy japan,corporate-service-price-yy japan,national-consumer-price-index-yy japan,national-consumer-price-index-ex-fresh-food-yy japan,tokyo-consumer-price-index-yy japan,tokyo-consumer-price-index-ex-fresh-food-yy japan,m2-money-stock-yy japan,monetary-base-yy japan,adjusted-trade-balance japan,current-account-nsa japan,balance-of-payments japan,trade-balance japan,all-industry-activity-index-mm japan,capacity-utilization japan,tertiary-industry-activity-index-mm japan,household-spending-yy japan,large-retailers-sales-yy japan,retail-sales-mm japan,boj-interest-rate-decision japan,USDJPY
2022-08,9.8,8.5,52.8,56.7,95.7,10.3,0.4,0.0,528.0,0.6,-79.614,1.446,0.511,1.674,4.81,3.5,128.0,-31.3,52.1,80.3,2.0,0.3,1.4,-0.1,4.6,0.1,0.5,2.5,2.2,2.6,0.4,8.6,2.1,2.6,2.4,2.9,2.6,3.4,2.8,-2133.3,-132.4,-1114.0,-1436.8,1.3,9.6,-0.2,3.5,1.3,-1.4,-0.1,137.7519989013672
2022-07,11.3,9.1,53.0,55.3,98.7,8.5,1.0,1.9,372.0,-0.2,-85.546,1.559,0.59,1.685,5.12,3.6,128.0,11.1,56.0,80.0,1.6,0.3,1.4,1.0,4.8,0.6,0.3,2.5,1.0,2.6,0.7,9.2,2.0,2.4,2.2,2.5,2.3,3.3,3.9,-1928.9,128.4,-1951.2,-1383.8,1.3,-9.2,0.8,-0.5,8.5,0.6,-0.1,133.22999572753906
2022-06,10.8,8.6,56.1,55.9,106.4,8.1,0.5,0.7,390.0,0.2,-87.077,1.549,0.696,1.695,5.41,3.6,247.0,-1.2,60.3,79.0,0.3,0.7,1.2,0.6,4.7,0.3,0.3,1.75,1.7,2.5,0.0,9.1,1.8,2.5,2.1,2.3,2.1,3.2,4.6,-1931.4,501.1,-688.4,-2384.7,1.3,0.0,0.7,-1.7,4.0,0.8,-0.1,136.58900451660156
2022-05,11.0,8.3,55.4,57.1,107.3,8.2,0.6,0.4,428.0,1.1,-109.802,1.724,0.591,1.819,5.61,3.6,351.0,-11.6,56.4,79.0,2.2,0.3,2.0,0.2,4.9,0.3,0.3,1.0,1.2,2.6,1.2,10.0,1.7,2.5,2.1,2.4,1.9,3.6,6.6,-1618.9,2549.3,-166.1,-839.2,1.3,-1.6,1.3,-2.3,1.5,2.0,-0.1,127.78399658203125
2022-04,11.2,8.5,57.1,58.3,107.2,6.9,1.1,0.8,431.0,0.9,-89.185,1.793,0.763,1.873,5.77,3.6,455.0,24.6,62.9,78.3,-0.5,1.1,1.5,0.9,5.2,0.3,0.4,0.75,1.2,2.7,0.8,9.5,1.3,1.2,0.8,1.85,1.35,3.5,7.9,-899.8,1648.3,-176.8,-412.4,1.3,1.5,-1.3,1.1,0.1,-0.8,-0.1,129.6820068359375
2022-03,10.0,7.9,58.6,56.5,110.5,17.6,0.2,-2.2,678.0,0.5,-89.692,1.769,0.772,1.859,6.02,3.8,-301.0,-11.8,56.3,77.6,1.4,-0.6,1.1,0.6,5.4,0.4,0.0,0.5,0.9,2.7,0.8,9.3,1.1,0.9,0.6,1.3,0.8,3.6,7.6,-1031.4,-1188.7,-1604.3,-668.3,1.3,-3.2,-0.7,6.9,2.6,-1.9,-0.1,122.02100372314453
2022-02,9.7,7.5,57.6,59.9,113.8,13.0,3.3,1.6,467.0,1.4,-80.731,1.638,0.801,1.899,6.5,4.0,807.0,3.1,65.2,77.6,-0.4,0.7,2.1,0.6,5.2,0.5,0.7,0.375,-0.2,2.7,0.6,8.6,1.2,0.5,0.2,1.0,0.5,3.6,8.4,-932.6,-370.8,-318.7,-2191.1,1.3,-0.4,0.4,-0.2,1.4,-1.0,-0.1,115.58499908447266
2022-01,9.7,7.0,58.7,62.0,115.8,17.0,-2.3,-0.9,199.0,-0.1,-80.172,1.702,0.811,1.873,6.18,3.9,534.0,-0.7,63.1,76.5,1.6,0.4,1.3,0.4,4.9,0.5,0.6,0.25,0.0,2.8,-0.2,8.5,1.1,0.8,0.5,0.5,0.2,3.7,8.3,-435.3,897.3,-431.3,-582.4,1.3,8.0,0.4,-1.3,1.4,1.2,-0.1,115.26200103759766
2021-12,9.6,6.8,61.1,69.1,109.5,18.2,0.3,2.5,210.0,0.5,-67.116,1.679,0.744,1.712,6.46,4.2,571.0,31.9,61.8,76.8,1.0,0.8,1.2,0.6,4.7,0.5,0.3,0.25,0.2,2.7,0.6,9.0,1.1,0.6,0.5,0.5,0.25,4.0,9.3,-486.8,1180.1,166.7,-954.8,1.3,6.2,1.5,-0.6,0.9,1.1,-0.1,115.06300354003906
2021-11,8.6,6.2,60.8,66.7,113.8,16.0,1.7,-0.5,531.0,1.6,-80.934,1.52,0.745,1.65,6.34,4.6,568.0,30.9,68.4,76.4,0.2,0.5,0.7,0.6,4.1,0.4,0.4,0.25,0.2,2.8,1.2,8.0,1.0,0.1,0.1,0.5,0.3,4.2,9.9,-444.7,1033.7,-229.9,-67.4,1.3,-7.3,0.5,-1.9,-1.3,2.7,-0.1,113.80400085449219
