Date	ActualValue	ForecastValue	PreviousValue
2022.08.11	9.8	11.0	11.3
2022.07.14	11.3	10.0	10.8
2022.06.14	10.8	11.1	11.0
2022.05.12	11.0	12.2	11.2
2022.04.13	11.2	9.4	10.0
2022.03.15	10.0	9.1	9.7
2022.02.15	9.7	10.1	9.7
2022.01.13	9.7	10.1	9.6
2021.12.14	9.6	8.3	8.6
2021.11.09	8.6	8.6	8.6
2021.10.14	8.6	8.7	8.3
2021.09.10	8.3	7.8	7.8
2021.08.12	7.8	7.3	7.3
2021.07.14	7.3	7.1	6.6
2021.06.15	6.6	7.2	6.2
2021.05.13	6.2	4.9	4.2
2021.04.09	4.2	3.7	2.8
2021.03.12	2.8	2.4	1.7
2021.02.17	1.7	0.7	0.8
2021.01.15	0.8	0.4	0.8
2020.12.11	0.8	1.0	0.5
2020.11.13	0.5	1.0	0.4
2020.10.14	0.4	-0.1	-0.2
2020.09.10	-0.2	-0.3	-0.4
2020.08.11	-0.4	-0.3	-0.8
2020.07.10	-0.8	-1.0	-0.8
2020.06.11	-0.8	-0.3	-1.2
2020.05.13	-1.2	1.0	0.7
2020.04.09	0.7	1.0	1.3
2020.03.12	1.3	2.4	2.1
2020.02.19	2.1	1.6	1.3
2020.01.15	1.3	1.0	1.1
2019.12.12	1.1	0.4	1.1
2019.11.14	1.1	0.9	1.4
2019.10.08	1.4	2.2	1.8
2019.09.11	1.8	2.1	1.7
2019.08.09	1.7	1.2	1.7
2019.07.12	1.7	1.4	1.8
2019.06.11	1.8	2.2	2.2
2019.05.09	2.2	2.4	2.2
2019.04.11	2.2	1.6	1.9
2019.03.13	1.9	1.4	2.0
2019.02.14	2.0	2.0	2.5
2019.01.15	2.5	2.8	2.5
2018.12.11	2.5	2.6	2.9
2018.11.09	2.9	1.9	2.6
2018.10.10	2.6	2.5	2.8
2018.09.12	2.8	3.4	3.3
2018.08.09	3.3	3.2	3.4
2018.07.11	3.4	2.7	3.1
2018.06.13	3.1	2.7	2.6
2018.05.09	2.6	3.1	3.0
2018.04.10	3.0	2.7	2.8
2018.03.14	2.8	2.3	2.7
2018.02.15	2.7	2.2	2.6
2018.01.11	2.6	2.8	3.1
2017.12.12	3.1	3.0	2.8
2017.11.14	2.8	2.9	2.6
2017.10.12	2.6	2.6	2.4
2017.09.13	2.4	1.8	1.9
2017.08.10	1.9	1.7	2.0
2017.07.13	2.0	2.1	2.4
2017.06.13	2.4	2.6	2.5
2017.05.11	2.5	2.5	2.3
2017.04.13	2.3		2.2
2017.03.14	2.2		1.6
2017.02.14	1.6		1.6
2017.01.13	1.6		1.3
2016.12.14	1.3		0.8
2016.11.16	0.8		0.7
2016.10.14	0.7		0.0
2016.09.15	0.0		-0.2
2016.08.12	-0.2		0.3
2016.07.14	0.3		-0.1
2016.06.15	-0.1		0.0
