Date	ActualValue	ForecastValue	PreviousValue
2022.08.03	3.4	3.7	3.4
2022.07.04	3.4	3.0	2.9
2022.06.02	2.9	2.8	2.5
2022.05.05	2.5	2.5	2.4
2022.04.01	2.4	2.5	2.2
2022.03.03	2.2	1.8	1.6
2022.02.11	1.6	1.3	1.5
2022.01.04	1.5		1.5
2021.12.01	1.5	1.5	1.2
2021.11.02	1.2	0.7	0.9
2021.10.04	0.9	0.9	0.9
2021.09.02	0.9	0.5	0.7
2021.08.02	0.7	0.6	0.6
2021.07.01	0.6	0.5	0.6
2021.06.07	0.6	0.7	0.3
2021.05.05	0.3	0.0	-0.2
2021.04.01	-0.2	-0.3	-0.5
2021.03.03	-0.5	-0.5	-0.5
2021.02.12	-0.5	-1.0	-0.8
2021.01.05	-0.8	-0.6	-0.7
2020.12.02	-0.7	-0.4	-0.6
2020.11.03	-0.6	-0.8	-0.8
2020.10.01	-0.8	-0.8	-0.9
2020.09.03	-0.9	-0.8	-0.9
2020.08.03	-0.9	-1.3	-1.3
2020.07.02	-1.3	-1.4	-1.3
2020.06.04	-1.3	-1.4	-1.1
2020.05.05	-1.1	-0.9	-0.5
2020.04.02	-0.5	-0.5	-0.1
2020.03.04	-0.1	0.4	0.2
2020.02.10	0.2	0.6	0.2
2020.01.07	0.2	-0.2	-0.1
2019.12.03	-0.1	-0.6	-0.3
2019.11.01	-0.3	0.1	0.1
2019.10.02	0.1	0.2	0.3
2019.09.03	0.3	0.2	0.3
2019.08.02	0.3	0.4	0.6
2019.07.04	0.6	0.4	0.6
2019.06.03	0.6	0.7	0.7
2019.05.03	0.7	0.8	0.7
2019.04.02	0.7	0.6	0.6
2019.03.05	0.6	0.5	0.6
2019.02.11	0.6	0.6	0.7
2019.01.09	0.7	0.9	0.9
2018.12.04	0.9	1.0	1.1
2018.11.01	1.1	0.9	1.0
2018.10.05	1.0	1.1	1.2
2018.09.04	1.2	1.0	1.2
2018.08.03	1.2	1.2	1.1
2018.07.05	1.1	1.0	1.0
2018.06.06	1.0	0.8	0.8
2018.05.07	0.8	0.8	0.8
2018.04.05	0.8	0.6	0.7
2018.03.06	0.7	0.7	0.7
2018.02.12	0.7	0.8	0.8
2018.01.08	0.8	0.8	0.8
2017.12.06	0.8	0.8	0.7
2017.11.06	0.7		0.7
2017.10.05	0.7		0.5
2017.09.05	0.5		0.3
2017.08.07	0.3		0.2
2017.07.06	0.2		0.5
2017.06.08	0.5		0.4
2017.05.11	0.4		0.6
2017.04.06	0.6		0.6
2017.03.08	0.6		0.3
2017.02.14	0.3		0.0
2017.01.05	0.0		-0.3
2016.12.06	-0.3		-0.2
2016.11.07	-0.2		-0.2
2016.10.06	-0.2		-0.1
2016.09.06	-0.1		-0.2
2016.08.08	-0.2		-0.4
2016.07.07	-0.4		-0.4
2016.06.08	-0.4		-0.4
2016.05.09	-0.4		-0.9
2016.04.08	-0.9		-0.8
2016.03.08	-0.8		-1.3
2016.02.11	-1.3		-1.3
2016.01.08	-1.3		-1.4
2015.12.04	-1.4		-1.4
2015.11.05	-1.4		-1.4
2015.10.06	-1.4		-1.4
2015.09.04	-1.4		-1.3
2015.08.05	-1.3		-1.0
2015.07.06	-1.0		-1.2
2015.06.09	-1.2		-1.1
2015.05.08	-1.1		-0.9
2015.04.08	-0.9		-0.8
2015.03.06	-0.8		-0.5
2015.02.10	-0.5		-0.3
2015.01.09	-0.3		-0.1
2014.12.08	-0.1		0.0
2014.11.05	0.0		-0.1
2014.10.07	-0.1		0.1
2014.09.08	0.1		0.0
2014.08.06	0.0		0.0
2014.07.08	0.0		0.2
2014.06.06	0.2		0.0
2014.05.08	0.0		0.0
2014.04.07	0.0		-0.1
2014.03.07	-0.1		0.1
2014.02.12	0.1		0.1
2014.01.10	0.1		0.1
2013.12.06	0.1		-0.3
2013.11.05	-0.3		-0.1
2013.10.08	-0.1		0.0
2013.09.06	0.0		0.0
2013.08.07	0.0		-0.1
2013.07.05	-0.1		-0.5
2013.06.06	-0.5		-0.6
2013.05.08	-0.6		-0.6
2013.04.09	-0.6		-0.3
2013.03.08	-0.3		-0.3
2013.02.12	-0.3		-0.4
2013.01.11	-0.4		-0.4
2012.12.06	-0.4		-0.2
2012.11.07	-0.2		-0.4
2012.10.08	-0.4		-0.5
2012.09.05	-0.5		-0.7
2012.08.07	-0.7		-1.1
2012.07.06	-1.1		-1.0
2012.06.07	-1.0		-1.0
2012.05.07	-1.0		-1.0
2012.04.05	-1.0		-0.9
2012.03.08	-0.9		-0.8
2012.02.10	-0.8		-0.7
2012.01.06	-0.7		-0.5
2011.12.06	-0.5		-0.1
2011.11.07	-0.1		0.5
2011.10.06	0.5		0.2
2011.09.06	0.2		0.5
2011.08.05	0.5		0.6
2011.07.07	0.6		0.4
2011.06.07	0.4		0.3
2011.05.10	0.3		1.0
2011.04.06	1.0		0.5
2011.03.09	0.5		0.3
2011.02.10	0.3		0.5
2011.01.06	0.5		0.2
2010.12.03	0.2		0.2
2010.11.04	0.2		0.3
2010.10.05	0.3		0.3
2010.09.03	0.3		0.4
2010.08.03	0.4		0.5
2010.07.06	0.5		1.1
2010.06.08	1.1		1.4
2010.05.06	1.4		1.4
2010.04.06	1.4		0.9
2010.03.09	0.9		1.0
2010.02.11	1.0		0.3
2010.01.07	0.3		0.0
2009.12.04	0.0		-0.8
2009.11.05	-0.8		-0.9
2009.10.06	-0.9		-0.8
2009.09.04	-0.8		-1.0
2009.07.03	-1.0		-1.0
2009.06.05	-1.0		-0.3
2009.05.07	-0.3		-0.4
2009.04.03	-0.4		0.2
2009.03.06	0.2		0.1
