Date	ActualValue	ForecastValue	PreviousValue
2022.07.27	-57.2	-81.6	-72.7
2022.06.29	-72.7	-70.7	-52.6
2022.05.25	-52.6	-39.3	-51.6
2022.04.27	-51.6	-9.1	-27.8
2022.03.30	-27.8	9.1	9.0
2022.02.23	9.0	4.6	9.5
2022.01.26	9.5	-5.3	0.0
2021.12.29	0.0	2.4	-10.8
2021.11.24	-10.8	20.3	15.6
2021.10.27	15.6	8.7	25.7
2021.09.29	25.7	17.3	-7.8
2021.08.25	-7.8	46.5	42.8
2021.07.28	42.8	61.2	51.3
2021.06.30	51.3	70.3	72.2
2021.05.26	72.2	67.4	68.3
2021.04.28	68.3	60.9	66.7
2021.03.31	66.7	48.9	55.5
2021.02.24	55.5	44.4	43.2
2021.01.27	43.2	37.9	46.8
2020.12.30	46.8	15.8	30.0
2020.11.25	30.0	14.0	2.3
2020.10.28	2.3	35.2	26.2
2020.09.30	26.2	43.4	45.6
2020.08.26	45.6	44.9	42.4
2020.07.29	42.4	39.4	48.7
2020.06.24	48.7	66.8	31.3
2020.05.27	31.3	0.2	12.7
2020.04.29	12.7	-64.9	-45.8
2020.03.25	-45.8	3.5	7.7
2020.02.26	7.7	13.6	8.3
2020.01.29	8.3	23.3	12.5
2019.12.27	12.5	-8.5	-3.9
2019.11.27	-3.9	-30.5	-30.5
2019.10.30	-30.5	-6.8	-15.4
2019.09.25	-15.4	-27.1	-37.5
2019.08.28	-37.5		-24.0
2019.07.24	-24.0		-30.0
2019.06.26	-30.0		-14.3
2019.05.29	-14.3		-7.7
2019.04.24	-7.7		-26.9
2019.03.27	-26.9		-16.6
2019.02.27	-16.6		-44.0
2019.01.30	-44.0		-22.2
2018.12.27	-22.2		-42.3
2018.11.28	-42.3		-39.1
2018.10.31	-39.1		-30.8
2018.09.26	-30.8		-14.3
2018.08.29	-14.3		-4.0
2018.07.25	-4.0		8.0
2018.06.27	8.0		28.0
2018.05.30	28.0		7.2
2018.04.25	7.2		16.7
2018.03.28	16.7		25.8
2018.02.28	25.8		34.5
2018.01.31	34.5		52.0
2017.12.27	52.0		40.7
2017.11.29	40.7		32.0
2017.10.25	32.0		28.0
2017.09.27	28.0		25.0
2017.08.30	25.0		34.7
2017.07.26	34.7		20.7
2017.06.28	20.7		30.8
2017.05.31	30.8		22.2
2017.04.26	22.2		29.6
2017.03.29	29.6		19.4
2017.02.22	19.4		18.5
2017.01.25	18.5		12.9
2016.12.14	12.9		8.9
2016.11.16	8.9		5.2
2016.10.12	5.2		2.7
2016.09.14	2.7		-2.8
2016.08.17	-2.8		5.9
2016.07.20	5.9		19.4
2016.06.22	19.4		17.5
2016.05.25	17.5		11.5
2016.04.20	11.5		2.5
2016.03.23	2.5		-5.9
2016.02.17	-5.9		-3.0
2016.01.20	-3.0		16.6
2015.12.16	16.6		0.0
2015.11.18	0.0		18.3
2015.10.14	18.3		9.7
2015.09.16	9.7		5.9
2015.08.12	5.9		-5.4
2015.07.15	-5.4		0.1
2015.06.17	0.1		-0.1
2015.05.20	-0.1		-23.2
2015.04.22	-23.2		-37.9
2015.03.18	-37.9		-73.0
2015.02.18	-73.0		-10.8
2015.01.21	-10.8		-4.9
2014.12.17	-4.9		-7.6
2014.11.19	-7.6		-30.7
2014.10.15	-30.7		-7.7
2014.09.17	-7.7		2.5
2014.08.13	2.5		0.1
2014.07.16	0.1		4.8
2014.06.18	4.8		7.4
2014.05.14	7.4		7.0
2014.04.16	7.0		19.0
2014.03.19	19.0		28.7
2014.02.19	28.7		36.4
2014.01.22	36.4		39.4
2013.12.18	39.4		31.6
2013.11.20	31.6		24.9
2013.10.16	24.9		16.3
2013.09.18	16.3		7.2
2013.08.14	7.2		4.8
2013.07.17	4.8		2.2
2013.06.19	2.2		2.2
2013.05.15	2.2		20.0
2013.04.17	20.0		2.3
2013.03.20	2.3		10.0
2013.02.20	10.0		-6.9
2013.01.23	-6.9		-15.5
2012.12.12	-15.5		-27.9
2012.11.14	-27.9		-28.9
2012.10.17	-28.9		-34.9
2012.09.19	-34.9		-33.3
2012.08.16	-33.3		-42.5
2012.07.18	-42.5		-43.4
2012.06.20	-43.4		-4.0
2012.05.16	-4.0		2.1
2012.04.18	2.1		0.0
2012.03.14	0.0		-21.2
2012.02.15	-21.2		-50.1
2012.01.18	-50.1		-72.0
2011.12.14	-72.0		-64.3
2011.11.17	-64.3		-54.4
2011.10.20	-54.4		-75.7
2011.09.22	-75.7		-71.4
2011.08.25	-71.4		-58.9
2011.07.21	-58.9		-24.3
2011.06.22	-24.3		-11.5
2011.05.19	-11.5		8.8
2011.04.14	8.8		-13.5
2011.03.16	-13.5		-17.2
2011.02.17	-17.2		-18.4
