Date	ActualValue	ForecastValue	PreviousValue
2022.08.02	58.0	56.8	59.1
2022.07.01	59.1	57.3	60.0
2022.06.01	60.0	61.2	62.5
2022.05.02	62.5	63.9	64.0
2022.04.01	64.0	63.9	62.6
2022.03.01	62.6	62.6	63.8
2022.02.01	63.8	58.7	64.2
2022.01.03	62.7	58.6	62.5
2021.12.01	62.5	64.1	65.4
2021.11.01	65.4	68.4	68.1
2021.10.01	68.1	70.5	67.7
2021.09.01	67.7	72.5	71.1
2021.08.02	71.1	68.1	66.7
2021.07.01	66.7	70.6	69.9
2021.06.01	69.9	68.0	69.5
2021.05.03	69.5	63.9	66.3
2021.04.01	66.3	60.4	61.3
2021.03.01	61.3	58.7	59.4
2021.02.01	59.4	56.6	57.3
2021.01.04	58.0	53.7	55.2
2020.12.01	55.2	52.6	52.3
2020.11.02	52.3	52.4	53.1
2020.10.01	53.1	50.4	51.8
2020.09.01	51.8	45.4	49.2
2020.08.03	49.2	41.9	41.9
2020.07.01	41.9	41.3	42.1
2020.06.02	42.1	42.1	40.7
2020.05.04	40.7	46.5	43.7
2020.04.01	43.7	48.5	49.5
2020.03.02	49.5	48.9	47.8
2020.02.03	47.8	49.4	48.8
2020.01.03	50.2	49.0	48.8
2019.12.02	48.8	46.9	49.4
2019.11.01	49.4	45.8	44.6
2019.10.01	44.6	45.8	47.2
2019.09.02	47.2		44.7
2019.08.02	44.7		47.7
2019.07.01	47.7		48.6
2019.06.03	48.6		48.5
2019.05.02	48.5		50.3
2019.04.01	50.3		55.4
2019.03.01	55.4		54.3
2019.02.01	54.3		57.5
2019.01.03	57.8		54.3
2018.12.03	57.7		57.8
2018.11.01	57.4		59.9
2018.10.01	59.7		64.6
2018.09.03	64.8		61.7
2018.08.02	61.9		61.8
2018.07.02	61.6		62.8
2018.06.01	62.4		62.8
2018.05.02	63.6		61.4
2018.04.03	60.3		65.1
2018.03.01	65.5		64.6
2018.02.01	65.3		65.2
2018.01.03	65.2		64.6
2017.12.01	65.1		61.9
2017.11.01	62.0		62.1
2017.10.02	61.7		61.4
2017.09.01	61.2		60.3
2017.08.02	60.9		60.2
2017.07.03	60.1		55.8
2017.06.01	55.6		58.4
2017.05.02	57.4		57.9
2017.04.03	58.6		57.9
2017.03.01	57.8		54.6
2017.02.01	54.6		55.7
2017.01.03	56.0		55.5
2016.12.01	56.6		55.5
2016.11.01	54.7		54.4
2016.10.03	53.2		51.7
2016.09.01	51.0		50.9
2016.08.02	50.1		51.2
2016.07.01	51.6		56.3
2016.06.01	55.8		53.1
2016.05.02	54.7		53.1
2016.04.01	53.2		51.0
2016.03.01	51.6		50.6
2016.02.01	50.0		49.6
2016.01.04	52.1		48.7
2015.12.01	49.7		49.8
2015.11.02	50.7		48.0
2015.10.01	49.5		51.3
2015.09.01	52.2		49.6
2015.08.03	48.7		49.9
2015.07.01	50.0		47.8
2015.06.01	49.4		47.9
2015.05.04	47.9		47.9
2015.04.01	47.9		47.9
2015.03.02	47.3		49.5
2015.02.02	48.2		52.5
2015.01.05	54.0		51.7
2014.12.01	52.1		54.3
2014.11.03	55.3		51.5
2014.10.01	50.4		54.1
2014.09.01	52.9		53.5
2014.08.04	54.3		54.1
2014.07.01	54.0		53.7
2014.06.02	52.5		54.9
2014.05.02	55.8		54.3
2014.04.01	54.4		57.0
2014.03.03	57.6		56.1
2014.02.03	56.1		54.1
2014.01.03	53.9		57.0
2013.12.02	56.5		54.7
2013.11.01	54.2		56.8
2013.10.01	55.3		55.5
2013.09.02	54.6		55.3
2013.08.02	57.4		51.7
2013.07.01	51.9		52.4
2013.06.03	52.2		49.0
2013.05.02	50.2		49.6
2013.04.02	48.3		50.0
2013.03.01	50.8		52.3
2013.02.01	52.5		49.9
2013.01.03	49.5		48.6
2012.12.03	48.5		46.8
2012.11.01	46.1		45.6
2012.10.01	43.6		46.8
2012.09.03	46.7		46.7
2012.08.02	48.6		47.8
2012.07.02	48.1		45.9
2012.06.01	45.4		46.7
2012.05.02	46.9		50.5
2012.04.02	51.1		47.9
2012.03.01	49.0		47.9
2012.02.01	47.3		49.3
2012.01.03	50.7		45.8
2011.12.01	44.8		49.0
2011.11.01	46.9		50.6
2011.10.03	48.2		52.1
2011.09.01	51.7		52.2
2011.08.02	53.5		53.9
2011.07.01	53.4		57.8
2011.06.01	59.2		58.0
2011.05.02	58.4		58.4
2011.04.01	59.3		61.9
2011.03.01	63.5		60.4
2011.02.01	60.5		60.6
2011.01.03	59.6		62.7
2010.12.01	61.8		62.2
2010.11.01	59.2		62.4
2010.10.01	59.7		61.4
2010.09.01	61.4		65.6
2010.08.02	66.9		64.0
2010.07.01	65.7		65.1
2010.06.01	66.4		64.1
2010.05.03	65.9		63.6
2010.04.01	65.5		57.3
2010.03.01	57.4		56.8
2010.02.01	56.0		54.8
2010.01.04	54.6		55.6
2009.12.01	56.9		55.1
2009.11.02	54.0		55.0
2009.10.01	54.3		49.5
2009.09.01	50.2		44.3
2009.08.03	44.3		41.8
2009.07.01	41.8		39.8
2009.06.02	39.8		34.7
2009.05.04	34.7		32.6
2009.04.01	32.6		32.6
2009.03.02	32.6		35.0
2009.02.02	35.0		36.9
2009.01.05	36.9		35.2
2008.12.01	35.2		47.0
2008.11.03	47.0		47.8
2008.10.01	47.8		52.5
2008.09.01	52.5		54.1
2008.08.04	54.1		54.9
2008.07.01	54.9		55.7
2008.06.02	55.7		56.7
2008.05.02	56.7		55.3
2008.04.01	55.3		60.5
2008.03.03	60.5		
