Date	ActualValue	ForecastValue	PreviousValue
2022.07.29	1.2	3.4	-1.3
2022.06.30	-1.6	3.8	-5.5
2022.05.31	-6.0	4.9	-6.6
2022.04.29	-6.6	5.8	12.5
2022.03.31	12.8	4.7	5.7
2022.02.28	5.1	4.5	-0.5
2022.02.01	-0.4	4.7	5.3
2022.01.07	5.8	4.3	2.2
2021.12.02	1.2	4.1	2.6
2021.11.02	2.5	3.7	0.8
2021.10.04	0.5	3.5	-2.3
2021.09.02	-2.6	13.4	0.1
2021.08.02	0.1	2.7	2.8
2021.07.01	2.8	28.8	37.7
2021.06.01	35.7	15.7	23.1
2021.04.30	22.6	-0.4	-6.6
2021.04.01	-6.3	-0.3	-0.7
2021.03.01	-0.5	-0.4	5.4
2021.02.01	4.7	-0.7	1.8
2021.01.07	1.7	-0.1	4.3
2020.11.30	3.1	-1.1	0.4
2020.10.30	0.3	0.0	4.0
2020.10.01	2.5	-1.1	3.6
2020.08.31	4.1	-5.5	3.3
2020.07.31	1.1	3.9	6.2
2020.06.30	6.6	-3.9	-18.8
2020.06.02	-19.9	0.1	-5.8
2020.04.30	-5.6	0.2	0.3
2020.03.31	0.3	-0.7	0.0
2020.02.28	-0.1	0.3	0.8
2020.01.31	0.1	0.2	0.5
2020.01.09	0.0	0.4	0.4
2019.12.02	0.7	-0.4	1.6
2019.11.01	0.9	1.6	-1.0
2019.10.01	-1.4	-0.3	1.5
2019.09.02	1.4	-0.5	0.7
2019.08.05	0.7	-0.5	-1.1
2019.07.01	-1.7	-0.4	-0.8
2019.05.31	-0.7	-0.3	-0.7
2019.05.02	-0.7	-0.4	0.0
2019.04.01	-0.2	-0.8	-0.2
2019.03.01	-0.4	0.7	-0.2
2019.02.01	-0.3	-0.2	-0.6
2019.01.08	-0.5	-0.4	1.0
2018.12.03	0.8	0.0	-2.5
2018.11.02	-2.7	0.0	0.5
2018.10.01	0.4	0.4	-0.9
2018.09.03	-0.3	0.0	0.2
2018.08.02	0.3	-0.2	0.4
2018.07.02	-0.1	-0.5	2.9
2018.05.31	2.2	-0.7	-1.1
2018.05.02	-1.8	-0.5	-0.2
2018.04.03	-0.2	-0.8	-0.4
2018.03.01	-1.4	-0.5	0.7
2018.02.01	0.6	-0.9	0.3
2018.01.09	-0.2	-0.7	-2.6
2017.11.30	-3.0	0.0	0.5
2017.11.02	-0.4		-1.0
2017.10.02	-0.2		0.0
2017.09.01	-0.7		1.7
2017.08.02	1.5		-0.8
2017.07.03	-0.3		-0.9
2017.06.01	-1.2		2.1
2017.05.01	2.1		0.7
2017.04.03	0.6		-1.2
2017.03.02	-1.4		-4.1
2017.02.02	-3.5		0.8
2017.01.09	0.9		-0.7
2016.12.01	-0.5		-2.1
2016.11.01	-2.3		-2.8
2016.10.03	-3.0		-2.7
2016.09.01	-2.2		-3.5
2016.08.02	-3.9		-1.7
2016.07.01	-1.6		-2.2
2016.06.01	-1.9		-1.6
2016.05.02	-1.3		-0.4
2016.04.01	-0.2		-0.1
2016.03.01	0.2		-1.7
2016.02.02	-1.6		-1.7
2016.01.11	-3.1		-0.6
2015.12.01	-0.8		0.2
2015.11.02	0.2		-0.6
2015.10.01	-0.3		0.1
2015.09.14	-0.1		-0.9
2015.08.17	-0.9		-1.8
2015.07.16	-1.8		1.6
2015.06.15	1.6		-2.8
2015.05.18	-2.8		-2.7
2015.04.17	-2.7		-0.3
2015.03.16	-0.3		2.2
2015.02.06	2.2		-1.2
2015.01.16	-1.2		0.3
2014.12.08	0.3		0.3
2014.11.07	0.5		1.9
2014.10.07	1.4		-0.6
2014.09.08	-0.3		3.4
2014.08.11	3.3		-0.6
2014.07.08	-0.5		0.4
2014.06.10	0.8		3.0
2014.05.12	3.4		1.0
2014.04.08	1.2		0.3
2014.03.10	-0.1		2.3
2014.02.07	2.5		4.2
2014.01.15	4.2		1.2
2013.12.09	1.6		1.0
2013.11.08	1.0		2.4
2013.10.08	2.5		0.8
2013.09.09	0.6		2.3
2013.08.12	2.3		1.8
2013.07.09	1.5		3.3
2013.06.10	3.1		-0.9
2013.05.13	-0.8		2.4
2013.04.09	2.3		1.9
2013.03.11	2.0		5.1
2013.02.08	4.7		2.9
2013.01.16	3.0		2.7
2012.12.03	2.7		5.4
2012.11.01	5.4		5.9
